ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,60.866,1.158,-0.323,0.831,10.982
2026-02-25T00:10:00+00:00,59.205,1.125,-0.313,0.764,10.971
2026-02-25T00:15:00+00:00,50.823,0.976,-0.305,0.628,11.097
2026-02-25T00:20:00+00:00,57.092,1.097,-0.325,0.718,11.093
2026-02-25T00:25:00+00:00,52.515,1.012,-0.3,0.649,11.129
2026-02-25T00:30:00+00:00,46.4,0.897,-0.293,0.532,11.164
2026-02-25T00:35:00+00:00,46.52,0.898,-0.281,0.538,11.143
2026-02-25T00:40:00+00:00,53.403,1.029,-0.296,0.652,11.131
2026-02-25T00:45:00+00:00,46.847,0.903,-0.249,0.559,11.134
2026-02-25T00:50:00+00:00,43.513,0.84,-0.25,0.488,11.137
2026-02-25T00:55:00+00:00,38.115,0.735,-0.237,0.381,11.134
2026-02-25T01:00:00+00:00,35.147,0.678,-0.227,0.326,11.135
2026-02-25T01:05:00+00:00,36.458,0.701,-0.231,0.352,11.101
2026-02-25T01:10:00+00:00,35.815,0.688,-0.22,0.338,11.092
2026-02-25T01:15:00+00:00,35.96,0.691,-0.21,0.351,11.105
2026-02-25T01:20:00+00:00,32.678,0.629,-0.212,0.281,11.124
2026-02-25T01:25:00+00:00,33.204,0.641,-0.21,0.306,11.146
2026-02-25T01:30:00+00:00,29.297,0.565,-0.172,0.263,11.143
2026-02-25T01:35:00+00:00,28.715,0.554,-0.172,0.243,11.154
2026-02-25T01:40:00+00:00,25.937,0.5,-0.17,0.186,11.139
2026-02-25T01:45:00+00:00,30.407,0.587,-0.17,0.261,11.162
2026-02-25T01:50:00+00:00,29.356,0.57,-0.159,0.243,11.204
2026-02-25T01:55:00+00:00,32.954,0.64,-0.172,0.316,11.223
2026-02-25T02:00:00+00:00,37.939,0.738,-0.171,0.428,11.221
2026-02-25T02:05:00+00:00,45.553,0.884,-0.187,0.554,11.211
2026-02-25T02:10:00+00:00,44.043,0.857,-0.191,0.53,11.226
2026-02-25T02:15:00+00:00,50.16,0.979,-0.2,0.657,11.269
2026-02-25T02:20:00+00:00,45.292,0.874,-0.183,0.571,11.141
2026-02-25T02:25:00+00:00,43.373,0.836,-0.189,0.526,11.134
2026-02-25T02:30:00+00:00,42.046,0.81,-0.17,0.499,11.132
2026-02-25T02:35:00+00:00,41.852,0.807,-0.178,0.516,11.119
2026-02-25T02:40:00+00:00,46.362,0.893,-0.217,0.599,11.122
2026-02-25T02:45:00+00:00,52.262,1.009,-0.212,0.727,11.14
2026-02-25T02:50:00+00:00,51.675,0.998,-0.184,0.702,11.15
2026-02-25T02:55:00+00:00,46.533,0.895,-0.189,0.61,11.101
2026-02-25T03:00:00+00:00,39.125,0.752,-0.17,0.488,11.092
2026-02-25T03:05:00+00:00,37.4,0.717,-0.169,0.442,11.065
2026-02-25T03:10:00+00:00,28.95,0.555,-0.175,0.262,11.049
2026-02-25T03:15:00+00:00,31.033,0.595,-0.183,0.312,11.061
2026-02-25T03:20:00+00:00,32.568,0.625,-0.185,0.347,11.075
2026-02-25T03:25:00+00:00,30.018,0.576,-0.18,0.29,11.07
2026-02-25T03:30:00+00:00,28.5,0.547,-0.18,0.267,11.072
2026-02-25T03:35:00+00:00,28.872,0.552,-0.166,0.278,11.047
2026-02-25T03:40:00+00:00,28.306,0.542,-0.171,0.282,11.035
2026-02-25T03:45:00+00:00,28.473,0.546,-0.169,0.275,11.067
2026-02-25T03:50:00+00:00,32.875,0.632,-0.172,0.361,11.088
2026-02-25T03:55:00+00:00,39.047,0.75,-0.175,0.479,11.092
2026-02-25T04:00:00+00:00,35.495,0.683,-0.17,0.438,11.101
2026-02-25T04:05:00+00:00,46.365,0.891,-0.215,0.632,11.1
2026-02-25T04:10:00+00:00,41.36,0.791,-0.187,0.536,11.053
2026-02-25T04:15:00+00:00,51.773,0.989,-0.204,0.738,11.032
2026-02-25T04:20:00+00:00,46.487,0.887,-0.191,0.64,11.019
2026-02-25T04:25:00+00:00,53.98,1.031,-0.222,0.768,11.024
2026-02-25T04:30:00+00:00,51.013,0.974,-0.222,0.702,11.016
2026-02-25T04:35:00+00:00,46.992,0.896,-0.221,0.619,11.004
2026-02-25T04:40:00+00:00,48.832,0.931,-0.21,0.664,11.01
2026-02-25T04:45:00+00:00,59.325,1.133,-0.266,0.856,11.023
2026-02-25T04:50:00+00:00,60.722,1.16,-0.258,0.886,11.031
2026-02-25T04:55:00+00:00,55.848,1.067,-0.248,0.805,11.026
2026-02-25T05:00:00+00:00,57.885,1.105,-0.275,0.848,11.017
2026-02-25T05:05:00+00:00,59.643,1.137,-0.271,0.886,11.005
2026-02-25T05:10:00+00:00,59.922,1.142,-0.264,0.886,11.004
2026-02-25T05:15:00+00:00,61.03,1.161,-0.29,0.886,10.99
2026-02-25T05:20:00+00:00,65.717,1.252,-0.291,0.971,10.994
2026-02-25T05:25:00+00:00,61.153,1.165,-0.277,0.894,10.993
2026-02-25T05:30:00+00:00,62.07,1.183,-0.311,0.891,11.002
2026-02-25T05:35:00+00:00,62.563,1.195,-0.353,0.881,11.009
2026-02-25T05:40:00+00:00,58.897,1.121,-0.327,0.808,10.986
2026-02-25T05:45:00+00:00,59.843,1.135,-0.338,0.829,10.95
2026-02-25T05:50:00+00:00,63.203,1.2,-0.349,0.915,10.958
2026-02-25T05:55:00+00:00,62.483,1.187,-0.344,0.884,10.96
2026-02-25T06:00:00+00:00,58.595,1.112,-0.323,0.815,10.949
2026-02-25T06:05:00+00:00,66.54,1.26,-0.373,0.926,10.936
2026-02-25T06:10:00+00:00,62.432,1.194,-0.365,0.841,11.045
2026-02-25T06:15:00+00:00,66.245,1.27,-0.392,0.881,11.066
2026-02-25T06:20:00+00:00,63.02,1.204,-0.38,0.843,11.04
2026-02-25T06:25:00+00:00,59.355,1.137,-0.373,0.785,11.043
2026-02-25T06:30:00+00:00,61.073,1.167,-0.365,0.801,11.036
2026-02-25T06:35:00+00:00,61.373,1.18,-0.395,0.772,11.113
2026-02-25T06:40:00+00:00,65.07,1.252,-0.429,0.797,11.108
2026-02-25T06:45:00+00:00,52.832,1.012,-0.384,0.54,11.052
2026-02-25T06:50:00+00:00,49.585,0.947,-0.365,0.495,11.029
2026-02-25T06:55:00+00:00,47.835,0.912,-0.356,0.466,11.004
2026-02-25T07:00:00+00:00,52.745,1.009,-0.371,0.576,11.033
2026-02-25T07:05:00+00:00,56.02,1.076,-0.423,0.64,11.084
2026-02-25T07:10:00+00:00,53.419,1.026,-0.431,0.56,11.095
2026-02-25T07:15:00+00:00,43.313,0.833,-0.424,0.336,11.097
2026-02-25T07:20:00+00:00,44.843,0.865,-0.417,0.392,11.123
2026-02-25T07:25:00+00:00,43.778,0.845,-0.403,0.351,11.139
2026-02-25T07:30:00+00:00,42.073,0.811,-0.392,0.3,11.128
2026-02-25T07:35:00+00:00,42.936,0.824,-0.387,0.377,11.078
2026-02-25T07:40:00+00:00,41.297,0.79,-0.395,0.326,11.049
2026-02-25T07:45:00+00:00,34.344,0.658,-0.388,0.137,11.049
2026-02-25T07:50:00+00:00,30.802,0.588,-0.361,0.056,11.033
2026-02-25T07:55:00+00:00,29.665,0.567,-0.353,-0.05,11.021
2026-02-25T08:00:00+00:00,27.07,0.519,-0.347,-0.23,11.052
2026-02-25T08:05:00+00:00,25.903,0.496,-0.32,-0.371,11.038
2026-02-25T08:10:00+00:00,25.272,0.483,-0.282,-0.423,11.037
2026-02-25T08:15:00+00:00,24.455,0.468,-0.265,-0.396,11.057
2026-02-25T08:20:00+00:00,24.483,0.468,-0.281,-0.409,11.072
2026-02-25T08:25:00+00:00,26.064,0.499,-0.271,-0.456,11.059
2026-02-25T08:30:00+00:00,23.81,0.458,-0.261,-0.429,11.093
2026-02-25T08:35:00+00:00,26.151,0.502,-0.264,-0.522,11.111
2026-02-25T08:40:00+00:00,26.917,0.516,-0.222,-0.577,11.09
2026-02-25T08:45:00+00:00,27.109,0.52,-0.215,-0.585,11.092
2026-02-25T08:50:00+00:00,24.439,0.471,-0.218,-0.462,11.09
2026-02-25T08:55:00+00:00,24.414,0.467,-0.214,-0.514,11.069
2026-02-25T09:00:00+00:00,23.302,0.445,-0.236,-0.447,11.065
2026-02-25T09:05:00+00:00,23.183,0.444,-0.247,-0.419,11.105
2026-02-25T09:10:00+00:00,22.522,0.431,-0.262,-0.361,11.077
2026-02-25T09:15:00+00:00,23.497,0.449,-0.213,-0.455,11.042
2026-02-25T09:20:00+00:00,25.562,0.491,-0.196,-0.581,11.094
2026-02-25T09:25:00+00:00,25.007,0.481,-0.217,-0.558,11.132
2026-02-25T09:30:00+00:00,28.023,0.54,-0.195,-0.656,11.114
2026-02-25T09:35:00+00:00,24.319,0.467,-0.211,-0.523,11.096
2026-02-25T09:40:00+00:00,21.623,0.415,-0.19,-0.463,11.091
2026-02-25T09:45:00+00:00,21.857,0.42,-0.223,-0.444,11.11
2026-02-25T09:50:00+00:00,20.721,0.399,-0.236,-0.366,11.109
2026-02-25T09:55:00+00:00,21.072,0.407,-0.223,-0.401,11.129
2026-02-25T10:00:00+00:00,20.446,0.394,-0.204,-0.419,11.147
2026-02-25T10:05:00+00:00,21.538,0.412,-0.222,-0.364,11.043
2026-02-25T10:10:00+00:00,22.242,0.421,-0.229,-0.344,11.03
2026-02-25T10:15:00+00:00,22.718,0.433,-0.242,-0.407,11.027
2026-02-25T10:20:00+00:00,19.529,0.373,-0.225,-0.219,11.042
2026-02-25T10:25:00+00:00,18.923,0.362,-0.235,-0.258,11.028
2026-02-25T10:30:00+00:00,19.666,0.375,-0.239,-0.271,11.037
2026-02-25T10:35:00+00:00,19.093,0.365,-0.261,-0.28,11.034
2026-02-25T10:40:00+00:00,19.298,0.368,-0.241,-0.274,11.003
2026-02-25T10:45:00+00:00,19.143,0.366,-0.244,-0.248,11.013
2026-02-25T10:50:00+00:00,18.537,0.352,-0.235,-0.27,11.04
2026-02-25T10:55:00+00:00,20.552,0.395,-0.269,-0.177,11.099
2026-02-25T11:00:00+00:00,21.879,0.421,-0.25,-0.115,11.096
2026-02-25T11:05:00+00:00,21.891,0.419,-0.261,-0.151,11.062
2026-02-25T11:10:00+00:00,21.249,0.406,-0.245,-0.214,11.038
2026-02-25T11:15:00+00:00,20.845,0.398,-0.226,-0.337,10.99
2026-02-25T11:20:00+00:00,21.275,0.405,-0.225,-0.236,11.019
2026-02-25T11:25:00+00:00,21.816,0.417,-0.237,-0.215,11.03
2026-02-25T11:30:00+00:00,23.821,0.457,-0.259,-0.302,11.082
2026-02-25T11:35:00+00:00,23.613,0.455,-0.218,-0.366,11.126
2026-02-25T11:40:00+00:00,23.507,0.454,-0.23,-0.37,11.128
2026-02-25T11:45:00+00:00,22.742,0.439,-0.216,-0.406,11.128
2026-02-25T11:50:00+00:00,20.856,0.403,-0.247,-0.317,11.137
2026-02-25T11:55:00+00:00,23.078,0.446,-0.259,-0.033,11.145
2026-02-25T12:00:00+00:00,23.19,0.447,-0.288,-0.124,11.132
2026-02-25T12:05:00+00:00,26.1,0.504,-0.291,-0.03,11.134
2026-02-25T12:10:00+00:00,26.222,0.506,-0.29,0.024,11.136
2026-02-25T12:15:00+00:00,27.202,0.525,-0.305,0.052,11.141
2026-02-25T12:20:00+00:00,25.135,0.484,-0.296,-0.056,11.132
2026-02-25T12:25:00+00:00,23.325,0.448,-0.283,-0.109,11.1
2026-02-25T12:30:00+00:00,23.462,0.449,-0.271,-0.119,11.092
2026-02-25T12:35:00+00:00,25.09,0.48,-0.295,-0.077,11.069
2026-02-25T12:40:00+00:00,26.205,0.502,-0.275,0.043,11.084
2026-02-25T12:45:00+00:00,25.585,0.493,-0.276,0.04,11.109
2026-02-25T12:50:00+00:00,26.748,0.513,-0.293,0.032,11.078
2026-02-25T12:55:00+00:00,29.193,0.56,-0.298,0.128,11.076
2026-02-25T13:00:00+00:00,28.18,0.54,-0.313,0.074,11.06
2026-02-25T13:05:00+00:00,32.462,0.621,-0.339,0.132,11.04
2026-02-25T13:10:00+00:00,29.02,0.557,-0.295,0.037,11.082
2026-02-25T13:15:00+00:00,29.482,0.566,-0.304,0.02,11.09
2026-02-25T13:20:00+00:00,36.115,0.694,-0.32,0.22,11.113
2026-02-25T13:25:00+00:00,29.452,0.568,-0.292,0.069,11.126
2026-02-25T13:30:00+00:00,27.038,0.521,-0.266,0.065,11.139
2026-02-25T13:35:00+00:00,27.938,0.538,-0.286,0.021,11.117
2026-02-25T13:40:00+00:00,28.224,0.54,-0.292,0.037,11.09
2026-02-25T13:45:00+00:00,27.339,0.525,-0.276,0.031,11.089
2026-02-25T13:50:00+00:00,24.697,0.475,-0.25,0.046,11.093
2026-02-25T13:55:00+00:00,19.92,0.382,-0.214,-0.122,11.137
2026-02-25T14:00:00+00:00,24.798,0.478,-0.256,0.015,11.138
2026-02-25T14:05:00+00:00,27.925,0.538,-0.29,0.06,11.118
2026-02-25T14:10:00+00:00,27.653,0.531,-0.296,0.007,11.103
2026-02-25T14:15:00+00:00,25.179,0.484,-0.268,-0.001,11.11
2026-02-25T14:20:00+00:00,22.977,0.441,-0.27,-0.163,11.087
2026-02-25T14:25:00+00:00,21.29,0.406,-0.254,-0.202,11.097
2026-02-25T14:30:00+00:00,20.078,0.388,-0.237,-0.277,11.11
2026-02-25T14:35:00+00:00,22.704,0.437,-0.267,-0.123,11.09
2026-02-25T14:40:00+00:00,19.581,0.375,-0.234,-0.284,11.073
2026-02-25T14:45:00+00:00,18.927,0.363,-0.192,-0.37,11.085
2026-02-25T14:50:00+00:00,21.806,0.419,-0.261,-0.105,11.132
2026-02-25T14:55:00+00:00,20.573,0.398,-0.241,-0.17,11.142
2026-02-25T15:00:00+00:00,20.455,0.397,-0.24,-0.109,11.193
2026-02-25T15:05:00+00:00,20.631,0.4,-0.242,-0.173,11.187
2026-02-25T15:10:00+00:00,23.271,0.449,-0.26,-0.073,11.162
2026-02-25T15:15:00+00:00,23.688,0.457,-0.258,-0.055,11.129
2026-02-25T15:20:00+00:00,21.673,0.419,-0.25,-0.187,11.13
2026-02-25T15:25:00+00:00,21.361,0.41,-0.259,-0.241,11.138
2026-02-25T15:30:00+00:00,21.052,0.404,-0.241,-0.34,11.13
2026-02-25T15:35:00+00:00,22.667,0.437,-0.256,-0.402,11.105
2026-02-25T15:40:00+00:00,22.97,0.442,-0.213,-0.503,11.107
2026-02-25T15:45:00+00:00,24.827,0.477,-0.232,-0.538,11.113
2026-02-25T15:50:00+00:00,23.143,0.446,-0.28,-0.319,11.111
2026-02-25T15:55:00+00:00,23.973,0.459,-0.291,-0.373,11.096
2026-02-25T16:00:00+00:00,24.456,0.468,-0.29,-0.414,11.062
2026-02-25T16:05:00+00:00,28.238,0.54,-0.354,-0.244,11.067
2026-02-25T16:10:00+00:00,29.842,0.569,-0.36,-0.24,11.033
2026-02-25T16:15:00+00:00,30.086,0.576,-0.361,-0.106,11.06
2026-02-25T16:20:00+00:00,31.596,0.605,-0.375,-0.019,11.06
2026-02-25T16:25:00+00:00,38.821,0.743,-0.424,0.158,11.038
2026-02-25T16:30:00+00:00,37.923,0.727,-0.418,0.118,11.076
2026-02-25T16:35:00+00:00,46.712,0.896,-0.455,0.315,11.075
2026-02-25T16:40:00+00:00,36.184,0.694,-0.399,0.065,11.08
2026-02-25T16:45:00+00:00,39.223,0.751,-0.453,0.133,11.057
2026-02-25T16:50:00+00:00,36.827,0.706,-0.426,0.095,11.068
2026-02-25T16:55:00+00:00,34.585,0.662,-0.408,0.068,11.047
2026-02-25T17:00:00+00:00,38.876,0.744,-0.422,0.154,11.061
2026-02-25T17:05:00+00:00,30.043,0.577,-0.37,-0.08,11.08
2026-02-25T17:10:00+00:00,28.528,0.547,-0.36,-0.191,11.082
2026-02-25T17:15:00+00:00,30.377,0.584,-0.368,-0.115,11.105
2026-02-25T17:20:00+00:00,30.222,0.582,-0.354,-0.15,11.121
2026-02-25T17:25:00+00:00,26.773,0.513,-0.325,-0.427,11.096
2026-02-25T17:30:00+00:00,26.179,0.503,-0.281,-0.523,11.088
2026-02-25T17:35:00+00:00,29.014,0.555,-0.267,-0.597,11.063
2026-02-25T17:40:00+00:00,32.392,0.617,-0.218,-0.793,11.027
2026-02-25T17:45:00+00:00,29.098,0.555,-0.242,-0.674,11.013
2026-02-25T17:50:00+00:00,30.662,0.583,-0.245,-0.741,10.995
2026-02-25T17:55:00+00:00,36.837,0.702,-0.214,-0.891,10.991
2026-02-25T18:00:00+00:00,36.146,0.688,-0.216,-0.871,10.985
2026-02-25T18:05:00+00:00,42.319,0.803,-0.179,-1.003,10.972
2026-02-25T18:10:00+00:00,40.835,0.776,-0.214,-0.951,10.98
2026-02-25T18:15:00+00:00,40.472,0.769,-0.216,-0.944,10.988
2026-02-25T18:20:00+00:00,43.903,0.836,-0.215,-1.008,10.985
2026-02-25T18:25:00+00:00,37.09,0.707,-0.219,-0.851,10.999
2026-02-25T18:30:00+00:00,34.215,0.655,-0.209,-0.808,11.039
2026-02-25T18:35:00+00:00,32.662,0.627,-0.224,-0.756,11.082
2026-02-25T18:40:00+00:00,35.926,0.69,-0.213,-0.847,11.083
2026-02-25T18:45:00+00:00,34.527,0.664,-0.213,-0.845,11.099
2026-02-25T18:50:00+00:00,34.352,0.661,-0.216,-0.819,11.114
2026-02-25T18:55:00+00:00,34.406,0.663,-0.21,-0.873,11.142
2026-02-25T19:00:00+00:00,30.61,0.592,-0.203,-0.802,11.17
2026-02-25T19:05:00+00:00,31.41,0.606,-0.217,-0.784,11.146
2026-02-25T19:10:00+00:00,29.523,0.57,-0.215,-0.717,11.151
2026-02-25T19:15:00+00:00,30.621,0.592,-0.2,-0.79,11.166
2026-02-25T19:20:00+00:00,27.979,0.543,-0.205,-0.781,11.192
2026-02-25T19:25:00+00:00,26.064,0.504,-0.197,-0.71,11.194
2026-02-25T19:30:00+00:00,24.23,0.47,-0.17,-0.66,11.21
2026-02-25T19:35:00+00:00,25.865,0.501,-0.17,-0.71,11.209
2026-02-25T19:40:00+00:00,25.805,0.5,-0.16,-0.708,11.201
2026-02-25T19:45:00+00:00,26.231,0.507,-0.153,-0.727,11.208
2026-02-25T19:50:00+00:00,24.238,0.464,-0.123,-0.678,11.073
2026-02-25T19:55:00+00:00,22.996,0.439,-0.142,-0.635,11.062
2026-02-25T20:00:00+00:00,27.091,0.52,-0.153,-0.714,11.083
2026-02-25T20:05:00+00:00,30.573,0.592,-0.167,-0.795,11.172
2026-02-25T20:10:00+00:00,26.318,0.511,-0.167,-0.711,11.214
2026-02-25T20:15:00+00:00,22.177,0.431,-0.136,-0.648,11.239
2026-02-25T20:20:00+00:00,18.531,0.361,-0.184,-0.436,11.25
2026-02-25T20:25:00+00:00,19.903,0.387,-0.17,-0.442,11.257
2026-02-25T20:30:00+00:00,19.302,0.377,-0.188,-0.391,11.241
2026-02-25T20:35:00+00:00,22.815,0.442,-0.168,-0.575,11.232
2026-02-25T20:40:00+00:00,20.091,0.393,-0.17,-0.443,11.253
2026-02-25T20:45:00+00:00,17.432,0.333,-0.155,-0.333,11.105
2026-02-25T20:50:00+00:00,17.551,0.338,-0.145,-0.399,11.117
2026-02-25T20:55:00+00:00,16.383,0.314,-0.151,-0.363,11.114
2026-02-25T21:00:00+00:00,18.001,0.345,-0.156,-0.265,11.087
2026-02-25T21:05:00+00:00,23.94,0.46,-0.213,-0.002,11.099
2026-02-25T21:10:00+00:00,19.655,0.377,-0.192,-0.132,11.1
2026-02-25T21:15:00+00:00,21.893,0.422,-0.198,-0.038,11.133
2026-02-25T21:20:00+00:00,18.272,0.353,-0.193,-0.075,11.135
2026-02-25T21:25:00+00:00,18.825,0.362,-0.189,-0.085,11.126
2026-02-25T21:30:00+00:00,20.44,0.39,-0.192,-0.011,11.052
2026-02-25T21:35:00+00:00,16.93,0.322,-0.17,-0.127,11.077
2026-02-25T21:40:00+00:00,16.942,0.325,-0.161,-0.088,11.11
2026-02-25T21:45:00+00:00,24.658,0.476,-0.193,0.107,11.132
2026-02-25T21:50:00+00:00,29.284,0.563,-0.2,0.223,11.111
2026-02-25T21:55:00+00:00,18.384,0.351,-0.178,-0.066,11.059
2026-02-25T22:00:00+00:00,24.017,0.46,-0.17,0.123,11.085
2026-02-25T22:05:00+00:00,26.323,0.505,-0.148,0.184,11.094
2026-02-25T22:10:00+00:00,25.01,0.479,-0.154,0.162,11.03
2026-02-25T22:15:00+00:00,25.153,0.475,-0.156,0.157,10.931
2026-02-25T22:20:00+00:00,37.95,0.729,-0.175,0.413,11.072
2026-02-25T22:25:00+00:00,33.787,0.65,-0.182,0.328,11.106
2026-02-25T22:30:00+00:00,37.97,0.732,-0.201,0.407,11.129
2026-02-25T22:35:00+00:00,38.583,0.746,-0.185,0.439,11.16
2026-02-25T22:40:00+00:00,41.488,0.802,-0.196,0.513,11.15
2026-02-25T22:45:00+00:00,32.363,0.626,-0.188,0.342,11.172
2026-02-25T22:50:00+00:00,45.07,0.871,-0.204,0.574,11.158
2026-02-25T22:55:00+00:00,40.363,0.781,-0.206,0.488,11.158
2026-02-25T23:00:00+00:00,47.335,0.915,-0.193,0.631,11.154
2026-02-25T23:05:00+00:00,50.831,0.981,-0.217,0.711,11.141
2026-02-25T23:10:00+00:00,52.926,1.027,-0.238,0.732,11.2
2026-02-25T23:15:00+00:00,63.87,1.241,-0.264,0.926,11.227
2026-02-25T23:20:00+00:00,62.248,1.205,-0.273,0.9,11.189
2026-02-25T23:25:00+00:00,70.46,1.363,-0.289,1.061,11.166
2026-02-25T23:30:00+00:00,78.877,1.522,-0.334,1.208,11.141
2026-02-25T23:35:00+00:00,72.75,1.406,-0.284,1.106,11.148
2026-02-25T23:40:00+00:00,70.92,1.37,-0.266,1.066,11.151
2026-02-25T23:45:00+00:00,63.825,1.232,-0.236,0.955,11.142
2026-02-25T23:50:00+00:00,67.282,1.298,-0.238,1.023,11.142
2026-02-25T23:55:00+00:00,56.593,1.093,-0.215,0.819,11.147
2026-02-26T00:00:00+00:00,63.476,1.229,-0.214,0.957,11.165
2026-02-26T00:05:00+00:00,59.794,1.154,-0.235,0.868,11.127
2026-02-26T00:10:00+00:00,58.383,1.125,-0.249,0.825,11.1
2026-02-26T00:15:00+00:00,67.025,1.296,-0.258,0.971,11.148
2026-02-26T00:20:00+00:00,71.69,1.391,-0.259,1.066,11.197
2026-02-26T00:25:00+00:00,61.045,1.184,-0.272,0.833,11.198
2026-02-26T00:30:00+00:00,52.442,1.019,-0.246,0.662,11.215
2026-02-26T00:35:00+00:00,51.247,0.985,-0.249,0.636,11.091
2026-02-26T00:40:00+00:00,49.394,0.946,-0.222,0.604,11.057
2026-02-26T00:45:00+00:00,49.241,0.941,-0.24,0.61,11.029
2026-02-26T00:50:00+00:00,60.478,1.156,-0.273,0.822,11.031
2026-02-26T00:55:00+00:00,40.768,0.776,-0.222,0.438,10.999
2026-02-26T01:00:00+00:00,43.412,0.829,-0.214,0.509,11.024
2026-02-26T01:05:00+00:00,38.612,0.738,-0.187,0.407,11.029
2026-02-26T01:10:00+00:00,39.593,0.756,-0.179,0.429,11.026
2026-02-26T01:15:00+00:00,39.173,0.746,-0.186,0.42,11.023
2026-02-26T01:20:00+00:00,38.943,0.745,-0.196,0.425,11.05
2026-02-26T01:25:00+00:00,41.939,0.803,-0.181,0.488,11.062
2026-02-26T01:30:00+00:00,42.455,0.814,-0.207,0.495,11.06
2026-02-26T01:35:00+00:00,39.532,0.756,-0.185,0.425,11.062
2026-02-26T01:40:00+00:00,24.15,0.463,-0.15,0.136,11.064
2026-02-26T01:45:00+00:00,31.888,0.613,-0.153,0.282,11.101
2026-02-26T01:50:00+00:00,34.46,0.664,-0.141,0.33,11.099
2026-02-26T01:55:00+00:00,30.552,0.588,-0.136,0.242,11.094
2026-02-26T02:00:00+00:00,40.877,0.787,-0.171,0.452,11.121
2026-02-26T02:05:00+00:00,42.457,0.816,-0.173,0.449,11.099
2026-02-26T02:10:00+00:00,47.628,0.915,-0.195,0.554,11.089
2026-02-26T02:15:00+00:00,48.587,0.934,-0.187,0.589,11.091
2026-02-26T02:20:00+00:00,45.838,0.879,-0.191,0.56,11.081
2026-02-26T02:25:00+00:00,56.898,1.096,-0.227,0.759,11.113
2026-02-26T02:30:00+00:00,49.677,0.957,-0.199,0.608,11.122
2026-02-26T02:35:00+00:00,46.552,0.896,-0.206,0.55,11.106
2026-02-26T02:40:00+00:00,47.663,0.918,-0.201,0.587,11.13
2026-02-26T02:45:00+00:00,54.888,1.059,-0.225,0.715,11.135
2026-02-26T02:50:00+00:00,58.048,1.12,-0.225,0.788,11.144
2026-02-26T02:55:00+00:00,51.703,0.997,-0.219,0.689,11.139
2026-02-26T03:00:00+00:00,50.506,0.973,-0.202,0.663,11.122
2026-02-26T03:05:00+00:00,62.523,1.204,-0.255,0.872,11.124
2026-02-26T03:10:00+00:00,69.268,1.333,-0.272,0.991,11.111
2026-02-26T03:15:00+00:00,69.447,1.341,-0.289,0.995,11.147
2026-02-26T03:20:00+00:00,79.44,1.535,-0.332,1.183,11.157
2026-02-26T03:25:00+00:00,76.943,1.488,-0.348,1.131,11.162
2026-02-26T03:30:00+00:00,72.282,1.399,-0.318,1.065,11.178
2026-02-26T03:35:00+00:00,63.748,1.235,-0.285,0.908,11.181
2026-02-26T03:40:00+00:00,66.11,1.281,-0.292,0.949,11.188
2026-02-26T03:45:00+00:00,67.75,1.31,-0.274,0.994,11.166
2026-02-26T03:50:00+00:00,72.878,1.404,-0.31,1.081,11.126
2026-02-26T03:55:00+00:00,66.222,1.269,-0.3,0.954,11.071
2026-02-26T04:00:00+00:00,63.309,1.215,-0.269,0.904,11.084
2026-02-26T04:05:00+00:00,73.925,1.416,-0.314,1.096,11.058
2026-02-26T04:10:00+00:00,78.378,1.499,-0.346,1.182,11.042
2026-02-26T04:15:00+00:00,69.333,1.325,-0.324,1.015,11.034
2026-02-26T04:20:00+00:00,73.855,1.412,-0.351,1.097,11.027
2026-02-26T04:25:00+00:00,73.96,1.413,-0.334,1.107,11.027
2026-02-26T04:30:00+00:00,67.248,1.286,-0.343,0.98,11.032
2026-02-26T04:35:00+00:00,66.838,1.277,-0.357,0.969,11.024
2026-02-26T04:40:00+00:00,66.102,1.262,-0.377,0.944,11.032
2026-02-26T04:45:00+00:00,75.708,1.449,-0.389,1.141,11.05
2026-02-26T04:50:00+00:00,83.027,1.589,-0.401,1.274,11.051
2026-02-26T04:55:00+00:00,77.278,1.48,-0.399,1.147,11.063
2026-02-26T05:00:00+00:00,81.517,1.559,-0.377,1.243,11.061
2026-02-26T05:05:00+00:00,84.047,1.605,-0.4,1.275,11.023
2026-02-26T05:10:00+00:00,78.838,1.505,-0.392,1.197,11.013
2026-02-26T05:15:00+00:00,82.722,1.576,-0.402,1.256,11.002
2026-02-26T05:20:00+00:00,87.78,1.676,-0.409,1.342,11.023
2026-02-26T05:25:00+00:00,83.182,1.589,-0.399,1.268,11.027
2026-02-26T05:30:00+00:00,93.705,1.789,-0.423,1.46,11.02
2026-02-26T05:35:00+00:00,95.127,1.816,-0.449,1.48,11.018
2026-02-26T05:40:00+00:00,96.423,1.84,-0.46,1.486,11.012
2026-02-26T05:45:00+00:00,85.157,1.621,-0.392,1.297,10.992
2026-02-26T05:50:00+00:00,74.382,1.415,-0.343,1.091,10.984
2026-02-26T05:55:00+00:00,77.177,1.471,-0.368,1.129,11.002
2026-02-26T06:00:00+00:00,84.798,1.61,-0.419,1.243,10.954
2026-02-26T06:05:00+00:00,89.152,1.705,-0.451,1.313,11.037
2026-02-26T06:10:00+00:00,88.398,1.704,-0.477,1.324,11.131
2026-02-26T06:15:00+00:00,91.625,1.77,-0.466,1.384,11.155
