ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,124.239,2.58,0.479,2.509,10.929
2026-02-25T00:10:00+00:00,128.523,2.599,0.479,2.529,10.885
2026-02-25T00:15:00+00:00,135.002,2.617,0.478,2.549,10.853
2026-02-25T00:20:00+00:00,133.808,2.636,0.478,2.569,10.871
2026-02-25T00:25:00+00:00,132.21,2.655,0.477,2.589,10.861
2026-02-25T00:30:00+00:00,131.45,2.673,0.477,2.609,10.878
2026-02-25T00:35:00+00:00,133.529,2.692,0.476,2.629,10.912
2026-02-25T00:40:00+00:00,138.925,2.695,0.476,2.633,11.004
2026-02-25T00:45:00+00:00,137.931,2.679,0.476,2.618,11.004
2026-02-25T00:50:00+00:00,135.138,2.664,0.475,2.603,11.02
2026-02-25T00:55:00+00:00,134.688,2.649,0.475,2.588,11.031
2026-02-25T01:00:00+00:00,135.221,2.633,0.474,2.573,11.035
2026-02-25T01:05:00+00:00,136.718,2.618,0.474,2.558,11.004
2026-02-25T01:10:00+00:00,135.08,2.602,0.473,2.543,11.007
2026-02-25T01:15:00+00:00,133.52,2.587,0.473,2.527,11.007
2026-02-25T01:20:00+00:00,135.31,2.571,0.472,2.512,11.027
2026-02-25T01:25:00+00:00,133.337,2.556,0.472,2.497,11.044
2026-02-25T01:30:00+00:00,132.498,2.547,0.472,2.488,11.046
2026-02-25T01:35:00+00:00,131.836,2.543,0.471,2.483,11.033
2026-02-25T01:40:00+00:00,132.635,2.539,0.471,2.479,11.039
2026-02-25T01:45:00+00:00,132.867,2.535,0.47,2.475,11.066
2026-02-25T01:50:00+00:00,129.191,2.531,0.47,2.47,11.102
2026-02-25T01:55:00+00:00,130.061,2.527,0.469,2.466,11.103
2026-02-25T02:00:00+00:00,132.006,2.523,0.469,2.462,11.105
2026-02-25T02:05:00+00:00,134.843,2.519,0.468,2.457,11.085
2026-02-25T02:10:00+00:00,136.337,2.515,0.468,2.453,11.084
2026-02-25T02:15:00+00:00,134.979,2.511,0.467,2.449,10.923
2026-02-25T02:20:00+00:00,136.009,2.507,0.467,2.444,10.949
2026-02-25T02:25:00+00:00,134.265,2.503,0.467,2.44,10.963
2026-02-25T02:30:00+00:00,133.183,2.5,0.466,2.435,10.983
2026-02-25T02:35:00+00:00,134.596,2.496,0.466,2.431,10.955
2026-02-25T02:40:00+00:00,135.584,2.492,0.465,2.427,10.967
2026-02-25T02:45:00+00:00,138.196,2.488,0.465,2.422,10.985
2026-02-25T02:50:00+00:00,137.026,2.484,0.464,2.418,11.039
2026-02-25T02:55:00+00:00,135.05,2.48,0.464,2.414,11.044
2026-02-25T03:00:00+00:00,133.162,2.476,0.463,2.409,11.038
2026-02-25T03:05:00+00:00,136.261,2.472,0.463,2.405,11.007
2026-02-25T03:10:00+00:00,133.541,2.468,0.463,2.401,11.021
2026-02-25T03:15:00+00:00,129.479,2.464,0.462,2.396,11.028
2026-02-25T03:20:00+00:00,129.226,2.46,0.462,2.392,11.029
2026-02-25T03:25:00+00:00,129.315,2.456,0.461,2.388,11.04
2026-02-25T03:30:00+00:00,128.773,2.452,0.461,2.383,11.037
2026-02-25T03:35:00+00:00,130.647,2.449,0.46,2.379,11.032
2026-02-25T03:40:00+00:00,130.116,2.445,0.46,2.374,11.044
