ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,105.122,0.0,0.177,-1.255,10.866
2026-02-25T00:10:00+00:00,112.282,0.0,0.173,-1.356,10.83
2026-02-25T00:15:00+00:00,112.414,0.0,0.173,-1.367,10.887
2026-02-25T00:20:00+00:00,111.042,0.0,0.173,-1.354,10.902
2026-02-25T00:25:00+00:00,110.584,0.0,0.172,-1.343,10.897
2026-02-25T00:30:00+00:00,109.718,0.0,0.172,-1.344,10.914
2026-02-25T00:35:00+00:00,111.814,0.0,0.172,-1.381,10.876
2026-02-25T00:40:00+00:00,113.486,0.0,0.172,-1.404,10.841
2026-02-25T00:45:00+00:00,113.124,0.0,0.172,-1.401,10.848
2026-02-25T00:50:00+00:00,112.827,0.0,0.171,-1.399,10.866
2026-02-25T00:55:00+00:00,113.326,0.0,0.171,-1.396,10.886
2026-02-25T01:00:00+00:00,113.31,0.0,0.171,-1.404,10.897
2026-02-25T01:05:00+00:00,113.798,0.0,0.171,-1.414,10.872
2026-02-25T01:10:00+00:00,113.32,0.0,0.171,-1.405,10.87
2026-02-25T01:15:00+00:00,113.785,0.0,0.17,-1.413,10.884
2026-02-25T01:20:00+00:00,114.5,0.0,0.17,-1.432,10.883
2026-02-25T01:25:00+00:00,114.168,0.0,0.17,-1.42,10.901
2026-02-25T01:30:00+00:00,112.348,0.0,0.17,-1.395,10.918
2026-02-25T01:35:00+00:00,112.981,0.0,0.17,-1.399,10.914
2026-02-25T01:40:00+00:00,112.574,0.0,0.169,-1.383,10.921
2026-02-25T01:45:00+00:00,111.752,0.0,0.169,-1.38,10.942
2026-02-25T01:50:00+00:00,109.72,0.0,0.169,-1.356,10.962
2026-02-25T01:55:00+00:00,109.72,0.0,0.169,-1.359,10.983
2026-02-25T02:00:00+00:00,108.652,0.0,0.158,-1.354,10.977
2026-02-25T02:05:00+00:00,110.396,0.0,0.14,-1.361,10.949
2026-02-25T02:10:00+00:00,109.574,0.0,0.155,-1.361,10.962
2026-02-25T02:15:00+00:00,110.523,0.0,0.186,-1.37,10.992
2026-02-25T02:20:00+00:00,110.982,0.0,0.195,-1.37,10.996
2026-02-25T02:25:00+00:00,111.136,0.0,0.204,-1.375,11.007
2026-02-25T02:30:00+00:00,109.072,0.0,0.213,-1.342,11.025
2026-02-25T02:35:00+00:00,109.182,0.0,0.222,-1.344,11.01
2026-02-25T02:40:00+00:00,108.996,0.0,0.231,-1.338,11.02
2026-02-25T02:45:00+00:00,106.25,0.0,0.241,-1.309,11.044
2026-02-25T02:50:00+00:00,103.023,0.0,0.248,-1.287,11.012
2026-02-25T02:55:00+00:00,102.059,0.0,0.246,-1.259,10.858
2026-02-25T03:00:00+00:00,101.662,0.0,0.243,-1.258,10.862
2026-02-25T03:05:00+00:00,102.994,0.0,0.239,-1.277,10.824
2026-02-25T03:10:00+00:00,101.902,0.0,0.235,-1.261,10.819
2026-02-25T03:15:00+00:00,102.156,0.0,0.232,-1.261,10.824
2026-02-25T03:20:00+00:00,102.034,0.0,0.228,-1.254,10.837
2026-02-25T03:25:00+00:00,100.635,0.0,0.224,-1.231,10.846
2026-02-25T03:30:00+00:00,100.262,0.0,0.22,-1.229,10.845
2026-02-25T03:35:00+00:00,98.666,0.0,0.217,-1.213,10.84
2026-02-25T03:40:00+00:00,98.227,0.0,0.213,-1.206,10.85
2026-02-25T03:45:00+00:00,96.858,0.0,0.209,-1.183,10.884
2026-02-25T03:50:00+00:00,96.002,0.0,0.206,-1.168,10.892
2026-02-25T03:55:00+00:00,94.079,0.0,0.202,-1.151,10.909
2026-02-25T04:00:00+00:00,93.779,0.0,0.198,-1.162,10.927
2026-02-25T04:05:00+00:00,93.682,0.0,0.194,-1.16,10.941
2026-02-25T04:10:00+00:00,93.524,0.0,0.191,-1.143,10.956
2026-02-25T04:15:00+00:00,94.196,0.0,0.211,-1.157,10.954
2026-02-25T04:20:00+00:00,95.642,0.0,0.24,-1.18,10.94
2026-02-25T04:25:00+00:00,94.343,0.0,0.245,-1.153,10.944
2026-02-25T04:30:00+00:00,93.351,0.0,0.249,-1.151,10.948
2026-02-25T04:35:00+00:00,94.377,0.0,0.253,-1.156,10.96
2026-02-25T04:40:00+00:00,94.91,0.0,0.257,-1.165,10.969
2026-02-25T04:45:00+00:00,94.084,0.0,0.261,-1.156,10.985
2026-02-25T04:50:00+00:00,90.714,0.0,0.265,-1.118,10.993
2026-02-25T04:55:00+00:00,90.331,0.0,0.262,-1.122,10.992
2026-02-25T05:00:00+00:00,90.112,0.0,0.254,-1.12,11.007
2026-02-25T05:05:00+00:00,87.639,0.0,0.246,-1.091,10.995
2026-02-25T05:10:00+00:00,89.738,0.0,0.238,-1.113,10.965
2026-02-25T05:15:00+00:00,89.479,0.0,0.234,-1.119,10.964
2026-02-25T05:20:00+00:00,90.824,0.0,0.231,-1.128,10.966
2026-02-25T05:25:00+00:00,90.792,0.0,0.228,-1.115,10.959
2026-02-25T05:30:00+00:00,90.301,0.0,0.225,-1.12,10.978
2026-02-25T05:35:00+00:00,89.69,0.0,0.222,-1.118,10.97
2026-02-25T05:40:00+00:00,91.717,0.0,0.219,-1.134,10.966
2026-02-25T05:45:00+00:00,91.308,0.0,0.216,-1.138,10.944
2026-02-25T05:50:00+00:00,91.653,0.0,0.213,-1.145,10.934
2026-02-25T05:55:00+00:00,93.263,0.0,0.21,-1.161,10.942
2026-02-25T06:00:00+00:00,94.982,0.0,0.207,-1.176,10.92
2026-02-25T06:05:00+00:00,96.962,0.0,0.204,-1.2,10.874
2026-02-25T06:10:00+00:00,99.137,0.0,0.2,-1.217,10.821
2026-02-25T06:15:00+00:00,103.447,0.0,0.184,-1.246,10.96
2026-02-25T06:20:00+00:00,105.495,0.0,0.169,-1.284,10.961
2026-02-25T06:25:00+00:00,105.494,0.0,0.192,-1.308,10.941
2026-02-25T06:30:00+00:00,107.852,0.0,0.214,-1.334,10.918
2026-02-25T06:35:00+00:00,111.094,0.0,0.227,-1.362,10.881
2026-02-25T06:40:00+00:00,111.583,0.0,0.24,-1.372,10.849
2026-02-25T06:45:00+00:00,113.704,0.0,0.259,-1.398,10.842
2026-02-25T06:50:00+00:00,116.507,0.0,0.282,-1.404,10.828
2026-02-25T06:55:00+00:00,119.233,0.0,0.305,-1.461,10.828
2026-02-25T07:00:00+00:00,121.43,0.0,0.327,-1.498,10.898
2026-02-25T07:05:00+00:00,122.61,0.0,0.339,-1.495,10.866
2026-02-25T07:10:00+00:00,127.571,0.0,0.317,-1.539,10.802
2026-02-25T07:15:00+00:00,128.291,0.0,0.215,-1.602,10.926
2026-02-25T07:20:00+00:00,130.035,0.0,0.212,-1.648,10.992
2026-02-25T07:25:00+00:00,127.722,0.0,0.21,-1.63,11.013
2026-02-25T07:30:00+00:00,129.161,0.0,0.207,-1.653,11.018
2026-02-25T07:35:00+00:00,130.853,0.0,0.204,-1.659,11.016
2026-02-25T07:40:00+00:00,131.188,0.0,0.201,-1.666,10.988
2026-02-25T07:45:00+00:00,131.29,0.0,0.199,-1.666,10.99
2026-02-25T07:50:00+00:00,133.014,0.0,0.196,-1.669,10.984
2026-02-25T07:55:00+00:00,135.99,0.0,0.193,-1.726,10.978
2026-02-25T08:00:00+00:00,132.997,0.0,0.191,-1.69,10.963
2026-02-25T08:05:00+00:00,133.229,0.0,0.192,-1.677,10.956
2026-02-25T08:10:00+00:00,134.094,0.0,0.193,-1.685,10.942
2026-02-25T08:15:00+00:00,134.449,0.0,0.191,-1.7,10.938
2026-02-25T08:20:00+00:00,135.762,0.0,0.188,-1.76,10.938
2026-02-25T08:25:00+00:00,134.577,0.0,0.186,-1.735,10.938
2026-02-25T08:30:00+00:00,137.556,0.0,0.183,-1.754,10.955
2026-02-25T08:35:00+00:00,138.28,0.0,0.181,-1.783,10.957
2026-02-25T08:40:00+00:00,137.678,0.0,0.178,-1.786,10.95
2026-02-25T08:45:00+00:00,139.672,0.0,0.175,-1.813,10.958
2026-02-25T08:50:00+00:00,138.986,0.0,0.173,-1.791,10.954
2026-02-25T08:55:00+00:00,137.296,0.0,0.17,-1.77,10.937
2026-02-25T09:00:00+00:00,136.207,0.0,0.167,-1.75,10.931
2026-02-25T09:05:00+00:00,137.63,0.0,0.164,-1.755,10.919
2026-02-25T09:10:00+00:00,139.162,0.0,0.162,-1.759,10.928
2026-02-25T09:15:00+00:00,139.284,0.0,0.159,-1.76,10.922
2026-02-25T09:20:00+00:00,142.862,0.0,0.157,-1.794,10.916
2026-02-25T09:25:00+00:00,143.846,0.0,0.154,-1.815,10.934
2026-02-25T09:30:00+00:00,141.824,0.0,0.151,-1.809,10.948
2026-02-25T09:35:00+00:00,144.115,0.0,0.149,-1.818,10.953
2026-02-25T09:40:00+00:00,143.126,0.0,0.146,-1.804,10.965
2026-02-25T09:45:00+00:00,144.62,0.0,0.143,-1.835,10.972
2026-02-25T09:50:00+00:00,142.836,0.0,0.141,-1.81,10.99
2026-02-25T09:55:00+00:00,142.128,0.0,0.138,-1.81,10.997
2026-02-25T10:00:00+00:00,144.724,0.0,0.175,-1.839,11.009
2026-02-25T10:05:00+00:00,144.968,0.0,0.178,-1.841,11.003
2026-02-25T10:10:00+00:00,145.726,0.0,0.181,-1.844,11.014
2026-02-25T10:15:00+00:00,144.836,0.0,0.184,-1.834,11.02
2026-02-25T10:20:00+00:00,143.681,0.0,0.187,-1.827,11.043
2026-02-25T10:25:00+00:00,145.116,0.0,0.19,-1.861,11.029
2026-02-25T10:30:00+00:00,146.989,0.0,0.193,-1.871,11.058
2026-02-25T10:35:00+00:00,145.165,0.0,0.197,-1.836,10.916
2026-02-25T10:40:00+00:00,141.016,0.0,0.199,-1.809,10.901
2026-02-25T10:45:00+00:00,140.024,0.0,0.199,-1.781,10.904
2026-02-25T10:50:00+00:00,141.24,0.0,0.198,-1.781,10.92
2026-02-25T10:55:00+00:00,138.569,0.0,0.197,-1.75,10.964
2026-02-25T11:00:00+00:00,139.607,0.0,0.196,-1.763,10.961
2026-02-25T11:05:00+00:00,138.199,0.0,0.196,-1.724,10.934
2026-02-25T11:10:00+00:00,141.263,0.0,0.194,-1.766,10.922
2026-02-25T11:15:00+00:00,141.206,0.0,0.194,-1.768,10.901
2026-02-25T11:20:00+00:00,139.23,0.0,0.193,-1.758,10.909
2026-02-25T11:25:00+00:00,138.259,0.0,0.192,-1.747,10.927
2026-02-25T11:30:00+00:00,136.039,0.0,0.191,-1.714,10.934
2026-02-25T11:35:00+00:00,130.233,0.0,0.19,-1.658,10.946
2026-02-25T11:40:00+00:00,128.152,0.0,0.189,-1.628,10.956
2026-02-25T11:45:00+00:00,131.832,0.0,0.188,-1.659,10.939
2026-02-25T11:50:00+00:00,134.981,0.0,0.187,-1.683,10.919
2026-02-25T11:55:00+00:00,132.509,0.0,0.188,-1.646,10.918
2026-02-25T12:00:00+00:00,131.696,0.0,0.19,-1.656,10.902
2026-02-25T12:05:00+00:00,138.416,0.0,0.193,-1.75,10.886
2026-02-25T12:10:00+00:00,139.234,0.0,0.195,-1.752,10.907
2026-02-25T12:15:00+00:00,139.996,0.0,0.197,-1.754,10.92
2026-02-25T12:20:00+00:00,139.39,0.0,0.2,-1.75,10.928
2026-02-25T12:25:00+00:00,137.614,0.0,0.202,-1.735,10.92
2026-02-25T12:30:00+00:00,132.078,0.0,0.204,-1.676,10.928
2026-02-25T12:35:00+00:00,136.781,0.0,0.206,-1.72,10.91
2026-02-25T12:40:00+00:00,140.17,0.0,0.208,-1.768,10.904
2026-02-25T12:45:00+00:00,136.741,0.0,0.209,-1.761,10.931
2026-02-25T12:50:00+00:00,136.294,0.0,0.205,-1.722,10.927
2026-02-25T12:55:00+00:00,135.705,0.0,0.201,-1.727,10.929
2026-02-25T13:00:00+00:00,135.898,0.0,0.205,-1.746,10.93
2026-02-25T13:05:00+00:00,136.1,0.0,0.212,-1.732,10.912
2026-02-25T13:10:00+00:00,138.093,0.0,0.214,-1.742,10.898
2026-02-25T13:15:00+00:00,139.064,0.0,0.212,-1.766,10.933
2026-02-25T13:20:00+00:00,136.664,0.0,0.199,-1.745,10.944
2026-02-25T13:25:00+00:00,137.036,0.0,0.198,-1.732,10.946
2026-02-25T13:30:00+00:00,135.909,0.0,0.203,-1.73,10.948
2026-02-25T13:35:00+00:00,136.257,0.0,0.199,-1.745,10.947
2026-02-25T13:40:00+00:00,136.798,0.0,0.188,-1.737,10.941
2026-02-25T13:45:00+00:00,136.353,0.0,0.178,-1.721,10.95
2026-02-25T13:50:00+00:00,137.539,0.0,0.198,-1.744,10.939
2026-02-25T13:55:00+00:00,139.495,0.0,0.2,-1.767,10.952
2026-02-25T14:00:00+00:00,139.92,0.0,0.208,-1.763,10.966
2026-02-25T14:05:00+00:00,136.293,0.0,0.204,-1.73,10.972
2026-02-25T14:10:00+00:00,136.176,0.0,0.198,-1.734,10.962
2026-02-25T14:15:00+00:00,135.812,0.0,0.193,-1.736,10.962
2026-02-25T14:20:00+00:00,135.481,0.0,0.198,-1.725,10.974
2026-02-25T14:25:00+00:00,132.62,0.0,0.204,-1.698,10.958
2026-02-25T14:30:00+00:00,132.103,0.0,0.204,-1.673,10.97
2026-02-25T14:35:00+00:00,132.94,0.0,0.203,-1.69,10.973
2026-02-25T14:40:00+00:00,134.752,0.0,0.201,-1.704,10.982
2026-02-25T14:45:00+00:00,135.088,0.0,0.199,-1.703,10.98
2026-02-25T14:50:00+00:00,136.735,0.0,0.197,-1.721,11.008
2026-02-25T14:55:00+00:00,133.062,0.0,0.195,-1.691,11.035
2026-02-25T15:00:00+00:00,130.458,0.0,0.193,-1.675,11.062
2026-02-25T15:05:00+00:00,130.724,0.0,0.19,-1.66,11.046
2026-02-25T15:10:00+00:00,134.865,0.0,0.188,-1.706,10.996
2026-02-25T15:15:00+00:00,136.772,0.0,0.187,-1.726,10.99
2026-02-25T15:20:00+00:00,138.534,0.0,0.185,-1.742,10.999
2026-02-25T15:25:00+00:00,140.238,0.0,0.183,-1.769,10.992
2026-02-25T15:30:00+00:00,141.382,0.0,0.187,-1.79,10.965
2026-02-25T15:35:00+00:00,141.272,0.0,0.188,-1.788,10.96
2026-02-25T15:40:00+00:00,141.986,0.0,0.181,-1.788,10.924
2026-02-25T15:45:00+00:00,142.57,0.0,0.174,-1.783,10.918
2026-02-25T15:50:00+00:00,146.746,0.0,0.182,-1.841,10.931
2026-02-25T15:55:00+00:00,147.029,0.0,0.214,-1.841,10.92
2026-02-25T16:00:00+00:00,149.778,0.0,0.223,-1.859,10.895
2026-02-25T16:05:00+00:00,147.491,0.0,0.233,-1.845,10.868
2026-02-25T16:10:00+00:00,150.671,0.0,0.17,-1.873,10.878
2026-02-25T16:15:00+00:00,154.313,0.0,0.135,-1.905,10.902
2026-02-25T16:20:00+00:00,157.622,0.0,0.134,-1.967,10.896
2026-02-25T16:25:00+00:00,157.016,0.0,0.132,-1.959,10.875
2026-02-25T16:30:00+00:00,156.069,0.0,0.142,-1.943,10.84
2026-02-25T16:35:00+00:00,155.918,0.0,0.158,-1.96,10.838
2026-02-25T16:40:00+00:00,157.692,0.0,0.154,-1.975,10.825
2026-02-25T16:45:00+00:00,163.959,0.0,0.163,-1.991,10.893
2026-02-25T16:50:00+00:00,168.298,0.0,0.154,-2.054,10.993
2026-02-25T16:55:00+00:00,170.878,0.0,0.157,-2.061,10.991
2026-02-25T17:00:00+00:00,172.95,0.0,0.161,-2.086,10.968
2026-02-25T17:05:00+00:00,168.544,0.0,0.157,-2.049,10.966
2026-02-25T17:10:00+00:00,167.575,0.0,0.154,-2.047,10.948
2026-02-25T17:15:00+00:00,169.879,0.0,0.147,-2.077,10.942
2026-02-25T17:20:00+00:00,171.454,0.0,0.151,-2.079,10.945
2026-02-25T17:25:00+00:00,170.274,0.0,0.146,-2.069,10.929
2026-02-25T17:30:00+00:00,171.126,0.0,0.144,-2.085,10.928
2026-02-25T17:35:00+00:00,173.184,0.0,0.137,-2.112,10.921
2026-02-25T17:40:00+00:00,177.468,0.0,0.112,-2.152,10.919
2026-02-25T17:45:00+00:00,177.23,0.0,0.089,-2.152,10.914
2026-02-25T17:50:00+00:00,177.546,0.0,0.08,-2.183,10.892
2026-02-25T17:55:00+00:00,180.092,0.0,0.127,-2.216,10.894
2026-02-25T18:00:00+00:00,180.469,0.0,0.128,-2.209,10.889
2026-02-25T18:05:00+00:00,183.616,0.0,0.129,-2.236,10.942
2026-02-25T18:10:00+00:00,185.743,0.0,0.129,-2.287,10.994
2026-02-25T18:15:00+00:00,186.017,0.0,0.126,-2.296,11.056
2026-02-25T18:20:00+00:00,186.61,0.0,0.12,-2.297,11.06
2026-02-25T18:25:00+00:00,186.202,0.0,0.116,-2.286,11.066
2026-02-25T18:30:00+00:00,182.397,0.0,0.134,-2.268,11.078
2026-02-25T18:35:00+00:00,176.96,0.0,0.148,-2.238,11.041
2026-02-25T18:40:00+00:00,175.168,0.0,0.151,-2.235,11.044
