ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.931,11.19
2026-02-25T00:10:00+00:00,1.94,11.114
2026-02-25T00:15:00+00:00,1.924,11.116
2026-02-25T00:20:00+00:00,1.879,11.109
2026-02-25T00:25:00+00:00,1.875,11.152
2026-02-25T00:30:00+00:00,1.873,11.2
2026-02-25T00:35:00+00:00,1.939,11.121
2026-02-25T00:40:00+00:00,1.943,11.1
2026-02-25T00:45:00+00:00,1.936,11.1
2026-02-25T00:50:00+00:00,1.887,11.13
2026-02-25T00:55:00+00:00,1.872,11.188
2026-02-25T01:00:00+00:00,1.89,11.2
2026-02-25T01:05:00+00:00,1.903,11.196
2026-02-25T01:10:00+00:00,1.881,11.2
2026-02-25T01:15:00+00:00,1.858,11.2
2026-02-25T01:20:00+00:00,1.842,11.2
2026-02-25T01:25:00+00:00,1.843,11.2
2026-02-25T01:30:00+00:00,1.839,11.2
2026-02-25T01:35:00+00:00,1.897,11.2
2026-02-25T01:40:00+00:00,1.904,11.2
2026-02-25T01:45:00+00:00,1.835,11.2
2026-02-25T01:50:00+00:00,1.845,11.2
2026-02-25T01:55:00+00:00,1.826,11.206
2026-02-25T02:00:00+00:00,1.814,11.2
2026-02-25T02:05:00+00:00,1.777,11.204
2026-02-25T02:10:00+00:00,1.766,11.207
2026-02-25T02:15:00+00:00,1.77,11.29
2026-02-25T02:20:00+00:00,1.742,11.265
2026-02-25T02:25:00+00:00,1.778,11.247
2026-02-25T02:30:00+00:00,1.772,11.3
2026-02-25T02:35:00+00:00,1.778,11.3
2026-02-25T02:40:00+00:00,1.782,11.3
2026-02-25T02:45:00+00:00,1.758,11.3
2026-02-25T02:50:00+00:00,1.712,11.3
2026-02-25T02:55:00+00:00,1.706,11.3
2026-02-25T03:00:00+00:00,1.707,11.3
2026-02-25T03:05:00+00:00,1.716,11.3
2026-02-25T03:10:00+00:00,1.711,11.3
2026-02-25T03:15:00+00:00,1.693,11.3
2026-02-25T03:20:00+00:00,1.67,11.3
2026-02-25T03:25:00+00:00,1.714,11.3
2026-02-25T03:30:00+00:00,1.706,11.3
2026-02-25T03:35:00+00:00,1.655,11.3
2026-02-25T03:40:00+00:00,1.636,11.3
2026-02-25T03:45:00+00:00,1.63,11.3
2026-02-25T03:50:00+00:00,1.644,11.3
2026-02-25T03:55:00+00:00,1.618,11.3
2026-02-25T04:00:00+00:00,1.612,11.3
2026-02-25T04:05:00+00:00,1.582,11.3
2026-02-25T04:10:00+00:00,1.576,11.3
2026-02-25T04:15:00+00:00,1.598,11.3
2026-02-25T04:20:00+00:00,1.616,11.3
2026-02-25T04:25:00+00:00,1.614,11.3
2026-02-25T04:30:00+00:00,1.649,11.3
2026-02-25T04:35:00+00:00,1.614,11.299
2026-02-25T04:40:00+00:00,1.62,11.289
2026-02-25T04:45:00+00:00,1.604,11.297
2026-02-25T04:50:00+00:00,1.606,11.286
2026-02-25T04:55:00+00:00,1.616,11.29
2026-02-25T05:00:00+00:00,1.633,11.3
2026-02-25T05:05:00+00:00,1.621,11.276
2026-02-25T05:10:00+00:00,1.607,11.2
2026-02-25T05:15:00+00:00,1.613,11.202
2026-02-25T05:20:00+00:00,1.603,11.2
2026-02-25T05:25:00+00:00,1.622,11.2
2026-02-25T05:30:00+00:00,1.654,11.2
2026-02-25T05:35:00+00:00,1.622,11.2
2026-02-25T05:40:00+00:00,1.639,11.2
2026-02-25T05:45:00+00:00,1.67,11.2
2026-02-25T05:50:00+00:00,1.688,11.2
2026-02-25T05:55:00+00:00,1.67,11.2
2026-02-25T06:00:00+00:00,1.69,11.2
2026-02-25T06:05:00+00:00,1.752,11.164
2026-02-25T06:10:00+00:00,1.838,11.1
2026-02-25T06:15:00+00:00,1.789,11.1
2026-02-25T06:20:00+00:00,1.618,11.181
2026-02-25T06:25:00+00:00,1.678,11.202
2026-02-25T06:30:00+00:00,1.74,11.268
2026-02-25T06:35:00+00:00,1.856,11.216
2026-02-25T06:40:00+00:00,1.906,11.202
2026-02-25T06:45:00+00:00,1.944,11.2
2026-02-25T06:50:00+00:00,1.95,11.2
2026-02-25T06:55:00+00:00,2.04,11.2
2026-02-25T07:00:00+00:00,2.082,11.2
2026-02-25T07:05:00+00:00,2.18,11.2
2026-02-25T07:10:00+00:00,2.312,11.155
2026-02-25T07:15:00+00:00,2.34,11.141
2026-02-25T07:20:00+00:00,2.394,11.11
2026-02-25T07:25:00+00:00,2.352,11.192
2026-02-25T07:30:00+00:00,2.37,11.2
2026-02-25T07:35:00+00:00,2.399,11.174
2026-02-25T07:40:00+00:00,2.398,11.126
2026-02-25T07:45:00+00:00,2.351,11.1
2026-02-25T07:50:00+00:00,2.357,11.1
2026-02-25T07:55:00+00:00,2.351,11.102
2026-02-25T08:00:00+00:00,2.366,11.259
2026-02-25T08:05:00+00:00,2.352,11.293
2026-02-25T08:10:00+00:00,2.426,11.279
2026-02-25T08:15:00+00:00,2.399,11.276
2026-02-25T08:20:00+00:00,2.376,11.298
2026-02-25T08:25:00+00:00,2.363,11.3
2026-02-25T08:30:00+00:00,2.403,11.3
2026-02-25T08:35:00+00:00,2.378,11.3
2026-02-25T08:40:00+00:00,2.362,11.3
2026-02-25T08:45:00+00:00,2.338,11.3
2026-02-25T08:50:00+00:00,2.362,11.3
2026-02-25T08:55:00+00:00,2.46,11.266
2026-02-25T09:00:00+00:00,2.508,11.215
2026-02-25T09:05:00+00:00,2.544,11.3
2026-02-25T09:10:00+00:00,2.619,11.3
2026-02-25T09:15:00+00:00,2.578,11.3
2026-02-25T09:20:00+00:00,2.491,11.3
2026-02-25T09:25:00+00:00,2.563,11.3
2026-02-25T09:30:00+00:00,2.93,11.3
2026-02-25T09:35:00+00:00,2.94,11.3
2026-02-25T09:40:00+00:00,2.728,11.3
2026-02-25T09:45:00+00:00,2.774,11.3
2026-02-25T09:50:00+00:00,3.055,11.334
2026-02-25T09:55:00+00:00,3.229,11.366
2026-02-25T10:00:00+00:00,3.352,11.164
2026-02-25T10:05:00+00:00,3.294,11.135
2026-02-25T10:10:00+00:00,3.096,11.2
2026-02-25T10:15:00+00:00,2.72,11.2
2026-02-25T10:20:00+00:00,2.64,11.2
2026-02-25T10:25:00+00:00,2.666,11.2
2026-02-25T10:30:00+00:00,2.725,11.2
2026-02-25T10:35:00+00:00,2.731,11.2
2026-02-25T10:40:00+00:00,2.722,11.2
2026-02-25T10:45:00+00:00,2.771,11.2
2026-02-25T10:50:00+00:00,2.74,11.2
2026-02-25T10:55:00+00:00,2.71,11.2
2026-02-25T11:00:00+00:00,2.663,11.202
2026-02-25T11:05:00+00:00,2.623,11.2
2026-02-25T11:10:00+00:00,2.484,11.2
2026-02-25T11:15:00+00:00,2.576,11.2
2026-02-25T11:20:00+00:00,2.519,11.2
2026-02-25T11:25:00+00:00,2.567,11.2
2026-02-25T11:30:00+00:00,2.529,11.2
2026-02-25T11:35:00+00:00,2.508,11.21
2026-02-25T11:40:00+00:00,2.478,11.217
2026-02-25T11:45:00+00:00,2.476,11.2
2026-02-25T11:50:00+00:00,2.502,11.2
2026-02-25T11:55:00+00:00,2.464,11.212
2026-02-25T12:00:00+00:00,2.445,11.217
2026-02-25T12:05:00+00:00,2.431,11.2
2026-02-25T12:10:00+00:00,2.489,11.208
2026-02-25T12:15:00+00:00,2.426,11.206
2026-02-25T12:20:00+00:00,2.383,11.214
2026-02-25T12:25:00+00:00,2.356,11.241
2026-02-25T12:30:00+00:00,2.386,11.25
2026-02-25T12:35:00+00:00,2.397,11.266
2026-02-25T12:40:00+00:00,2.405,11.27
2026-02-25T12:45:00+00:00,2.348,11.296
2026-02-25T12:50:00+00:00,2.362,11.3
2026-02-25T12:55:00+00:00,2.335,11.3
2026-02-25T13:00:00+00:00,2.323,11.226
2026-02-25T13:05:00+00:00,2.332,11.2
2026-02-25T13:10:00+00:00,2.396,11.2
2026-02-25T13:15:00+00:00,2.27,11.2
2026-02-25T13:20:00+00:00,2.264,11.2
2026-02-25T13:25:00+00:00,2.295,11.2
2026-02-25T13:30:00+00:00,2.342,11.182
2026-02-25T13:35:00+00:00,2.385,11.194
2026-02-25T13:40:00+00:00,2.33,11.2
2026-02-25T13:45:00+00:00,2.318,11.2
2026-02-25T13:50:00+00:00,2.256,11.2
2026-02-25T13:55:00+00:00,2.272,11.2
2026-02-25T14:00:00+00:00,2.216,11.2
2026-02-25T14:05:00+00:00,2.196,11.2
2026-02-25T14:10:00+00:00,2.28,11.2
2026-02-25T14:15:00+00:00,2.25,11.2
2026-02-25T14:20:00+00:00,2.246,11.2
2026-02-25T14:25:00+00:00,2.238,11.2
2026-02-25T14:30:00+00:00,2.389,11.2
2026-02-25T14:35:00+00:00,2.409,11.198
2026-02-25T14:40:00+00:00,2.328,11.178
2026-02-25T14:45:00+00:00,2.243,11.178
2026-02-25T14:50:00+00:00,1.963,11.2
2026-02-25T14:55:00+00:00,2.002,11.2
2026-02-25T15:00:00+00:00,2.015,11.2
2026-02-25T15:05:00+00:00,1.946,11.2
2026-02-25T15:10:00+00:00,2.042,11.2
2026-02-25T15:15:00+00:00,2.12,11.2
2026-02-25T15:20:00+00:00,2.12,11.2
2026-02-25T15:25:00+00:00,2.08,11.2
2026-02-25T15:30:00+00:00,2.145,11.2
2026-02-25T15:35:00+00:00,2.173,11.2
2026-02-25T15:40:00+00:00,2.164,11.2
2026-02-25T15:45:00+00:00,2.14,11.2
2026-02-25T15:50:00+00:00,2.147,11.184
2026-02-25T15:55:00+00:00,2.152,11.188
2026-02-25T16:00:00+00:00,2.272,11.114
2026-02-25T16:05:00+00:00,2.324,11.078
2026-02-25T16:10:00+00:00,2.249,11.17
2026-02-25T16:15:00+00:00,2.26,11.2
2026-02-25T16:20:00+00:00,2.249,11.2
2026-02-25T16:25:00+00:00,2.308,11.2
2026-02-25T16:30:00+00:00,2.37,11.2
2026-02-25T16:35:00+00:00,2.338,11.196
2026-02-25T16:40:00+00:00,2.288,11.13
2026-02-25T16:45:00+00:00,2.368,11.1
2026-02-25T16:50:00+00:00,2.518,11.126
2026-02-25T16:55:00+00:00,2.602,11.2
2026-02-25T17:00:00+00:00,2.624,11.2
2026-02-25T17:05:00+00:00,2.608,11.182
2026-02-25T17:10:00+00:00,2.681,11.2
2026-02-25T17:15:00+00:00,2.734,11.2
2026-02-25T17:20:00+00:00,2.764,11.2
2026-02-25T17:25:00+00:00,2.848,11.2
2026-02-25T17:30:00+00:00,2.82,11.2
2026-02-25T17:35:00+00:00,2.88,11.2
2026-02-25T17:40:00+00:00,2.9,11.2
2026-02-25T17:45:00+00:00,2.855,11.2
2026-02-25T17:50:00+00:00,2.887,11.2
2026-02-25T17:55:00+00:00,2.967,11.2
2026-02-25T18:00:00+00:00,3.016,11.2
2026-02-25T18:05:00+00:00,3.126,11.2
2026-02-25T18:10:00+00:00,3.18,11.2
2026-02-25T18:15:00+00:00,3.06,11.2
2026-02-25T18:20:00+00:00,3.043,11.2
2026-02-25T18:25:00+00:00,3.09,11.2
2026-02-25T18:30:00+00:00,3.177,11.2
2026-02-25T18:35:00+00:00,3.128,11.2
2026-02-25T18:40:00+00:00,3.094,11.255
2026-02-25T18:45:00+00:00,3.004,11.29
2026-02-25T18:50:00+00:00,2.994,11.3
2026-02-25T18:55:00+00:00,3.032,11.3
2026-02-25T19:00:00+00:00,3.023,11.319
2026-02-25T19:05:00+00:00,3.014,11.31
2026-02-25T19:10:00+00:00,3.047,11.3
2026-02-25T19:15:00+00:00,3.116,11.3
2026-02-25T19:20:00+00:00,3.109,11.3
2026-02-25T19:25:00+00:00,3.077,11.3
2026-02-25T19:30:00+00:00,3.122,11.3
2026-02-25T19:35:00+00:00,3.062,11.3
2026-02-25T19:40:00+00:00,3.044,11.3
2026-02-25T19:45:00+00:00,3.004,11.3
2026-02-25T19:50:00+00:00,2.944,11.258
2026-02-25T19:55:00+00:00,2.94,11.294
2026-02-25T20:00:00+00:00,2.9,11.3
2026-02-25T20:05:00+00:00,2.885,11.293
2026-02-25T20:10:00+00:00,2.906,11.215
2026-02-25T20:15:00+00:00,2.862,11.2
2026-02-25T20:20:00+00:00,2.79,11.2
2026-02-25T20:25:00+00:00,2.817,11.2
2026-02-25T20:30:00+00:00,2.856,11.2
2026-02-25T20:35:00+00:00,2.758,11.2
2026-02-25T20:40:00+00:00,2.649,11.2
2026-02-25T20:45:00+00:00,2.702,11.2
2026-02-25T20:50:00+00:00,2.661,11.2
2026-02-25T20:55:00+00:00,2.602,11.2
2026-02-25T21:00:00+00:00,2.604,11.202
2026-02-25T21:05:00+00:00,2.587,11.284
2026-02-25T21:10:00+00:00,2.5,11.3
2026-02-25T21:15:00+00:00,2.534,11.278
2026-02-25T21:20:00+00:00,2.515,11.25
2026-02-25T21:25:00+00:00,2.458,11.203
2026-02-25T21:30:00+00:00,2.413,11.203
2026-02-25T21:35:00+00:00,2.448,11.2
2026-02-25T21:40:00+00:00,2.439,11.236
2026-02-25T21:45:00+00:00,2.383,11.242
2026-02-25T21:50:00+00:00,2.379,11.2
2026-02-25T21:55:00+00:00,2.318,11.2
2026-02-25T22:00:00+00:00,2.318,11.2
2026-02-25T22:05:00+00:00,2.32,11.2
2026-02-25T22:10:00+00:00,2.275,11.2
2026-02-25T22:15:00+00:00,2.236,11.2
2026-02-25T22:20:00+00:00,2.178,11.2
2026-02-25T22:25:00+00:00,2.167,11.259
2026-02-25T22:30:00+00:00,2.109,11.28
2026-02-25T22:35:00+00:00,2.108,11.244
2026-02-25T22:40:00+00:00,2.04,11.215
2026-02-25T22:45:00+00:00,1.998,11.273
2026-02-25T22:50:00+00:00,2.001,11.3
2026-02-25T22:55:00+00:00,2.007,11.3
2026-02-25T23:00:00+00:00,1.99,11.3
2026-02-25T23:05:00+00:00,1.978,11.3
2026-02-25T23:10:00+00:00,1.976,11.3
2026-02-25T23:15:00+00:00,2.019,11.3
2026-02-25T23:20:00+00:00,1.953,11.225
2026-02-25T23:25:00+00:00,1.948,11.2
2026-02-25T23:30:00+00:00,1.944,11.2
2026-02-25T23:35:00+00:00,1.951,11.2
2026-02-25T23:40:00+00:00,1.94,11.2
2026-02-25T23:45:00+00:00,1.904,11.2
2026-02-25T23:50:00+00:00,1.832,11.2
2026-02-25T23:55:00+00:00,1.8,11.201
2026-02-26T00:00:00+00:00,1.78,11.21
2026-02-26T00:05:00+00:00,1.82,11.2
2026-02-26T00:10:00+00:00,1.881,11.2
2026-02-26T00:15:00+00:00,1.88,11.2
2026-02-26T00:20:00+00:00,1.898,11.2
2026-02-26T00:25:00+00:00,1.853,11.2
2026-02-26T00:30:00+00:00,1.808,11.2
2026-02-26T00:35:00+00:00,1.95,11.2
2026-02-26T00:40:00+00:00,2.002,11.145
2026-02-26T00:45:00+00:00,1.983,11.125
2026-02-26T00:50:00+00:00,1.952,11.188
2026-02-26T00:55:00+00:00,1.949,11.2
2026-02-26T01:00:00+00:00,1.95,11.2
2026-02-26T01:05:00+00:00,1.949,11.2
2026-02-26T01:10:00+00:00,1.922,11.2
2026-02-26T01:15:00+00:00,1.871,11.2
2026-02-26T01:20:00+00:00,1.88,11.2
2026-02-26T01:25:00+00:00,1.904,11.252
2026-02-26T01:30:00+00:00,1.9,11.297
2026-02-26T01:35:00+00:00,1.868,11.26
2026-02-26T01:40:00+00:00,1.84,11.21
2026-02-26T01:45:00+00:00,1.839,11.264
2026-02-26T01:50:00+00:00,1.856,11.3
2026-02-26T01:55:00+00:00,1.84,11.3
2026-02-26T02:00:00+00:00,1.826,11.3
2026-02-26T02:05:00+00:00,1.806,11.3
2026-02-26T02:10:00+00:00,1.787,11.3
2026-02-26T02:15:00+00:00,1.762,11.3
2026-02-26T02:20:00+00:00,1.717,11.3
2026-02-26T02:25:00+00:00,1.698,11.3
2026-02-26T02:30:00+00:00,1.704,11.3
2026-02-26T02:35:00+00:00,1.724,11.3
2026-02-26T02:40:00+00:00,1.787,11.3
2026-02-26T02:45:00+00:00,1.769,11.3
2026-02-26T02:50:00+00:00,1.781,11.298
2026-02-26T02:55:00+00:00,1.736,11.211
2026-02-26T03:00:00+00:00,1.711,11.2
2026-02-26T03:05:00+00:00,1.716,11.2
2026-02-26T03:10:00+00:00,1.68,11.196
2026-02-26T03:15:00+00:00,1.659,11.2
2026-02-26T03:20:00+00:00,1.642,11.2
2026-02-26T03:25:00+00:00,1.696,11.2
2026-02-26T03:30:00+00:00,1.732,11.2
2026-02-26T03:35:00+00:00,1.662,11.2
2026-02-26T03:40:00+00:00,1.63,11.2
2026-02-26T03:45:00+00:00,1.64,11.2
2026-02-26T03:50:00+00:00,1.644,11.2
2026-02-26T03:55:00+00:00,1.624,11.2
2026-02-26T04:00:00+00:00,1.599,11.2
2026-02-26T04:05:00+00:00,1.603,11.2
2026-02-26T04:10:00+00:00,1.608,11.2
2026-02-26T04:15:00+00:00,1.578,11.2
2026-02-26T04:20:00+00:00,1.576,11.2
2026-02-26T04:25:00+00:00,1.574,11.2
2026-02-26T04:30:00+00:00,1.644,11.2
2026-02-26T04:35:00+00:00,1.93,11.2
2026-02-26T04:40:00+00:00,1.953,11.2
2026-02-26T04:45:00+00:00,1.947,11.2
2026-02-26T04:50:00+00:00,1.945,11.2
2026-02-26T04:55:00+00:00,1.917,11.2
2026-02-26T05:00:00+00:00,1.916,11.185
2026-02-26T05:05:00+00:00,1.953,11.1
2026-02-26T05:10:00+00:00,1.872,11.1
2026-02-26T05:15:00+00:00,1.732,11.13
2026-02-26T05:20:00+00:00,1.72,11.145
2026-02-26T05:25:00+00:00,1.746,11.153
2026-02-26T05:30:00+00:00,1.744,11.2
2026-02-26T05:35:00+00:00,1.744,11.2
2026-02-26T05:40:00+00:00,1.746,11.2
2026-02-26T05:45:00+00:00,1.809,11.2
2026-02-26T05:50:00+00:00,1.818,11.212
2026-02-26T05:55:00+00:00,1.921,11.202
2026-02-26T06:00:00+00:00,1.888,11.2
2026-02-26T06:05:00+00:00,1.954,11.148
2026-02-26T06:10:00+00:00,1.968,11.232
2026-02-26T06:15:00+00:00,1.901,11.3
2026-02-26T06:20:00+00:00,1.944,11.3
2026-02-26T06:25:00+00:00,2.034,11.291
2026-02-26T06:30:00+00:00,2.118,11.266
2026-02-26T06:35:00+00:00,2.144,11.2
2026-02-26T06:40:00+00:00,2.112,11.2
2026-02-26T06:45:00+00:00,2.13,11.2
2026-02-26T06:50:00+00:00,2.184,11.2
2026-02-26T06:55:00+00:00,2.21,11.2
2026-02-26T07:00:00+00:00,2.264,11.165
2026-02-26T07:05:00+00:00,2.364,11.196
2026-02-26T07:10:00+00:00,2.408,11.101
2026-02-26T07:15:00+00:00,2.364,11.144
2026-02-26T07:20:00+00:00,2.486,11.2
2026-02-26T07:25:00+00:00,2.572,11.2
2026-02-26T07:30:00+00:00,2.586,11.213
2026-02-26T07:35:00+00:00,2.47,11.2
2026-02-26T07:40:00+00:00,2.529,11.2
2026-02-26T07:45:00+00:00,2.481,11.2
2026-02-26T07:50:00+00:00,2.524,11.213
2026-02-26T07:55:00+00:00,2.478,11.226
2026-02-26T08:00:00+00:00,2.476,11.21
2026-02-26T08:05:00+00:00,2.438,11.2
2026-02-26T08:10:00+00:00,2.494,11.217
2026-02-26T08:15:00+00:00,2.536,11.3
2026-02-26T08:20:00+00:00,2.62,11.3
2026-02-26T08:25:00+00:00,2.58,11.246
2026-02-26T08:30:00+00:00,2.64,11.282
2026-02-26T08:35:00+00:00,2.666,11.3
2026-02-26T08:40:00+00:00,2.643,11.294
2026-02-26T08:45:00+00:00,2.722,11.244
2026-02-26T08:50:00+00:00,2.701,11.2
2026-02-26T08:55:00+00:00,2.806,11.2
2026-02-26T09:00:00+00:00,2.873,11.214
2026-02-26T09:05:00+00:00,2.955,11.21
2026-02-26T09:10:00+00:00,2.923,11.2
2026-02-26T09:15:00+00:00,2.93,11.2
2026-02-26T09:20:00+00:00,2.92,11.202
2026-02-26T09:25:00+00:00,2.884,11.21
2026-02-26T09:30:00+00:00,2.844,11.238
2026-02-26T09:35:00+00:00,2.788,11.29
2026-02-26T09:40:00+00:00,2.774,11.3
2026-02-26T09:45:00+00:00,2.753,11.3
2026-02-26T09:50:00+00:00,2.715,11.3
2026-02-26T09:55:00+00:00,2.704,11.3
2026-02-26T10:00:00+00:00,2.688,11.3
2026-02-26T10:05:00+00:00,2.754,11.3
2026-02-26T10:10:00+00:00,2.749,11.3
2026-02-26T10:15:00+00:00,2.731,11.3
2026-02-26T10:20:00+00:00,2.716,11.3
2026-02-26T10:25:00+00:00,2.771,11.3
2026-02-26T10:30:00+00:00,2.814,11.3
2026-02-26T10:35:00+00:00,2.81,11.3
2026-02-26T10:40:00+00:00,2.714,11.294
2026-02-26T10:45:00+00:00,2.636,11.272
2026-02-26T10:50:00+00:00,2.67,11.296
2026-02-26T10:55:00+00:00,2.71,11.292
2026-02-26T11:00:00+00:00,2.682,11.3
2026-02-26T11:05:00+00:00,2.716,11.3
2026-02-26T11:10:00+00:00,2.754,11.3
2026-02-26T11:15:00+00:00,2.789,11.3
2026-02-26T11:20:00+00:00,2.786,11.3
2026-02-26T11:25:00+00:00,2.697,11.3
2026-02-26T11:30:00+00:00,2.244,11.3
2026-02-26T11:35:00+00:00,2.217,11.3
2026-02-26T11:40:00+00:00,2.176,11.3
2026-02-26T11:45:00+00:00,2.251,11.3
2026-02-26T11:50:00+00:00,2.24,11.3
2026-02-26T11:55:00+00:00,2.318,11.3
2026-02-26T12:00:00+00:00,2.382,11.3
2026-02-26T12:05:00+00:00,2.316,11.3
2026-02-26T12:10:00+00:00,2.179,11.307
2026-02-26T12:15:00+00:00,2.046,11.3
2026-02-26T12:20:00+00:00,2.062,11.3
2026-02-26T12:25:00+00:00,2.202,11.312
2026-02-26T12:30:00+00:00,2.134,11.3
2026-02-26T12:35:00+00:00,2.22,11.3
2026-02-26T12:40:00+00:00,2.213,11.294
2026-02-26T12:45:00+00:00,2.118,11.3
2026-02-26T12:50:00+00:00,2.143,11.3
2026-02-26T12:55:00+00:00,1.929,11.3
2026-02-26T13:00:00+00:00,1.96,11.3
2026-02-26T13:05:00+00:00,2.06,11.271
2026-02-26T13:10:00+00:00,2.018,11.26
2026-02-26T13:15:00+00:00,2.009,11.3
2026-02-26T13:20:00+00:00,2.26,11.285
2026-02-26T13:25:00+00:00,2.258,11.29
2026-02-26T13:30:00+00:00,2.186,11.236
2026-02-26T13:35:00+00:00,2.154,11.3
2026-02-26T13:40:00+00:00,2.129,11.3
2026-02-26T13:45:00+00:00,2.08,11.3
2026-02-26T13:50:00+00:00,1.949,11.29
2026-02-26T13:55:00+00:00,2.045,11.3
2026-02-26T14:00:00+00:00,2.163,11.286
2026-02-26T14:05:00+00:00,2.12,11.298
2026-02-26T14:10:00+00:00,2.104,11.3
2026-02-26T14:15:00+00:00,2.182,11.3
2026-02-26T14:20:00+00:00,2.195,11.3
2026-02-26T14:25:00+00:00,2.15,11.3
2026-02-26T14:30:00+00:00,2.287,11.3
2026-02-26T14:35:00+00:00,2.316,11.3
2026-02-26T14:40:00+00:00,2.371,11.3
2026-02-26T14:45:00+00:00,2.319,11.3
2026-02-26T14:50:00+00:00,2.368,11.293
2026-02-26T14:55:00+00:00,2.45,11.284
2026-02-26T15:00:00+00:00,2.39,11.3
2026-02-26T15:05:00+00:00,2.434,11.308
2026-02-26T15:10:00+00:00,2.578,11.286
2026-02-26T15:15:00+00:00,2.604,11.2
2026-02-26T15:20:00+00:00,2.564,11.2
2026-02-26T15:25:00+00:00,2.561,11.2
2026-02-26T15:30:00+00:00,2.575,11.168
2026-02-26T15:35:00+00:00,2.582,11.108
2026-02-26T15:40:00+00:00,2.603,11.1
2026-02-26T15:45:00+00:00,2.658,11.1
2026-02-26T15:50:00+00:00,2.734,11.1
2026-02-26T15:55:00+00:00,2.764,11.124
2026-02-26T16:00:00+00:00,2.733,11.15
2026-02-26T16:05:00+00:00,2.664,11.1
2026-02-26T16:10:00+00:00,2.756,11.166
2026-02-26T16:15:00+00:00,2.799,11.3
2026-02-26T16:20:00+00:00,2.738,11.292
2026-02-26T16:25:00+00:00,2.782,11.3
2026-02-26T16:30:00+00:00,2.918,11.3
2026-02-26T16:35:00+00:00,2.952,11.3
2026-02-26T16:40:00+00:00,2.838,11.292
2026-02-26T16:45:00+00:00,2.934,11.268
2026-02-26T16:50:00+00:00,3.04,11.206
2026-02-26T16:55:00+00:00,3.156,11.2
2026-02-26T17:00:00+00:00,3.147,11.2
2026-02-26T17:05:00+00:00,3.102,11.176
2026-02-26T17:10:00+00:00,3.126,11.194
2026-02-26T17:15:00+00:00,3.217,11.106
2026-02-26T17:20:00+00:00,3.277,11.166
2026-02-26T17:25:00+00:00,3.359,11.282
2026-02-26T17:30:00+00:00,3.466,11.2
2026-02-26T17:35:00+00:00,3.552,11.2
2026-02-26T17:40:00+00:00,3.604,11.2
2026-02-26T17:45:00+00:00,3.605,11.2
2026-02-26T17:50:00+00:00,3.559,11.2
2026-02-26T17:55:00+00:00,3.616,11.2
2026-02-26T18:00:00+00:00,3.526,11.2
2026-02-26T18:05:00+00:00,3.486,11.198
2026-02-26T18:10:00+00:00,3.465,11.125
2026-02-26T18:15:00+00:00,3.452,11.122
2026-02-26T18:20:00+00:00,3.383,11.101
2026-02-26T18:25:00+00:00,3.364,11.176
2026-02-26T18:30:00+00:00,3.455,11.172
2026-02-26T18:35:00+00:00,3.483,11.138
2026-02-26T18:40:00+00:00,3.452,11.178
2026-02-26T18:45:00+00:00,3.458,11.157
2026-02-26T18:50:00+00:00,3.401,11.144
2026-02-26T18:55:00+00:00,3.472,11.198
2026-02-26T19:00:00+00:00,3.418,11.2
2026-02-26T19:05:00+00:00,3.386,11.2
2026-02-26T19:10:00+00:00,3.298,11.104
2026-02-26T19:15:00+00:00,3.279,11.151
2026-02-26T19:20:00+00:00,3.284,11.195
2026-02-26T19:25:00+00:00,3.227,11.2
2026-02-26T19:30:00+00:00,3.212,11.204
2026-02-26T19:35:00+00:00,3.218,11.286
2026-02-26T19:40:00+00:00,3.24,11.3
2026-02-26T19:45:00+00:00,3.204,11.298
2026-02-26T19:50:00+00:00,3.064,11.202
2026-02-26T19:55:00+00:00,3.046,11.232
2026-02-26T20:00:00+00:00,2.951,11.292
2026-02-26T20:05:00+00:00,2.956,11.29
2026-02-26T20:10:00+00:00,2.966,11.3
2026-02-26T20:15:00+00:00,2.96,11.297
2026-02-26T20:20:00+00:00,2.904,11.212
2026-02-26T20:25:00+00:00,2.838,11.2
2026-02-26T20:30:00+00:00,2.802,11.2
2026-02-26T20:35:00+00:00,2.792,11.2
2026-02-26T20:40:00+00:00,2.77,11.2
2026-02-26T20:45:00+00:00,2.699,11.2
2026-02-26T20:50:00+00:00,2.684,11.2
2026-02-26T20:55:00+00:00,2.726,11.2
2026-02-26T21:00:00+00:00,2.686,11.14
2026-02-26T21:05:00+00:00,2.644,11.1
2026-02-26T21:10:00+00:00,2.589,11.118
2026-02-26T21:15:00+00:00,2.6,11.148
2026-02-26T21:20:00+00:00,2.596,11.179
2026-02-26T21:25:00+00:00,2.551,11.17
2026-02-26T21:30:00+00:00,2.512,11.14
2026-02-26T21:35:00+00:00,2.508,11.166
2026-02-26T21:40:00+00:00,2.471,11.2
2026-02-26T21:45:00+00:00,2.454,11.263
2026-02-26T21:50:00+00:00,2.51,11.216
2026-02-26T21:55:00+00:00,2.468,11.2
2026-02-26T22:00:00+00:00,2.384,11.2
2026-02-26T22:05:00+00:00,2.33,11.2
2026-02-26T22:10:00+00:00,2.34,11.24
2026-02-26T22:15:00+00:00,2.278,11.3
2026-02-26T22:20:00+00:00,2.246,11.3
2026-02-26T22:25:00+00:00,2.187,11.246
2026-02-26T22:30:00+00:00,2.178,11.252
2026-02-26T22:35:00+00:00,2.131,11.2
