ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,199.04,12.098,-2.958,-10.867,33.973
2026-02-26T00:10:00+00:00,205.0,12.188,-3.357,-11.327,33.786
2026-02-26T00:15:00+00:00,206.888,12.228,-3.749,-11.548,33.579
2026-02-26T00:20:00+00:00,207.633,12.428,-3.631,-11.7,33.572
2026-02-26T00:25:00+00:00,204.668,12.627,-3.512,-11.852,33.642
2026-02-26T00:30:00+00:00,206.872,12.826,-3.393,-12.004,33.659
2026-02-26T00:35:00+00:00,214.691,13.043,-3.545,-12.228,33.597
2026-02-26T00:40:00+00:00,222.91,13.166,-3.755,-12.402,33.534
2026-02-26T00:45:00+00:00,224.552,13.017,-3.733,-12.348,33.523
2026-02-26T00:50:00+00:00,228.504,13.214,-3.712,-12.304,33.539
2026-02-26T00:55:00+00:00,228.551,13.112,-3.69,-12.261,33.558
2026-02-26T01:00:00+00:00,226.495,13.179,-3.669,-12.217,33.591
2026-02-26T01:05:00+00:00,226.801,13.142,-3.647,-12.173,33.623
2026-02-26T01:10:00+00:00,226.476,13.134,-3.625,-12.13,33.559
2026-02-26T01:15:00+00:00,230.252,13.106,-3.604,-12.086,33.601
2026-02-26T01:20:00+00:00,224.475,13.042,-3.582,-12.043,33.62
2026-02-26T01:25:00+00:00,226.008,12.977,-3.561,-11.999,33.623
2026-02-26T01:30:00+00:00,230.349,12.912,-3.54,-11.955,33.642
2026-02-26T01:35:00+00:00,230.323,12.847,-3.589,-11.912,33.655
2026-02-26T01:40:00+00:00,226.267,12.782,-3.911,-11.868,33.685
2026-02-26T01:45:00+00:00,222.768,12.717,-3.656,-11.825,33.732
2026-02-26T01:50:00+00:00,222.449,12.652,-3.464,-11.781,33.743
2026-02-26T01:55:00+00:00,223.839,12.586,-3.455,-11.738,33.768
2026-02-26T02:00:00+00:00,221.228,12.521,-3.642,-11.694,33.809
2026-02-26T02:05:00+00:00,220.034,12.457,-3.406,-11.65,33.748
2026-02-26T02:10:00+00:00,217.726,12.401,-3.512,-11.593,33.723
2026-02-26T02:15:00+00:00,213.71,12.3,-3.401,-11.482,33.75
2026-02-26T02:20:00+00:00,214.239,12.076,-3.443,-11.255,33.749
2026-02-26T02:25:00+00:00,208.144,11.931,-3.488,-11.108,33.803
2026-02-26T02:30:00+00:00,205.915,11.934,-3.473,-11.109,33.829
2026-02-26T02:35:00+00:00,211.702,12.004,-3.78,-11.174,33.87
2026-02-26T02:40:00+00:00,214.743,11.79,-3.963,-10.958,33.922
2026-02-26T02:45:00+00:00,205.402,11.58,-3.995,-10.739,33.941
2026-02-26T02:50:00+00:00,202.811,11.627,-4.092,-10.613,33.831
2026-02-26T02:55:00+00:00,199.451,11.74,-4.208,-10.493,33.835
2026-02-26T03:00:00+00:00,199.96,11.525,-4.377,-10.373,33.847
2026-02-26T03:05:00+00:00,191.579,11.031,-4.296,-10.271,33.832
2026-02-26T03:10:00+00:00,191.829,11.001,-4.642,-10.229,33.846
2026-02-26T03:15:00+00:00,192.583,10.819,-4.476,-9.975,33.887
2026-02-26T03:20:00+00:00,187.615,10.64,-4.59,-9.72,33.927
2026-02-26T03:25:00+00:00,187.391,10.666,-4.773,-9.664,33.984
2026-02-26T03:30:00+00:00,183.691,10.388,-4.643,-9.53,33.994
2026-02-26T03:35:00+00:00,177.411,9.956,-4.617,-9.068,33.951
2026-02-26T03:40:00+00:00,170.963,10.02,-4.519,-9.25,33.966
2026-02-26T03:45:00+00:00,168.037,9.601,-4.419,-8.847,33.985
2026-02-26T03:50:00+00:00,159.981,9.101,-4.32,-8.386,34.04
2026-02-26T03:55:00+00:00,160.791,9.71,-4.221,-8.832,34.102
2026-02-26T04:00:00+00:00,172.354,10.107,-4.106,-8.763,34.077
2026-02-26T04:05:00+00:00,169.279,9.692,-3.845,-8.577,33.898
2026-02-26T04:10:00+00:00,166.589,9.718,-3.657,-8.349,33.91
2026-02-26T04:15:00+00:00,164.081,9.759,-3.526,-8.017,33.899
2026-02-26T04:20:00+00:00,161.73,10.086,-3.509,-8.383,33.922
2026-02-26T04:25:00+00:00,168.297,10.35,-3.365,-8.777,33.928
2026-02-26T04:30:00+00:00,169.868,9.837,-3.33,-8.498,33.956
2026-02-26T04:35:00+00:00,164.413,9.478,-3.295,-8.269,33.942
2026-02-26T04:40:00+00:00,163.696,9.28,-3.261,-8.384,34.008
2026-02-26T04:45:00+00:00,163.139,9.081,-3.226,-8.311,34.053
2026-02-26T04:50:00+00:00,158.598,8.952,-3.191,-8.014,34.086
2026-02-26T04:55:00+00:00,152.371,9.163,-3.167,-8.015,34.08
2026-02-26T05:00:00+00:00,157.411,9.736,-3.279,-8.444,34.099
2026-02-26T05:05:00+00:00,158.961,9.297,-3.236,-8.165,33.981
2026-02-26T05:10:00+00:00,146.912,8.475,-3.072,-7.71,33.903
2026-02-26T05:15:00+00:00,142.887,8.611,-3.35,-7.609,33.897
2026-02-26T05:20:00+00:00,143.588,8.582,-3.681,-7.753,33.912
2026-02-26T05:25:00+00:00,152.241,9.535,-3.931,-8.166,33.97
2026-02-26T05:30:00+00:00,175.277,10.33,-4.003,-9.167,34.016
2026-02-26T05:35:00+00:00,175.479,9.809,-3.955,-8.694,33.977
2026-02-26T05:40:00+00:00,166.36,9.648,-3.792,-8.592,33.949
2026-02-26T05:45:00+00:00,167.383,9.983,-3.63,-8.965,33.959
2026-02-26T05:50:00+00:00,168.005,9.486,-3.467,-8.578,33.907
2026-02-26T05:55:00+00:00,160.973,8.897,-3.3,-8.161,33.839
2026-02-26T06:00:00+00:00,149.433,8.475,-3.626,-7.729,33.729
2026-02-26T06:05:00+00:00,152.0,8.871,-3.308,-8.49,33.683
2026-02-26T06:10:00+00:00,159.727,9.476,-3.27,-8.98,33.568
2026-02-26T06:15:00+00:00,158.58,9.363,-3.194,-8.89,33.563
2026-02-26T06:20:00+00:00,157.979,9.544,-2.684,-9.073,33.647
2026-02-26T06:25:00+00:00,159.197,9.726,-2.573,-9.255,33.6
2026-02-26T06:30:00+00:00,162.126,9.95,-2.481,-9.391,33.59
2026-02-26T06:35:00+00:00,168.294,10.202,-2.605,-9.603,33.517
2026-02-26T06:40:00+00:00,181.378,10.917,-2.9,-10.019,33.55
2026-02-26T06:45:00+00:00,184.726,11.263,-2.933,-10.409,33.63
2026-02-26T06:50:00+00:00,188.241,11.617,-2.865,-10.859,33.846
2026-02-26T06:55:00+00:00,194.112,11.688,-2.857,-11.233,33.823
2026-02-26T07:00:00+00:00,207.438,12.155,-2.848,-11.193,33.795
2026-02-26T07:05:00+00:00,203.822,11.915,-2.762,-10.957,33.731
2026-02-26T07:10:00+00:00,196.589,11.569,-2.543,-10.831,33.544
2026-02-26T07:15:00+00:00,203.713,12.052,-2.645,-11.353,33.513
2026-02-26T07:20:00+00:00,205.835,11.915,-2.675,-11.186,33.513
2026-02-26T07:25:00+00:00,199.229,11.492,-2.79,-10.8,33.435
2026-02-26T07:30:00+00:00,194.089,11.388,-2.379,-10.831,33.573
2026-02-26T07:35:00+00:00,192.923,11.621,-2.271,-11.09,33.647
2026-02-26T07:40:00+00:00,193.935,11.815,-2.312,-11.233,33.636
2026-02-26T07:45:00+00:00,201.275,12.0,-2.546,-11.611,33.696
2026-02-26T07:50:00+00:00,202.648,12.075,-2.774,-11.671,33.738
2026-02-26T07:55:00+00:00,207.136,11.976,-3.035,-11.75,33.734
2026-02-26T08:00:00+00:00,203.974,11.392,-3.329,-11.171,33.734
2026-02-26T08:05:00+00:00,201.994,11.293,-2.939,-11.118,33.666
2026-02-26T08:10:00+00:00,207.863,11.996,-2.324,-11.754,33.656
2026-02-26T08:15:00+00:00,205.228,11.869,-2.191,-11.528,33.67
2026-02-26T08:20:00+00:00,200.915,11.832,-2.224,-11.455,33.66
2026-02-26T08:25:00+00:00,201.976,11.796,-2.14,-11.56,33.67
2026-02-26T08:30:00+00:00,201.176,11.759,-2.127,-11.708,33.66
2026-02-26T08:35:00+00:00,203.668,11.722,-2.432,-11.913,33.653
2026-02-26T08:40:00+00:00,199.953,11.271,-2.742,-11.334,33.651
2026-02-26T08:45:00+00:00,197.418,11.781,-2.168,-11.594,33.651
2026-02-26T08:50:00+00:00,204.044,12.101,-2.7,-11.726,33.675
2026-02-26T08:55:00+00:00,205.876,12.176,-2.806,-11.667,33.674
2026-02-26T09:00:00+00:00,207.522,12.209,-2.431,-11.932,33.682
2026-02-26T09:05:00+00:00,208.586,12.429,-2.43,-11.904,33.684
2026-02-26T09:10:00+00:00,218.158,12.495,-2.643,-12.163,33.724
2026-02-26T09:15:00+00:00,211.097,12.14,-3.074,-11.867,33.689
2026-02-26T09:20:00+00:00,213.757,11.779,-2.729,-11.889,33.745
2026-02-26T09:25:00+00:00,204.37,11.809,-3.635,-11.346,33.749
2026-02-26T09:30:00+00:00,201.718,11.675,-2.06,-11.499,33.741
2026-02-26T09:35:00+00:00,198.214,11.575,-2.315,-11.414,33.724
2026-02-26T09:40:00+00:00,196.562,11.772,-2.109,-11.438,33.685
2026-02-26T09:45:00+00:00,199.065,12.216,-3.197,-11.496,33.728
2026-02-26T09:50:00+00:00,203.855,12.26,-2.256,-11.949,33.8
2026-02-26T09:55:00+00:00,206.544,12.289,-2.302,-12.041,33.877
2026-02-26T10:00:00+00:00,208.557,12.121,-2.252,-11.893,33.891
2026-02-26T10:05:00+00:00,201.986,11.606,-2.026,-11.387,33.859
2026-02-26T10:10:00+00:00,192.719,11.426,-1.941,-11.105,33.835
2026-02-26T10:15:00+00:00,196.296,11.36,-2.516,-11.067,33.874
2026-02-26T10:20:00+00:00,197.981,11.299,-2.214,-11.16,33.895
2026-02-26T10:25:00+00:00,194.989,11.238,-2.254,-11.095,33.832
2026-02-26T10:30:00+00:00,195.969,11.177,-2.244,-11.017,33.858
2026-02-26T10:35:00+00:00,195.674,10.855,-1.977,-10.905,33.874
2026-02-26T10:40:00+00:00,187.76,10.574,-1.574,-10.402,33.801
2026-02-26T10:45:00+00:00,180.537,11.035,-1.719,-10.626,33.818
2026-02-26T10:50:00+00:00,184.673,10.597,-1.871,-10.604,33.843
2026-02-26T10:55:00+00:00,169.446,9.62,-1.861,-9.723,33.873
2026-02-26T11:00:00+00:00,159.503,9.045,-1.817,-9.006,33.919
2026-02-26T11:05:00+00:00,152.773,8.832,-1.796,-8.653,33.935
2026-02-26T11:10:00+00:00,157.341,9.57,-1.886,-9.186,33.904
2026-02-26T11:15:00+00:00,166.339,10.064,-1.784,-9.778,33.903
2026-02-26T11:20:00+00:00,173.0,10.187,-1.998,-10.121,33.915
2026-02-26T11:25:00+00:00,170.006,10.184,-1.804,-10.188,33.91
2026-02-26T11:30:00+00:00,169.57,9.855,-1.796,-9.744,33.88
2026-02-26T11:35:00+00:00,165.342,9.723,-1.781,-9.663,33.865
2026-02-26T11:40:00+00:00,166.864,9.961,-1.767,-9.806,33.885
2026-02-26T11:45:00+00:00,166.46,10.256,-1.753,-9.946,33.879
2026-02-26T11:50:00+00:00,166.171,10.648,-1.812,-10.21,33.905
2026-02-26T11:55:00+00:00,174.249,10.715,-1.781,-10.506,33.9
2026-02-26T12:00:00+00:00,177.776,10.232,-1.786,-10.111,33.889
2026-02-26T12:05:00+00:00,167.203,9.849,-1.789,-9.738,33.857
2026-02-26T12:10:00+00:00,171.122,10.226,-1.793,-10.104,33.857
2026-02-26T12:15:00+00:00,177.296,10.599,-1.796,-10.484,33.879
2026-02-26T12:20:00+00:00,179.314,10.659,-1.749,-10.564,33.865
2026-02-26T12:25:00+00:00,183.145,10.649,-1.829,-10.545,33.88
2026-02-26T12:30:00+00:00,179.81,10.472,-1.765,-10.368,33.84
2026-02-26T12:35:00+00:00,178.161,10.27,-1.674,-10.169,33.775
2026-02-26T12:40:00+00:00,174.788,10.073,-1.583,-9.971,33.759
2026-02-26T12:45:00+00:00,166.23,9.807,-1.492,-9.69,33.757
2026-02-26T12:50:00+00:00,161.946,9.807,-1.401,-9.686,33.734
2026-02-26T12:55:00+00:00,162.184,9.909,-1.31,-9.786,33.765
2026-02-26T13:00:00+00:00,166.53,10.151,-1.302,-10.029,33.81
2026-02-26T13:05:00+00:00,175.478,10.325,-1.411,-10.198,33.772
2026-02-26T13:10:00+00:00,172.968,10.423,-1.52,-10.287,33.738
2026-02-26T13:15:00+00:00,174.692,10.109,-1.703,-9.973,33.792
2026-02-26T13:20:00+00:00,169.077,9.984,-1.98,-9.847,33.842
2026-02-26T13:25:00+00:00,166.095,9.949,-2.257,-9.824,33.856
2026-02-26T13:30:00+00:00,168.912,10.089,-2.534,-9.969,33.728
2026-02-26T13:35:00+00:00,176.044,10.073,-2.634,-9.922,33.765
2026-02-26T13:40:00+00:00,160.274,9.402,-2.182,-9.262,33.769
2026-02-26T13:45:00+00:00,161.144,9.831,-2.091,-9.459,33.753
2026-02-26T13:50:00+00:00,169.341,10.092,-1.897,-9.832,33.721
2026-02-26T13:55:00+00:00,162.204,10.169,-1.973,-9.836,33.79
2026-02-26T14:00:00+00:00,165.921,10.428,-2.357,-9.997,33.757
2026-02-26T14:05:00+00:00,168.743,10.693,-2.741,-10.162,33.761
2026-02-26T14:10:00+00:00,174.769,10.668,-2.615,-10.245,33.769
