ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,253.569,14.877,1.656,-14.39,33.864
2026-02-26T00:10:00+00:00,274.415,15.983,1.355,-15.568,33.598
2026-02-26T00:15:00+00:00,275.942,16.019,1.27,-15.892,33.508
2026-02-26T00:20:00+00:00,271.307,15.756,1.298,-15.699,33.55
2026-02-26T00:25:00+00:00,273.741,15.92,1.229,-15.872,33.602
2026-02-26T00:30:00+00:00,277.527,16.166,0.967,-16.13,33.606
2026-02-26T00:35:00+00:00,290.111,16.797,0.756,-16.775,33.417
2026-02-26T00:40:00+00:00,294.51,17.0,0.676,-16.986,33.31
2026-02-26T00:45:00+00:00,296.996,17.138,0.822,-17.12,33.317
2026-02-26T00:50:00+00:00,291.551,16.835,0.949,-16.809,33.307
2026-02-26T00:55:00+00:00,290.547,16.776,1.005,-16.751,33.324
2026-02-26T01:00:00+00:00,291.008,16.828,1.144,-16.784,33.377
2026-02-26T01:05:00+00:00,295.421,17.087,1.167,-17.042,33.373
2026-02-26T01:10:00+00:00,299.08,17.301,1.104,-17.256,33.366
2026-02-26T01:15:00+00:00,298.967,17.294,1.116,-17.257,33.372
2026-02-26T01:20:00+00:00,296.98,17.182,1.093,-17.158,33.424
2026-02-26T01:25:00+00:00,292.095,16.922,1.203,-16.87,33.451
2026-02-26T01:30:00+00:00,287.878,16.685,1.186,-16.626,33.498
2026-02-26T01:35:00+00:00,286.28,16.595,1.212,-16.548,33.497
2026-02-26T01:40:00+00:00,288.146,16.729,1.225,-16.668,33.548
2026-02-26T01:45:00+00:00,285.553,16.607,1.284,-16.548,33.561
2026-02-26T01:50:00+00:00,285.379,16.595,1.222,-16.534,33.548
2026-02-26T01:55:00+00:00,289.764,16.852,1.194,-16.813,33.606
2026-02-26T02:00:00+00:00,286.534,16.689,1.133,-16.646,33.632
2026-02-26T02:05:00+00:00,287.497,16.734,1.16,-16.688,33.579
2026-02-26T02:10:00+00:00,287.982,16.734,1.141,-16.68,33.539
2026-02-26T02:15:00+00:00,286.269,16.648,1.285,-16.599,33.558
2026-02-26T02:20:00+00:00,286.658,16.668,1.341,-16.604,33.555
2026-02-26T02:25:00+00:00,278.456,16.214,1.474,-16.153,33.627
2026-02-26T02:30:00+00:00,274.746,16.005,1.502,-15.934,33.673
2026-02-26T02:35:00+00:00,276.548,16.11,1.543,-16.035,33.663
2026-02-26T02:40:00+00:00,273.206,15.946,1.55,-15.864,33.714
2026-02-26T02:45:00+00:00,263.529,15.41,1.662,-15.317,33.74
2026-02-26T02:50:00+00:00,253.654,14.83,1.672,-14.732,33.786
2026-02-26T02:55:00+00:00,254.178,14.878,1.722,-14.77,33.785
2026-02-26T03:00:00+00:00,249.983,14.644,1.793,-14.534,33.836
2026-02-26T03:05:00+00:00,244.606,14.346,1.78,-14.23,33.832
2026-02-26T03:10:00+00:00,245.719,14.389,1.738,-14.279,33.811
2026-02-26T03:15:00+00:00,244.53,14.34,1.78,-14.233,33.845
2026-02-26T03:20:00+00:00,235.541,13.818,1.649,-13.715,33.884
2026-02-26T03:25:00+00:00,233.052,13.702,1.72,-13.59,33.949
2026-02-26T03:30:00+00:00,231.344,13.608,1.71,-13.496,33.952
2026-02-26T03:35:00+00:00,229.205,13.47,1.658,-13.358,33.928
2026-02-26T03:40:00+00:00,231.635,13.611,1.468,-13.52,33.926
2026-02-26T03:45:00+00:00,232.592,13.669,1.42,-13.594,33.96
2026-02-26T03:50:00+00:00,238.166,14.014,1.418,-13.936,33.995
2026-02-26T03:55:00+00:00,224.964,13.262,1.456,-13.174,34.038
2026-02-26T04:00:00+00:00,217.325,12.843,1.688,-12.723,34.12
2026-02-26T04:05:00+00:00,214.184,12.638,1.719,-12.508,34.07
2026-02-26T04:10:00+00:00,201.478,11.892,1.862,-11.736,34.102
2026-02-26T04:15:00+00:00,191.113,11.289,2.069,-11.084,34.13
2026-02-26T04:20:00+00:00,189.42,11.199,2.232,-10.966,34.143
2026-02-26T04:25:00+00:00,188.63,11.148,2.202,-10.922,34.126
2026-02-26T04:30:00+00:00,189.616,11.204,2.109,-10.994,34.134
2026-02-26T04:35:00+00:00,191.584,11.326,2.029,-11.144,34.136
2026-02-26T04:40:00+00:00,189.551,11.212,2.107,-10.901,34.14
2026-02-26T04:45:00+00:00,196.23,11.553,1.896,-10.907,34.012
2026-02-26T04:50:00+00:00,189.784,11.19,1.91,-10.534,34.018
2026-02-26T04:55:00+00:00,198.677,11.715,1.922,-11.076,34.026
2026-02-26T05:00:00+00:00,201.407,11.874,1.895,-11.252,34.003
2026-02-26T05:05:00+00:00,198.575,11.67,1.86,-11.064,33.922
2026-02-26T05:10:00+00:00,205.806,12.084,1.945,-11.488,33.896
2026-02-26T05:15:00+00:00,201.546,11.834,1.895,-11.218,33.906
2026-02-26T05:20:00+00:00,201.293,11.828,1.898,-11.196,33.9
2026-02-26T05:25:00+00:00,208.64,12.262,1.923,-11.654,33.89
2026-02-26T05:30:00+00:00,206.118,12.112,1.882,-11.514,33.906
2026-02-26T05:35:00+00:00,207.671,12.186,1.852,-11.593,33.888
2026-02-26T05:40:00+00:00,207.496,12.172,1.727,-11.578,33.858
2026-02-26T05:45:00+00:00,205.497,12.055,1.77,-11.477,33.83
2026-02-26T05:50:00+00:00,209.358,12.266,1.701,-11.687,33.796
2026-02-26T05:55:00+00:00,204.214,11.954,1.895,-11.354,33.77
2026-02-26T06:00:00+00:00,207.338,12.118,1.808,-11.529,33.717
2026-02-26T06:05:00+00:00,211.3,12.277,1.795,-11.719,33.528
2026-02-26T06:10:00+00:00,207.844,12.08,1.71,-11.752,33.623
2026-02-26T06:15:00+00:00,199.01,11.622,1.964,-11.45,33.73
2026-02-26T06:20:00+00:00,200.671,11.753,2.152,-11.544,33.829
2026-02-26T06:25:00+00:00,189.475,11.102,2.356,-10.85,33.832
2026-02-26T06:30:00+00:00,187.232,10.971,2.525,-10.672,33.841
2026-02-26T06:35:00+00:00,187.502,10.982,2.696,-10.646,33.799
2026-02-26T06:40:00+00:00,187.26,10.92,2.572,-10.608,33.668
2026-02-26T06:45:00+00:00,194.07,11.336,2.645,-11.025,33.756
2026-02-26T06:50:00+00:00,199.951,11.754,2.467,-11.486,33.942
2026-02-26T06:55:00+00:00,197.731,11.623,2.542,-11.338,33.936
2026-02-26T07:00:00+00:00,196.215,11.52,2.576,-11.222,33.898
2026-02-26T07:05:00+00:00,207.788,12.176,2.625,-11.884,33.814
2026-02-26T07:10:00+00:00,212.012,12.368,2.422,-12.124,33.658
2026-02-26T07:15:00+00:00,212.621,12.387,2.372,-12.152,33.622
2026-02-26T07:20:00+00:00,206.992,12.067,2.404,-11.83,33.638
2026-02-26T07:25:00+00:00,215.652,12.552,2.446,-12.31,33.596
2026-02-26T07:30:00+00:00,226.153,13.142,2.367,-12.922,33.544
2026-02-26T07:35:00+00:00,227.418,13.192,2.369,-12.974,33.482
2026-02-26T07:40:00+00:00,215.206,12.472,2.235,-12.258,33.461
2026-02-26T07:45:00+00:00,215.142,12.493,2.182,-12.293,33.504
2026-02-26T07:50:00+00:00,226.709,13.176,2.076,-13.004,33.544
2026-02-26T07:55:00+00:00,230.85,13.407,2.035,-13.253,33.548
2026-02-26T08:00:00+00:00,224.706,13.05,2.152,-12.87,33.545
2026-02-26T08:05:00+00:00,222.23,12.889,2.166,-12.699,33.457
2026-02-26T08:10:00+00:00,219.88,12.738,2.097,-12.564,33.445
2026-02-26T08:15:00+00:00,218.039,12.636,1.904,-12.486,33.475
2026-02-26T08:20:00+00:00,213.474,12.382,1.969,-12.223,33.487
2026-02-26T08:25:00+00:00,220.908,12.817,1.878,-12.671,33.488
2026-02-26T08:30:00+00:00,210.825,12.23,1.996,-12.064,33.494
2026-02-26T08:35:00+00:00,205.836,11.944,1.984,-11.783,33.5
2026-02-26T08:40:00+00:00,208.939,12.128,1.957,-11.971,33.494
2026-02-26T08:45:00+00:00,207.848,12.056,1.872,-11.906,33.492
2026-02-26T08:50:00+00:00,202.892,11.774,1.884,-11.622,33.492
2026-02-26T08:55:00+00:00,205.802,11.945,1.721,-11.817,33.482
2026-02-26T09:00:00+00:00,198.935,11.541,1.717,-11.404,33.492
2026-02-26T09:05:00+00:00,198.656,11.524,1.781,-11.398,33.486
2026-02-26T09:10:00+00:00,197.028,11.43,1.716,-11.303,33.492
2026-02-26T09:15:00+00:00,198.435,11.5,1.434,-11.404,33.462
2026-02-26T09:20:00+00:00,207.099,12.018,1.345,-11.933,33.506
2026-02-26T09:25:00+00:00,206.373,11.98,1.372,-11.895,33.525
2026-02-26T09:30:00+00:00,201.435,11.694,1.282,-11.614,33.512
2026-02-26T09:35:00+00:00,196.486,11.41,1.387,-11.332,33.547
2026-02-26T09:40:00+00:00,201.079,11.673,1.481,-11.57,33.52
2026-02-26T09:45:00+00:00,194.666,11.313,1.7,-11.182,33.578
2026-02-26T09:50:00+00:00,203.318,11.826,1.662,-11.696,33.61
2026-02-26T09:55:00+00:00,200.844,11.696,1.704,-11.566,33.649
2026-02-26T10:00:00+00:00,204.401,11.92,1.706,-11.788,33.666
2026-02-26T10:05:00+00:00,200.606,11.701,1.771,-11.57,33.664
2026-02-26T10:10:00+00:00,206.104,12.011,1.693,-11.89,33.63
2026-02-26T10:15:00+00:00,203.462,11.855,1.614,-11.738,33.638
2026-02-26T10:20:00+00:00,205.134,11.971,1.744,-11.84,33.664
2026-02-26T10:25:00+00:00,200.811,11.701,1.785,-11.552,33.664
2026-02-26T10:30:00+00:00,181.017,10.554,1.799,-10.401,33.674
2026-02-26T10:35:00+00:00,169.926,9.924,1.757,-9.754,33.704
2026-02-26T10:40:00+00:00,163.362,9.534,1.908,-9.34,33.69
2026-02-26T10:45:00+00:00,154.948,9.04,1.844,-8.844,33.704
2026-02-26T10:50:00+00:00,161.368,9.419,1.802,-9.236,33.686
2026-02-26T10:55:00+00:00,151.664,8.858,1.722,-8.685,33.702
2026-02-26T11:00:00+00:00,148.156,8.652,1.764,-8.462,33.7
2026-02-26T11:05:00+00:00,125.576,7.338,1.576,-7.162,33.728
2026-02-26T11:10:00+00:00,111.994,6.542,1.467,-6.37,33.715
2026-02-26T11:15:00+00:00,129.426,7.566,1.546,-7.396,33.734
2026-02-26T11:20:00+00:00,149.312,8.732,1.686,-8.562,33.78
2026-02-26T11:25:00+00:00,150.904,8.826,1.718,-8.646,33.765
2026-02-26T11:30:00+00:00,139.276,8.142,1.744,-7.945,33.75
2026-02-26T11:35:00+00:00,140.136,8.187,1.587,-8.029,33.731
2026-02-26T11:40:00+00:00,131.19,7.674,1.568,-7.508,33.757
2026-02-26T11:45:00+00:00,125.156,7.313,1.555,-7.146,33.722
2026-02-26T11:50:00+00:00,129.892,7.6,1.648,-7.408,33.787
2026-02-26T11:55:00+00:00,154.144,9.014,1.788,-8.822,33.776
2026-02-26T12:00:00+00:00,162.226,9.48,1.717,-9.312,33.744
2026-02-26T12:05:00+00:00,163.1,9.529,1.596,-9.393,33.72
2026-02-26T12:10:00+00:00,158.788,9.27,1.498,-9.15,33.716
2026-02-26T12:15:00+00:00,165.09,9.634,1.426,-9.52,33.725
2026-02-26T12:20:00+00:00,161.817,9.451,1.52,-9.324,33.725
2026-02-26T12:25:00+00:00,160.911,9.394,1.464,-9.256,33.72
2026-02-26T12:30:00+00:00,161.684,9.438,1.488,-9.316,33.702
2026-02-26T12:35:00+00:00,180.038,10.488,1.602,-10.356,33.628
2026-02-26T12:40:00+00:00,186.071,10.834,1.554,-10.718,33.602
2026-02-26T12:45:00+00:00,177.571,10.344,1.549,-10.227,33.607
2026-02-26T12:50:00+00:00,174.986,10.18,1.468,-10.068,33.598
2026-02-26T12:55:00+00:00,176.186,10.253,1.498,-10.142,33.613
2026-02-26T13:00:00+00:00,178.159,10.386,1.664,-10.242,33.669
2026-02-26T13:05:00+00:00,189.75,11.061,1.684,-10.928,33.626
2026-02-26T13:10:00+00:00,182.821,10.637,1.73,-10.492,33.605
2026-02-26T13:15:00+00:00,186.746,10.888,1.769,-10.744,33.652
2026-02-26T13:20:00+00:00,190.517,11.119,1.788,-10.974,33.68
2026-02-26T13:25:00+00:00,185.668,10.838,1.684,-10.698,33.68
2026-02-26T13:30:00+00:00,183.412,10.676,1.692,-10.537,33.609
2026-02-26T13:35:00+00:00,184.081,10.719,1.662,-10.578,33.604
2026-02-26T13:40:00+00:00,184.778,10.753,1.618,-10.612,33.589
2026-02-26T13:45:00+00:00,194.452,11.306,1.542,-11.194,33.549
2026-02-26T13:50:00+00:00,197.04,11.444,1.602,-11.328,33.54
2026-02-26T13:55:00+00:00,198.4,11.554,1.618,-11.438,33.608
2026-02-26T14:00:00+00:00,189.7,11.031,1.606,-10.904,33.576
2026-02-26T14:05:00+00:00,191.814,11.163,1.656,-11.042,33.606
2026-02-26T14:10:00+00:00,194.444,11.312,1.601,-11.194,33.58
2026-02-26T14:15:00+00:00,193.12,11.231,1.546,-11.12,33.574
2026-02-26T14:20:00+00:00,196.868,11.455,1.624,-11.328,33.61
2026-02-26T14:25:00+00:00,191.416,11.138,1.644,-11.018,33.604
2026-02-26T14:30:00+00:00,188.111,10.944,1.672,-10.814,33.606
2026-02-26T14:35:00+00:00,196.162,11.42,1.929,-11.247,33.62
2026-02-26T14:40:00+00:00,197.712,11.52,2.031,-11.344,33.638
2026-02-26T14:45:00+00:00,190.974,11.129,1.99,-10.943,33.672
2026-02-26T14:50:00+00:00,184.182,10.744,2.008,-10.556,33.656
2026-02-26T14:55:00+00:00,185.106,10.8,1.924,-10.616,33.68
2026-02-26T15:00:00+00:00,193.243,11.388,1.912,-11.219,34.032
2026-02-26T15:05:00+00:00,196.373,11.584,1.966,-11.407,34.08
2026-02-26T15:10:00+00:00,190.392,11.244,1.935,-11.072,34.124
2026-02-26T15:15:00+00:00,192.903,11.411,1.936,-11.24,34.14
2026-02-26T15:20:00+00:00,198.321,11.728,1.957,-11.558,34.126
2026-02-26T15:25:00+00:00,195.671,11.575,1.848,-11.426,34.135
2026-02-26T15:30:00+00:00,195.346,11.544,1.898,-11.384,34.128
2026-02-26T15:35:00+00:00,203.96,12.066,1.884,-11.903,34.14
2026-02-26T15:40:00+00:00,212.976,12.584,1.829,-12.444,34.09
2026-02-26T15:45:00+00:00,212.476,12.534,1.508,-12.434,34.035
2026-02-26T15:50:00+00:00,214.533,12.63,1.461,-12.548,33.979
2026-02-26T15:55:00+00:00,225.742,13.288,1.406,-13.209,34.006
2026-02-26T16:00:00+00:00,228.431,13.447,1.423,-13.365,33.984
2026-02-26T16:05:00+00:00,232.218,13.654,1.432,-13.572,33.956
2026-02-26T16:10:00+00:00,230.716,13.564,1.418,-13.488,33.936
2026-02-26T16:15:00+00:00,230.104,13.524,1.39,-13.45,33.919
2026-02-26T16:20:00+00:00,235.521,13.843,1.424,-13.772,33.939
2026-02-26T16:25:00+00:00,236.962,13.939,1.614,-13.844,33.963
2026-02-26T16:30:00+00:00,232.552,13.686,1.562,-13.595,33.953
2026-02-26T16:35:00+00:00,241.258,14.198,1.588,-14.102,33.955
2026-02-26T16:40:00+00:00,244.403,14.36,1.618,-14.268,33.909
2026-02-26T16:45:00+00:00,249.184,14.602,1.512,-14.526,33.812
2026-02-26T16:50:00+00:00,247.832,14.484,1.449,-14.412,33.718
2026-02-26T16:55:00+00:00,258.154,15.052,1.523,-14.971,33.657
2026-02-26T17:00:00+00:00,263.974,15.39,1.43,-15.324,33.679
2026-02-26T17:05:00+00:00,270.523,15.777,1.522,-15.696,33.665
2026-02-26T17:10:00+00:00,274.053,15.996,1.547,-15.92,33.68
2026-02-26T17:15:00+00:00,272.756,15.899,1.532,-15.818,33.624
2026-02-26T17:20:00+00:00,277.516,16.153,1.602,-16.067,33.606
2026-02-26T17:25:00+00:00,277.595,16.172,1.611,-16.087,33.646
2026-02-26T17:30:00+00:00,276.498,16.117,1.697,-16.014,33.65
2026-02-26T17:35:00+00:00,279.919,16.296,1.779,-16.196,33.602
2026-02-26T17:40:00+00:00,285.594,16.621,1.775,-16.524,33.608
2026-02-26T17:45:00+00:00,289.212,16.852,1.883,-16.745,33.63
2026-02-26T17:50:00+00:00,287.156,16.748,1.943,-16.632,33.662
2026-02-26T17:55:00+00:00,287.954,16.78,1.955,-16.666,33.665
2026-02-26T18:00:00+00:00,287.817,16.794,1.802,-16.693,33.662
2026-02-26T18:05:00+00:00,292.099,17.024,1.814,-16.924,33.658
2026-02-26T18:10:00+00:00,280.324,16.331,1.829,-16.227,33.631
2026-02-26T18:15:00+00:00,282.323,16.421,1.73,-16.331,33.57
2026-02-26T18:20:00+00:00,288.093,16.754,1.808,-16.657,33.58
2026-02-26T18:25:00+00:00,296.266,17.226,1.638,-17.14,33.556
2026-02-26T18:30:00+00:00,301.236,17.512,1.38,-17.45,33.549
2026-02-26T18:35:00+00:00,303.192,17.608,1.211,-17.572,33.518
2026-02-26T18:40:00+00:00,307.723,17.844,1.056,-17.817,33.486
2026-02-26T18:45:00+00:00,311.786,18.069,0.963,-18.044,33.47
2026-02-26T18:50:00+00:00,308.608,17.913,1.074,-17.88,33.518
2026-02-26T18:55:00+00:00,306.51,17.806,1.01,-17.776,33.558
2026-02-26T19:00:00+00:00,303.643,17.662,0.878,-17.645,33.599
2026-02-26T19:05:00+00:00,310.001,17.995,0.753,-17.98,33.483
2026-02-26T19:10:00+00:00,307.36,17.804,0.758,-17.79,33.43
2026-02-26T19:15:00+00:00,304.066,17.594,0.753,-17.582,33.382
2026-02-26T19:20:00+00:00,310.972,18.002,0.59,-17.983,33.438
2026-02-26T19:25:00+00:00,310.548,18.026,0.835,-18.009,33.527
2026-02-26T19:30:00+00:00,309.186,18.02,1.052,-17.979,33.67
2026-02-26T19:35:00+00:00,305.942,17.894,1.132,-17.856,33.778
2026-02-26T19:40:00+00:00,301.317,17.644,1.213,-17.604,33.786
2026-02-26T19:45:00+00:00,304.228,17.777,1.176,-17.743,33.702
2026-02-26T19:50:00+00:00,299.062,17.423,1.068,-17.392,33.658
2026-02-26T19:55:00+00:00,290.846,16.958,1.146,-16.917,33.671
2026-02-26T20:00:00+00:00,287.183,16.748,0.969,-16.718,33.665
2026-02-26T20:05:00+00:00,285.897,16.69,1.034,-16.638,33.707
2026-02-26T20:10:00+00:00,288.289,16.848,1.027,-16.827,33.763
2026-02-26T20:15:00+00:00,277.047,16.226,1.11,-16.186,33.818
2026-02-26T20:20:00+00:00,275.855,16.163,1.102,-16.12,33.832
2026-02-26T20:25:00+00:00,274.001,16.095,1.196,-16.042,33.913
2026-02-26T20:30:00+00:00,268.355,15.766,1.019,-15.732,33.894
2026-02-26T20:35:00+00:00,267.298,15.7,1.04,-15.664,33.895
2026-02-26T20:40:00+00:00,263.484,15.333,1.13,-15.288,33.594
2026-02-26T20:45:00+00:00,259.592,15.158,1.109,-15.11,33.716
2026-02-26T20:50:00+00:00,261.182,15.279,1.222,-15.224,33.796
2026-02-26T20:55:00+00:00,250.693,14.702,1.41,-14.626,33.886
2026-02-26T21:00:00+00:00,248.737,14.616,1.376,-14.532,33.93
2026-02-26T21:05:00+00:00,246.233,14.462,1.514,-14.37,33.902
2026-02-26T21:10:00+00:00,244.692,14.38,1.396,-14.308,33.956
2026-02-26T21:15:00+00:00,235.792,13.88,1.341,-13.804,34.004
2026-02-26T21:20:00+00:00,230.794,13.606,1.332,-13.535,34.058
2026-02-26T21:25:00+00:00,230.455,13.596,1.397,-13.514,34.074
2026-02-26T21:30:00+00:00,222.908,13.156,1.368,-13.078,34.078
2026-02-26T21:35:00+00:00,222.728,13.134,1.314,-13.062,34.057
2026-02-26T21:40:00+00:00,219.166,12.942,1.309,-12.865,34.121
2026-02-26T21:45:00+00:00,219.264,12.982,1.569,-12.884,34.2
2026-02-26T21:50:00+00:00,219.158,12.988,1.539,-12.886,34.186
2026-02-26T21:55:00+00:00,215.982,12.796,1.702,-12.686,34.218
2026-02-26T22:00:00+00:00,213.129,12.568,1.664,-12.038,34.028
2026-02-26T22:05:00+00:00,215.121,12.668,1.557,-12.087,34.012
2026-02-26T22:10:00+00:00,209.43,12.349,1.538,-11.751,34.059
2026-02-26T22:15:00+00:00,204.366,12.052,1.757,-11.616,34.04
2026-02-26T22:20:00+00:00,202.68,11.911,2.03,-11.725,33.958
2026-02-26T22:25:00+00:00,196.874,11.568,2.05,-11.378,33.94
2026-02-26T22:30:00+00:00,187.569,11.026,1.956,-10.841,33.942
2026-02-26T22:35:00+00:00,189.088,11.074,2.064,-10.859,33.81
2026-02-26T22:40:00+00:00,189.895,11.113,1.889,-10.945,33.799
2026-02-26T22:45:00+00:00,187.349,10.972,1.915,-10.801,33.846
2026-02-26T22:50:00+00:00,182.306,10.694,1.927,-10.503,33.878
2026-02-26T22:55:00+00:00,179.826,10.549,2.026,-10.336,33.897
2026-02-26T23:00:00+00:00,176.926,10.381,2.034,-10.168,33.907
2026-02-26T23:05:00+00:00,179.752,10.548,2.045,-10.333,33.864
2026-02-26T23:10:00+00:00,177.939,10.439,2.089,-10.219,33.878
2026-02-26T23:15:00+00:00,170.754,9.992,2.308,-9.704,33.774
2026-02-26T23:20:00+00:00,174.975,10.233,2.406,-9.93,33.792
2026-02-26T23:25:00+00:00,168.616,9.878,2.591,-9.513,33.78
2026-02-26T23:30:00+00:00,165.134,9.662,2.565,-9.31,33.776
2026-02-26T23:35:00+00:00,162.022,9.472,2.398,-9.153,33.728
2026-02-26T23:40:00+00:00,161.178,9.425,2.339,-9.121,33.784
2026-02-26T23:45:00+00:00,164.158,9.614,2.498,-9.284,33.835
2026-02-26T23:50:00+00:00,161.314,9.458,2.558,-9.096,33.835
2026-02-26T23:55:00+00:00,159.846,9.361,2.47,-9.028,33.776
2026-02-27T00:00:00+00:00,161.415,9.436,2.532,-9.076,33.781
2026-02-27T00:05:00+00:00,175.152,10.202,2.526,-9.888,33.601
2026-02-27T00:10:00+00:00,192.667,11.176,2.304,-10.924,33.476
2026-02-27T00:15:00+00:00,204.216,11.816,2.02,-11.633,33.379
2026-02-27T00:20:00+00:00,214.767,12.424,1.66,-12.313,33.389
2026-02-27T00:25:00+00:00,214.55,12.412,1.658,-12.305,33.431
2026-02-27T00:30:00+00:00,216.65,12.534,1.614,-12.418,33.407
2026-02-27T00:35:00+00:00,226.862,13.144,1.306,-12.836,33.472
2026-02-27T00:40:00+00:00,247.654,14.366,1.114,-13.907,33.457
2026-02-27T00:45:00+00:00,252.95,14.662,1.094,-14.21,33.478
2026-02-27T00:50:00+00:00,250.658,14.531,1.108,-14.066,33.483
2026-02-27T00:55:00+00:00,250.333,14.515,1.144,-14.048,33.497
2026-02-27T01:00:00+00:00,249.291,14.471,1.089,-14.0,33.488
2026-02-27T01:05:00+00:00,248.074,14.392,1.135,-13.914,33.49
2026-02-27T01:10:00+00:00,248.48,14.425,1.242,-13.939,33.522
2026-02-27T01:15:00+00:00,245.084,14.232,1.276,-13.738,33.558
2026-02-27T01:20:00+00:00,245.732,14.27,1.284,-13.778,33.524
2026-02-27T01:25:00+00:00,247.393,14.381,1.19,-13.894,33.551
2026-02-27T01:30:00+00:00,243.364,14.156,1.188,-13.663,33.607
2026-02-27T01:35:00+00:00,243.474,14.156,1.162,-13.661,33.606
2026-02-27T01:40:00+00:00,243.98,14.215,1.259,-13.708,33.65
2026-02-27T01:45:00+00:00,242.764,14.148,1.298,-13.64,33.685
2026-02-27T01:50:00+00:00,240.412,14.048,1.197,-13.542,33.726
2026-02-27T01:55:00+00:00,244.267,14.262,1.208,-13.776,33.698
2026-02-27T02:00:00+00:00,240.984,14.084,1.322,-13.565,33.757
2026-02-27T02:05:00+00:00,247.472,14.439,1.295,-13.952,33.674
2026-02-27T02:10:00+00:00,243.714,14.231,1.334,-13.727,33.72
2026-02-27T02:15:00+00:00,239.814,14.018,1.31,-13.51,33.742
2026-02-27T02:20:00+00:00,239.826,14.016,1.324,-13.494,33.762
2026-02-27T02:25:00+00:00,238.338,13.96,1.43,-13.432,33.824
2026-02-27T02:30:00+00:00,241.216,14.13,1.325,-13.611,33.836
2026-02-27T02:35:00+00:00,239.49,14.072,1.343,-13.552,33.94
2026-02-27T02:40:00+00:00,242.853,14.288,1.42,-13.768,33.954
2026-02-27T02:45:00+00:00,245.856,14.465,1.449,-13.95,33.958
2026-02-27T02:50:00+00:00,237.538,13.98,1.636,-13.416,33.978
2026-02-27T02:55:00+00:00,235.28,13.852,1.685,-13.272,34.006
2026-02-27T03:00:00+00:00,231.608,13.658,1.698,-13.07,34.022
2026-02-27T03:05:00+00:00,228.238,13.433,1.744,-12.839,33.962
2026-02-27T03:10:00+00:00,233.702,13.754,1.804,-13.156,33.998
2026-02-27T03:15:00+00:00,231.93,13.67,1.725,-13.085,34.011
2026-02-27T03:20:00+00:00,228.663,13.483,1.759,-12.896,34.052
2026-02-27T03:25:00+00:00,231.124,13.64,1.817,-13.054,34.072
2026-02-27T03:30:00+00:00,230.572,13.613,1.732,-13.02,34.083
2026-02-27T03:35:00+00:00,232.78,13.752,1.662,-13.176,34.136
2026-02-27T03:40:00+00:00,230.735,13.64,1.705,-13.07,34.128
2026-02-27T03:45:00+00:00,231.415,13.688,1.613,-13.122,34.179
2026-02-27T03:50:00+00:00,219.806,12.935,1.818,-12.698,33.958
2026-02-27T03:55:00+00:00,215.721,12.676,1.882,-12.538,33.91
2026-02-27T04:00:00+00:00,215.765,12.66,1.787,-12.531,33.895
2026-02-27T04:05:00+00:00,216.2,12.702,1.856,-12.56,33.93
2026-02-27T04:10:00+00:00,217.878,12.808,2.032,-12.638,33.915
2026-02-27T04:15:00+00:00,213.712,12.558,1.939,-12.398,33.904
2026-02-27T04:20:00+00:00,217.07,12.757,1.891,-12.613,33.926
2026-02-27T04:25:00+00:00,222.641,13.088,1.954,-12.936,33.963
2026-02-27T04:30:00+00:00,215.808,12.738,2.034,-12.573,34.07
2026-02-27T04:35:00+00:00,212.773,12.555,1.978,-12.393,34.068
2026-02-27T04:40:00+00:00,217.724,12.875,1.863,-12.738,34.15
2026-02-27T04:45:00+00:00,214.86,12.731,2.094,-12.544,34.214
2026-02-27T04:50:00+00:00,216.436,12.818,2.085,-12.644,34.178
2026-02-27T04:55:00+00:00,221.865,13.118,1.886,-12.978,34.132
2026-02-27T05:00:00+00:00,225.454,13.346,1.897,-13.118,34.168
2026-02-27T05:05:00+00:00,227.56,13.387,1.911,-12.785,33.956
2026-02-27T05:10:00+00:00,222.134,13.067,1.962,-12.445,33.964
2026-02-27T05:15:00+00:00,224.958,13.228,1.932,-12.595,33.948
2026-02-27T05:20:00+00:00,218.692,12.864,1.915,-12.215,33.964
2026-02-27T05:25:00+00:00,222.088,13.061,2.078,-12.424,33.954
2026-02-27T05:30:00+00:00,226.124,13.305,2.111,-12.684,33.974
2026-02-27T05:35:00+00:00,219.898,12.96,2.116,-12.315,34.018
2026-02-27T05:40:00+00:00,215.742,12.707,2.102,-12.057,34.004
2026-02-27T05:45:00+00:00,225.02,13.234,1.904,-12.636,33.956
2026-02-27T05:50:00+00:00,224.436,13.172,1.926,-12.572,33.861
2026-02-27T05:55:00+00:00,219.63,12.887,1.892,-12.288,33.874
2026-02-27T06:00:00+00:00,227.6,13.312,1.922,-12.717,33.742
2026-02-27T06:05:00+00:00,238.907,13.912,1.725,-13.374,33.598
2026-02-27T06:10:00+00:00,244.932,14.26,1.61,-14.052,33.624
2026-02-27T06:15:00+00:00,244.596,14.27,1.614,-14.166,33.654
2026-02-27T06:20:00+00:00,249.319,14.552,1.71,-14.442,33.715
2026-02-27T06:25:00+00:00,257.092,15.032,1.532,-14.944,33.776
2026-02-27T06:30:00+00:00,258.405,15.112,1.498,-15.028,33.76
2026-02-27T06:35:00+00:00,265.019,15.417,1.205,-15.351,33.57
