ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,258.86,-0.848,-4.739,11.262
2026-02-26T00:10:00+00:00,258.382,-0.863,-4.7,11.239
2026-02-26T00:15:00+00:00,255.167,-0.837,-4.627,11.209
2026-02-26T00:20:00+00:00,258.692,-0.87,-4.693,11.213
2026-02-26T00:25:00+00:00,260.398,-0.89,-4.744,11.242
2026-02-26T00:30:00+00:00,262.239,-0.924,-4.776,11.255
2026-02-26T00:35:00+00:00,265.027,-0.909,-4.834,11.202
2026-02-26T00:40:00+00:00,266.12,-0.925,-4.823,11.16
2026-02-26T00:45:00+00:00,266.809,-0.909,-4.833,11.16
2026-02-26T00:50:00+00:00,267.376,-0.877,-4.841,11.149
2026-02-26T00:55:00+00:00,265.314,-0.898,-4.807,11.147
2026-02-26T01:00:00+00:00,267.284,-0.947,-4.826,11.158
2026-02-26T01:05:00+00:00,269.312,-0.963,-4.872,11.161
2026-02-26T01:10:00+00:00,265.09,-0.94,-4.789,11.171
2026-02-26T01:15:00+00:00,263.872,-0.929,-4.771,11.184
2026-02-26T01:20:00+00:00,264.573,-0.921,-4.799,11.216
2026-02-26T01:25:00+00:00,263.656,-0.886,-4.788,11.24
2026-02-26T01:30:00+00:00,266.872,-0.934,-4.839,11.241
2026-02-26T01:35:00+00:00,266.293,-0.947,-4.835,11.246
2026-02-26T01:40:00+00:00,263.67,-0.936,-4.786,11.252
2026-02-26T01:45:00+00:00,259.854,-0.913,-4.738,11.26
2026-02-26T01:50:00+00:00,258.424,-0.922,-4.704,11.26
2026-02-26T01:55:00+00:00,260.817,-0.976,-4.755,11.26
2026-02-26T02:00:00+00:00,264.091,-1.02,-4.812,11.268
2026-02-26T02:05:00+00:00,262.321,-1.017,-4.768,11.247
2026-02-26T02:10:00+00:00,260.138,-1.003,-4.729,11.236
2026-02-26T02:15:00+00:00,258.157,-0.988,-4.705,11.26
2026-02-26T02:20:00+00:00,260.354,-0.95,-4.755,11.26
2026-02-26T02:25:00+00:00,260.126,-0.955,-4.751,11.26
2026-02-26T02:30:00+00:00,264.049,-0.989,-4.836,11.26
2026-02-26T02:35:00+00:00,266.384,-1.012,-4.869,11.264
2026-02-26T02:40:00+00:00,270.382,-1.045,-4.957,11.277
2026-02-26T02:45:00+00:00,268.304,-1.004,-4.929,11.292
2026-02-26T02:50:00+00:00,268.171,-0.946,-4.937,11.318
2026-02-26T02:55:00+00:00,266.106,-0.955,-4.897,11.33
2026-02-26T03:00:00+00:00,266.248,-0.981,-4.894,11.33
2026-02-26T03:05:00+00:00,264.179,-0.972,-4.848,11.317
2026-02-26T03:10:00+00:00,262.105,-0.966,-4.799,11.296
2026-02-26T03:15:00+00:00,263.461,-1.026,-4.826,11.31
2026-02-26T03:20:00+00:00,262.915,-1.014,-4.819,11.314
2026-02-26T03:25:00+00:00,264.295,-1.052,-4.846,11.326
2026-02-26T03:30:00+00:00,268.715,-1.058,-4.946,11.326
2026-02-26T03:35:00+00:00,264.109,-1.011,-4.877,11.333
2026-02-26T03:40:00+00:00,262.722,-1.037,-4.836,11.333
2026-02-26T03:45:00+00:00,267.145,-1.032,-4.923,11.351
2026-02-26T03:50:00+00:00,267.61,-1.02,-4.933,11.355
2026-02-26T03:55:00+00:00,266.296,-0.974,-4.885,11.322
2026-02-26T04:00:00+00:00,265.817,-0.98,-4.886,11.318
2026-02-26T04:05:00+00:00,264.065,-0.948,-4.842,11.275
2026-02-26T04:10:00+00:00,263.052,-0.927,-4.819,11.257
2026-02-26T04:15:00+00:00,267.225,-0.9,-4.901,11.262
2026-02-26T04:20:00+00:00,267.973,-0.907,-4.913,11.254
2026-02-26T04:25:00+00:00,268.187,-0.95,-4.918,11.26
2026-02-26T04:30:00+00:00,267.296,-0.964,-4.895,11.283
2026-02-26T04:35:00+00:00,268.1,-1.022,-4.912,11.287
2026-02-26T04:40:00+00:00,271.235,-1.018,-4.964,11.289
2026-02-26T04:45:00+00:00,272.968,-1.058,-5.01,11.286
2026-02-26T04:50:00+00:00,274.917,-1.009,-5.059,11.287
2026-02-26T04:55:00+00:00,272.928,-1.006,-5.031,11.292
2026-02-26T05:00:00+00:00,274.902,-1.022,-5.056,11.281
2026-02-26T05:05:00+00:00,274.686,-1.005,-5.032,11.223
2026-02-26T05:10:00+00:00,274.455,-0.997,-5.011,11.199
2026-02-26T05:15:00+00:00,278.589,-1.042,-5.082,11.205
2026-02-26T05:20:00+00:00,276.627,-1.03,-5.052,11.209
2026-02-26T05:25:00+00:00,282.154,-1.122,-5.147,11.178
2026-02-26T05:30:00+00:00,288.576,-1.148,-5.271,11.17
2026-02-26T05:35:00+00:00,293.402,-1.132,-5.366,11.161
2026-02-26T05:40:00+00:00,296.136,-1.21,-5.446,11.22
2026-02-26T05:45:00+00:00,295.05,-1.212,-5.42,11.211
2026-02-26T05:50:00+00:00,293.331,-1.185,-5.372,11.196
2026-02-26T05:55:00+00:00,293.19,-1.141,-5.383,11.181
2026-02-26T06:00:00+00:00,292.855,-1.12,-5.371,11.154
2026-02-26T06:05:00+00:00,295.981,-1.132,-5.446,11.117
2026-02-26T06:10:00+00:00,297.424,-1.199,-5.47,11.194
2026-02-26T06:15:00+00:00,297.345,-1.312,-5.532,11.295
2026-02-26T06:20:00+00:00,296.24,-1.27,-5.539,11.281
2026-02-26T06:25:00+00:00,300.395,-1.266,-5.6,11.242
2026-02-26T06:30:00+00:00,301.692,-1.264,-5.631,11.251
2026-02-26T06:35:00+00:00,302.994,-1.273,-5.675,11.255
2026-02-26T06:40:00+00:00,306.003,-1.257,-5.708,11.229
2026-02-26T06:45:00+00:00,309.867,-1.328,-5.812,11.286
2026-02-26T06:50:00+00:00,309.34,-1.336,-5.801,11.307
2026-02-26T06:55:00+00:00,307.012,-1.306,-5.764,11.299
2026-02-26T07:00:00+00:00,308.877,-1.294,-5.785,11.265
2026-02-26T07:05:00+00:00,311.538,-1.289,-5.84,11.244
2026-02-26T07:10:00+00:00,317.891,-1.278,-5.933,11.195
2026-02-26T07:15:00+00:00,319.444,-1.289,-5.963,11.17
2026-02-26T07:20:00+00:00,321.059,-1.348,-6.012,11.218
2026-02-26T07:25:00+00:00,320.178,-1.306,-5.997,11.213
2026-02-26T07:30:00+00:00,315.846,-1.326,-5.9,11.195
2026-02-26T07:35:00+00:00,316.289,-1.271,-5.908,11.161
2026-02-26T07:40:00+00:00,315.219,-1.347,-5.879,11.171
2026-02-26T07:45:00+00:00,327.548,-1.396,-6.108,11.153
2026-02-26T07:50:00+00:00,332.861,-1.446,-6.178,11.157
2026-02-26T07:55:00+00:00,332.888,-1.41,-6.209,11.158
2026-02-26T08:00:00+00:00,335.271,-1.385,-6.23,11.14
2026-02-26T08:05:00+00:00,338.927,-1.402,-6.298,11.134
2026-02-26T08:10:00+00:00,342.322,-1.396,-6.332,11.203
2026-02-26T08:15:00+00:00,334.897,-1.372,-6.213,11.231
2026-02-26T08:20:00+00:00,335.92,-1.392,-6.235,11.205
2026-02-26T08:25:00+00:00,339.594,-1.418,-6.297,11.2
2026-02-26T08:30:00+00:00,334.678,-1.363,-6.207,11.207
2026-02-26T08:35:00+00:00,336.893,-1.386,-6.248,11.2
2026-02-26T08:40:00+00:00,333.349,-1.358,-6.149,11.2
2026-02-26T08:45:00+00:00,332.356,-1.316,-6.131,11.2
2026-02-26T08:50:00+00:00,333.952,-1.331,-6.147,11.199
2026-02-26T08:55:00+00:00,331.41,-1.319,-6.094,11.2
2026-02-26T09:00:00+00:00,332.324,-1.344,-6.115,11.197
2026-02-26T09:05:00+00:00,333.469,-1.366,-6.147,11.2
2026-02-26T09:10:00+00:00,335.743,-1.362,-6.198,11.2
2026-02-26T09:15:00+00:00,337.202,-1.322,-6.23,11.192
2026-02-26T09:20:00+00:00,340.275,-1.416,-6.272,11.194
2026-02-26T09:25:00+00:00,342.31,-1.412,-6.326,11.196
2026-02-26T09:30:00+00:00,339.074,-1.462,-6.277,11.2
2026-02-26T09:35:00+00:00,338.616,-1.472,-6.28,11.2
2026-02-26T09:40:00+00:00,340.597,-1.458,-6.312,11.2
2026-02-26T09:45:00+00:00,340.201,-1.444,-6.278,11.206
2026-02-26T09:50:00+00:00,337.315,-1.424,-6.227,11.2
2026-02-26T09:55:00+00:00,339.623,-1.453,-6.255,11.204
2026-02-26T10:00:00+00:00,341.914,-1.489,-6.31,11.204
2026-02-26T10:05:00+00:00,339.713,-1.436,-6.278,11.2
2026-02-26T10:10:00+00:00,337.274,-1.444,-6.238,11.206
2026-02-26T10:15:00+00:00,338.732,-1.453,-6.274,11.229
2026-02-26T10:20:00+00:00,340.674,-1.422,-6.329,11.213
2026-02-26T10:25:00+00:00,341.054,-1.411,-6.323,11.2
2026-02-26T10:30:00+00:00,339.726,-1.432,-6.283,11.196
2026-02-26T10:35:00+00:00,342.188,-1.428,-6.354,11.2
2026-02-26T10:40:00+00:00,342.287,-1.414,-6.323,11.17
2026-02-26T10:45:00+00:00,340.923,-1.414,-6.277,11.16
2026-02-26T10:50:00+00:00,342.215,-1.44,-6.302,11.154
2026-02-26T10:55:00+00:00,341.613,-1.488,-6.268,11.153
2026-02-26T11:00:00+00:00,340.341,-1.465,-6.261,11.171
2026-02-26T11:05:00+00:00,339.641,-1.49,-6.278,11.223
2026-02-26T11:10:00+00:00,354.486,-1.479,-6.583,11.205
2026-02-26T11:15:00+00:00,354.063,-1.509,-6.584,11.2
2026-02-26T11:20:00+00:00,347.953,-1.516,-6.472,11.23
2026-02-26T11:25:00+00:00,342.03,-1.524,-6.359,11.251
2026-02-26T11:30:00+00:00,337.002,-1.506,-6.247,11.238
2026-02-26T11:35:00+00:00,334.766,-1.496,-6.215,11.249
2026-02-26T11:40:00+00:00,335.44,-1.484,-6.229,11.26
2026-02-26T11:45:00+00:00,336.995,-1.494,-6.252,11.274
2026-02-26T11:50:00+00:00,339.524,-1.505,-6.315,11.288
2026-02-26T11:55:00+00:00,345.521,-1.47,-6.435,11.289
2026-02-26T12:00:00+00:00,345.382,-1.496,-6.419,11.3
2026-02-26T12:05:00+00:00,344.934,-1.477,-6.42,11.279
2026-02-26T12:10:00+00:00,348.113,-1.456,-6.46,11.235
2026-02-26T12:15:00+00:00,349.236,-1.504,-6.486,11.209
2026-02-26T12:20:00+00:00,346.72,-1.489,-6.417,11.2
2026-02-26T12:25:00+00:00,351.4,-1.501,-6.513,11.2
2026-02-26T12:30:00+00:00,351.875,-1.498,-6.53,11.207
2026-02-26T12:35:00+00:00,350.461,-1.456,-6.495,11.179
2026-02-26T12:40:00+00:00,351.558,-1.512,-6.483,11.165
2026-02-26T12:45:00+00:00,352.697,-1.541,-6.499,11.161
2026-02-26T12:50:00+00:00,353.9,-1.513,-6.53,11.199
2026-02-26T12:55:00+00:00,343.692,-1.517,-6.342,11.212
2026-02-26T13:00:00+00:00,340.935,-1.527,-6.294,11.219
2026-02-26T13:05:00+00:00,330.183,-1.502,-6.111,11.225
2026-02-26T13:10:00+00:00,342.369,-1.477,-6.326,11.192
2026-02-26T13:15:00+00:00,344.78,-1.447,-6.406,11.216
2026-02-26T13:20:00+00:00,344.859,-1.386,-6.409,11.21
2026-02-26T13:25:00+00:00,342.058,-1.379,-6.358,11.209
2026-02-26T13:30:00+00:00,337.71,-1.373,-6.253,11.186
2026-02-26T13:35:00+00:00,336.927,-1.396,-6.237,11.198
2026-02-26T13:40:00+00:00,332.963,-1.362,-6.148,11.184
2026-02-26T13:45:00+00:00,328.326,-1.339,-6.066,11.186
2026-02-26T13:50:00+00:00,329.752,-1.349,-6.089,11.184
2026-02-26T13:55:00+00:00,322.141,-1.332,-5.971,11.223
2026-02-26T14:00:00+00:00,325.957,-1.354,-6.054,11.219
2026-02-26T14:05:00+00:00,321.515,-1.378,-5.963,11.246
2026-02-26T14:10:00+00:00,322.305,-1.418,-5.991,11.262
2026-02-26T14:15:00+00:00,321.621,-1.421,-5.964,11.271
2026-02-26T14:20:00+00:00,318.418,-1.392,-5.917,11.273
2026-02-26T14:25:00+00:00,319.786,-1.438,-5.929,11.271
2026-02-26T14:30:00+00:00,322.639,-1.453,-5.986,11.229
2026-02-26T14:35:00+00:00,323.64,-1.373,-5.999,11.209
2026-02-26T14:40:00+00:00,320.083,-1.368,-5.918,11.215
2026-02-26T14:45:00+00:00,320.717,-1.359,-5.929,11.205
2026-02-26T14:50:00+00:00,322.027,-1.356,-5.947,11.194
2026-02-26T14:55:00+00:00,327.604,-1.404,-6.033,11.189
2026-02-26T15:00:00+00:00,329.858,-1.412,-6.099,11.228
2026-02-26T15:05:00+00:00,325.815,-1.435,-6.046,11.268
2026-02-26T15:10:00+00:00,321.098,-1.441,-5.966,11.298
2026-02-26T15:15:00+00:00,313.942,-1.387,-5.858,11.323
2026-02-26T15:20:00+00:00,307.439,-1.369,-5.788,11.28
2026-02-26T15:25:00+00:00,307.757,-1.373,-5.789,11.28
2026-02-26T15:30:00+00:00,309.482,-1.364,-5.816,11.28
2026-02-26T15:35:00+00:00,312.104,-1.387,-5.855,11.277
2026-02-26T15:40:00+00:00,313.59,-1.37,-5.876,11.273
2026-02-26T15:45:00+00:00,315.516,-1.388,-5.916,11.236
2026-02-26T15:50:00+00:00,314.415,-1.368,-5.862,11.18
2026-02-26T15:55:00+00:00,321.095,-1.42,-5.969,11.177
2026-02-26T16:00:00+00:00,323.03,-1.374,-6.001,11.174
2026-02-26T16:05:00+00:00,315.535,-1.329,-5.859,11.159
2026-02-26T16:10:00+00:00,320.06,-1.359,-5.968,11.156
2026-02-26T16:15:00+00:00,320.0,-1.398,-5.971,11.173
2026-02-26T16:20:00+00:00,317.585,-1.404,-5.927,11.175
2026-02-26T16:25:00+00:00,318.199,-1.459,-5.932,11.204
2026-02-26T16:30:00+00:00,322.199,-1.488,-6.015,11.224
2026-02-26T16:35:00+00:00,322.081,-1.46,-6.027,11.209
2026-02-26T16:40:00+00:00,318.6,-1.397,-5.966,11.196
2026-02-26T16:45:00+00:00,321.838,-1.415,-6.002,11.165
2026-02-26T16:50:00+00:00,322.131,-1.349,-5.978,11.112
2026-02-26T16:55:00+00:00,327.667,-1.44,-6.033,11.169
2026-02-26T17:00:00+00:00,323.531,-1.449,-6.011,11.22
2026-02-26T17:05:00+00:00,323.45,-1.412,-6.007,11.182
2026-02-26T17:10:00+00:00,324.269,-1.436,-6.065,11.291
2026-02-26T17:15:00+00:00,324.169,-1.396,-6.052,11.246
2026-02-26T17:20:00+00:00,320.704,-1.358,-5.981,11.203
2026-02-26T17:25:00+00:00,319.542,-1.378,-5.965,11.261
2026-02-26T17:30:00+00:00,325.427,-1.394,-6.088,11.267
2026-02-26T17:35:00+00:00,326.029,-1.376,-6.094,11.223
2026-02-26T17:40:00+00:00,326.385,-1.35,-6.096,11.229
2026-02-26T17:45:00+00:00,329.064,-1.41,-6.142,11.274
2026-02-26T17:50:00+00:00,333.779,-1.434,-6.286,11.316
2026-02-26T17:55:00+00:00,333.333,-1.4,-6.299,11.279
2026-02-26T18:00:00+00:00,330.4,-1.386,-6.274,11.28
2026-02-26T18:05:00+00:00,329.685,-1.343,-6.266,11.281
2026-02-26T18:10:00+00:00,326.708,-1.346,-6.192,11.279
2026-02-26T18:15:00+00:00,323.096,-1.333,-6.121,11.28
2026-02-26T18:20:00+00:00,327.611,-1.361,-6.175,11.259
2026-02-26T18:25:00+00:00,324.506,-1.337,-6.135,11.256
2026-02-26T18:30:00+00:00,320.133,-1.353,-6.057,11.268
2026-02-26T18:35:00+00:00,318.089,-1.329,-6.008,11.254
2026-02-26T18:40:00+00:00,319.289,-1.392,-6.038,11.267
2026-02-26T18:45:00+00:00,320.921,-1.407,-6.04,11.257
2026-02-26T18:50:00+00:00,322.938,-1.344,-6.096,11.245
2026-02-26T18:55:00+00:00,321.057,-1.374,-6.056,11.273
2026-02-26T19:00:00+00:00,321.26,-1.385,-6.074,11.28
2026-02-26T19:05:00+00:00,318.949,-1.379,-6.021,11.278
2026-02-26T19:10:00+00:00,315.306,-1.313,-5.916,11.196
2026-02-26T19:15:00+00:00,321.065,-1.353,-6.029,11.198
2026-02-26T19:20:00+00:00,317.653,-1.384,-5.961,11.218
2026-02-26T19:25:00+00:00,318.625,-1.406,-5.992,11.266
2026-02-26T19:30:00+00:00,313.22,-1.403,-5.934,11.306
2026-02-26T19:35:00+00:00,317.204,-1.416,-5.991,11.311
2026-02-26T19:40:00+00:00,319.222,-1.411,-5.975,11.282
2026-02-26T19:45:00+00:00,319.19,-1.364,-5.971,11.259
2026-02-26T19:50:00+00:00,315.748,-1.322,-5.886,11.219
2026-02-26T19:55:00+00:00,319.606,-1.391,-5.936,11.22
2026-02-26T20:00:00+00:00,318.7,-1.354,-5.949,11.22
2026-02-26T20:05:00+00:00,317.574,-1.319,-5.922,11.22
2026-02-26T20:10:00+00:00,313.171,-1.301,-5.837,11.22
2026-02-26T20:15:00+00:00,311.824,-1.274,-5.821,11.239
2026-02-26T20:20:00+00:00,312.259,-1.327,-5.804,11.22
2026-02-26T20:25:00+00:00,311.431,-1.282,-5.817,11.225
2026-02-26T20:30:00+00:00,308.461,-1.272,-5.757,11.223
2026-02-26T20:35:00+00:00,306.327,-1.304,-5.694,11.223
2026-02-26T20:40:00+00:00,307.498,-1.265,-5.703,11.126
2026-02-26T20:45:00+00:00,308.274,-1.248,-5.743,11.125
2026-02-26T20:50:00+00:00,302.865,-1.19,-5.63,11.19
2026-02-26T20:55:00+00:00,301.676,-1.158,-5.614,11.195
2026-02-26T21:00:00+00:00,290.736,-1.128,-5.422,11.258
2026-02-26T21:05:00+00:00,283.053,-1.144,-5.273,11.259
2026-02-26T21:10:00+00:00,284.289,-1.197,-5.31,11.29
2026-02-26T21:15:00+00:00,285.928,-1.185,-5.348,11.311
2026-02-26T21:20:00+00:00,289.234,-1.225,-5.441,11.33
2026-02-26T21:25:00+00:00,298.616,-1.265,-5.617,11.323
2026-02-26T21:30:00+00:00,298.981,-1.264,-5.629,11.336
2026-02-26T21:35:00+00:00,296.526,-1.285,-5.584,11.334
2026-02-26T21:40:00+00:00,295.22,-1.322,-5.598,11.344
2026-02-26T21:45:00+00:00,301.621,-1.306,-5.683,11.312
2026-02-26T21:50:00+00:00,293.315,-1.172,-5.458,11.294
2026-02-26T21:55:00+00:00,279.116,-1.028,-5.189,11.167
2026-02-26T22:00:00+00:00,284.393,-1.052,-5.318,11.196
2026-02-26T22:05:00+00:00,284.411,-1.09,-5.346,11.215
2026-02-26T22:10:00+00:00,285.114,-1.158,-5.347,11.26
2026-02-26T22:15:00+00:00,285.179,-1.143,-5.363,11.278
2026-02-26T22:20:00+00:00,285.124,-1.146,-5.376,11.284
2026-02-26T22:25:00+00:00,280.467,-1.082,-5.278,11.276
2026-02-26T22:30:00+00:00,271.745,-1.013,-5.097,11.268
2026-02-26T22:35:00+00:00,272.745,-1.036,-5.102,11.259
2026-02-26T22:40:00+00:00,278.863,-1.06,-5.203,11.26
2026-02-26T22:45:00+00:00,277.594,-1.076,-5.18,11.26
2026-02-26T22:50:00+00:00,276.879,-1.097,-5.183,11.263
2026-02-26T22:55:00+00:00,277.411,-1.062,-5.212,11.283
2026-02-26T23:00:00+00:00,272.945,-1.059,-5.128,11.291
2026-02-26T23:05:00+00:00,269.659,-1.046,-5.054,11.269
2026-02-26T23:10:00+00:00,264.129,-0.946,-4.915,11.245
2026-02-26T23:15:00+00:00,270.064,-0.94,-5.018,11.183
2026-02-26T23:20:00+00:00,269.153,-0.942,-5.004,11.196
2026-02-26T23:25:00+00:00,267.091,-0.965,-4.97,11.203
2026-02-26T23:30:00+00:00,266.795,-0.929,-4.977,11.205
2026-02-26T23:35:00+00:00,267.287,-0.958,-4.973,11.226
2026-02-26T23:40:00+00:00,265.968,-0.974,-4.952,11.255
2026-02-26T23:45:00+00:00,264.387,-0.935,-4.926,11.26
2026-02-26T23:50:00+00:00,257.199,-0.958,-4.803,11.261
2026-02-26T23:55:00+00:00,263.912,-0.983,-4.919,11.264
2026-02-27T00:00:00+00:00,258.754,-0.936,-4.817,11.263
2026-02-27T00:05:00+00:00,259.899,-0.962,-4.83,11.259
2026-02-27T00:10:00+00:00,262.277,-0.967,-4.86,11.249
2026-02-27T00:15:00+00:00,262.938,-0.976,-4.874,11.26
2026-02-27T00:20:00+00:00,260.486,-0.932,-4.846,11.261
2026-02-27T00:25:00+00:00,263.287,-0.864,-4.885,11.226
2026-02-27T00:30:00+00:00,262.195,-0.94,-4.86,11.204
2026-02-27T00:35:00+00:00,263.231,-0.932,-4.859,11.152
2026-02-27T00:40:00+00:00,261.946,-0.896,-4.834,11.118
2026-02-27T00:45:00+00:00,261.326,-0.898,-4.814,11.135
2026-02-27T00:50:00+00:00,266.739,-0.976,-4.894,11.13
2026-02-27T00:55:00+00:00,271.007,-0.97,-4.933,11.202
2026-02-27T01:00:00+00:00,269.748,-0.975,-4.9,11.217
2026-02-27T01:05:00+00:00,269.131,-1.013,-4.89,11.213
2026-02-27T01:10:00+00:00,270.925,-1.006,-4.934,11.213
2026-02-27T01:15:00+00:00,269.926,-1.016,-4.916,11.22
2026-02-27T01:20:00+00:00,268.846,-0.989,-4.891,11.223
2026-02-27T01:25:00+00:00,276.225,-1.014,-5.025,11.234
2026-02-27T01:30:00+00:00,273.282,-1.002,-4.976,11.264
2026-02-27T01:35:00+00:00,269.029,-1.006,-4.908,11.249
2026-02-27T01:40:00+00:00,268.86,-1.069,-4.894,11.266
2026-02-27T01:45:00+00:00,265.967,-1.001,-4.849,11.29
2026-02-27T01:50:00+00:00,267.338,-1.055,-4.882,11.291
2026-02-27T01:55:00+00:00,266.609,-1.076,-4.878,11.3
2026-02-27T02:00:00+00:00,266.517,-1.084,-4.887,11.308
2026-02-27T02:05:00+00:00,268.398,-1.049,-4.923,11.286
2026-02-27T02:10:00+00:00,269.83,-1.095,-4.957,11.298
2026-02-27T02:15:00+00:00,268.316,-1.11,-4.949,11.318
2026-02-27T02:20:00+00:00,269.307,-1.14,-4.966,11.322
2026-02-27T02:25:00+00:00,267.32,-1.142,-4.981,11.291
2026-02-27T02:30:00+00:00,261.491,-1.118,-4.879,11.278
2026-02-27T02:35:00+00:00,260.648,-1.161,-4.873,11.324
2026-02-27T02:40:00+00:00,265.088,-1.112,-4.875,11.291
2026-02-27T02:45:00+00:00,267.246,-1.102,-4.921,11.298
2026-02-27T02:50:00+00:00,268.518,-1.083,-4.938,11.28
2026-02-27T02:55:00+00:00,270.665,-1.054,-4.978,11.282
2026-02-27T03:00:00+00:00,272.214,-1.008,-5.021,11.298
2026-02-27T03:05:00+00:00,272.291,-1.085,-5.004,11.269
2026-02-27T03:10:00+00:00,268.868,-1.101,-4.939,11.308
2026-02-27T03:15:00+00:00,268.142,-1.113,-4.942,11.32
2026-02-27T03:20:00+00:00,264.675,-1.145,-4.87,11.336
2026-02-27T03:25:00+00:00,262.874,-1.062,-4.84,11.313
2026-02-27T03:30:00+00:00,265.672,-1.089,-4.875,11.301
2026-02-27T03:35:00+00:00,263.756,-1.049,-4.851,11.308
2026-02-27T03:40:00+00:00,265.154,-1.12,-4.867,11.314
2026-02-27T03:45:00+00:00,266.847,-1.122,-4.89,11.321
2026-02-27T03:50:00+00:00,261.176,-1.036,-4.849,11.306
2026-02-27T03:55:00+00:00,261.59,-1.042,-4.895,11.275
2026-02-27T04:00:00+00:00,261.535,-1.069,-4.865,11.264
2026-02-27T04:05:00+00:00,266.115,-1.116,-4.961,11.269
2026-02-27T04:10:00+00:00,266.735,-1.136,-4.977,11.274
2026-02-27T04:15:00+00:00,267.496,-1.169,-4.981,11.27
2026-02-27T04:20:00+00:00,266.78,-1.137,-4.972,11.278
2026-02-27T04:25:00+00:00,267.568,-1.146,-5.005,11.276
2026-02-27T04:30:00+00:00,272.219,-1.15,-5.102,11.288
2026-02-27T04:35:00+00:00,273.106,-1.16,-5.104,11.288
2026-02-27T04:40:00+00:00,274.223,-1.158,-5.119,11.272
2026-02-27T04:45:00+00:00,272.785,-1.034,-5.038,11.091
2026-02-27T04:50:00+00:00,273.239,-1.045,-5.047,11.108
2026-02-27T04:55:00+00:00,276.57,-1.088,-5.083,11.193
2026-02-27T05:00:00+00:00,277.33,-1.076,-5.111,11.228
2026-02-27T05:05:00+00:00,278.135,-1.091,-5.106,11.193
2026-02-27T05:10:00+00:00,273.682,-1.082,-5.026,11.194
2026-02-27T05:15:00+00:00,276.514,-1.109,-5.081,11.182
2026-02-27T05:20:00+00:00,275.617,-1.054,-5.065,11.189
2026-02-27T05:25:00+00:00,278.702,-1.088,-5.118,11.16
2026-02-27T05:30:00+00:00,284.21,-1.13,-5.206,11.16
2026-02-27T05:35:00+00:00,284.019,-1.083,-5.228,11.192
2026-02-27T05:40:00+00:00,287.43,-1.105,-5.287,11.168
2026-02-27T05:45:00+00:00,290.377,-1.128,-5.335,11.16
2026-02-27T05:50:00+00:00,288.726,-1.1,-5.287,11.15
2026-02-27T05:55:00+00:00,285.646,-1.015,-5.249,11.161
2026-02-27T06:00:00+00:00,281.698,-0.973,-5.171,11.138
