ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,239.992,0.56,-4.66,11.292
2026-02-26T00:10:00+00:00,243.394,0.577,-4.707,11.259
2026-02-26T00:15:00+00:00,242.701,0.584,-4.702,11.25
2026-02-26T00:20:00+00:00,240.174,0.587,-4.644,11.25
2026-02-26T00:25:00+00:00,238.038,0.593,-4.608,11.256
2026-02-26T00:30:00+00:00,235.614,0.584,-4.579,11.299
2026-02-26T00:35:00+00:00,239.03,0.509,-4.61,11.25
2026-02-26T00:40:00+00:00,244.031,0.513,-4.701,11.184
2026-02-26T00:45:00+00:00,245.418,0.5,-4.732,11.168
2026-02-26T00:50:00+00:00,244.487,0.522,-4.697,11.16
2026-02-26T00:55:00+00:00,243.971,0.523,-4.698,11.153
2026-02-26T01:00:00+00:00,239.915,0.574,-4.628,11.22
2026-02-26T01:05:00+00:00,239.836,0.594,-4.628,11.25
2026-02-26T01:10:00+00:00,240.5,0.572,-4.642,11.25
2026-02-26T01:15:00+00:00,241.039,0.542,-4.66,11.25
2026-02-26T01:20:00+00:00,243.765,0.55,-4.714,11.25
2026-02-26T01:25:00+00:00,240.606,0.552,-4.655,11.254
2026-02-26T01:30:00+00:00,240.346,0.528,-4.651,11.254
2026-02-26T01:35:00+00:00,237.12,0.548,-4.593,11.261
2026-02-26T01:40:00+00:00,235.525,0.552,-4.564,11.268
2026-02-26T01:45:00+00:00,237.815,0.537,-4.616,11.278
2026-02-26T01:50:00+00:00,234.384,0.552,-4.553,11.3
2026-02-26T01:55:00+00:00,232.614,0.554,-4.512,11.307
2026-02-26T02:00:00+00:00,231.146,0.558,-4.498,11.344
2026-02-26T02:05:00+00:00,232.091,0.568,-4.502,11.301
2026-02-26T02:10:00+00:00,232.459,0.549,-4.496,11.3
2026-02-26T02:15:00+00:00,227.627,0.551,-4.412,11.334
2026-02-26T02:20:00+00:00,228.811,0.518,-4.446,11.308
2026-02-26T02:25:00+00:00,223.962,0.504,-4.359,11.35
2026-02-26T02:30:00+00:00,224.633,0.459,-4.359,11.336
2026-02-26T02:35:00+00:00,223.645,0.457,-4.353,11.347
2026-02-26T02:40:00+00:00,223.919,0.466,-4.36,11.35
2026-02-26T02:45:00+00:00,221.054,0.502,-4.306,11.349
2026-02-26T02:50:00+00:00,217.357,0.564,-4.234,11.359
2026-02-26T02:55:00+00:00,219.376,0.55,-4.284,11.364
2026-02-26T03:00:00+00:00,220.981,0.548,-4.313,11.372
2026-02-26T03:05:00+00:00,218.818,0.548,-4.254,11.354
2026-02-26T03:10:00+00:00,220.735,0.567,-4.29,11.35
2026-02-26T03:15:00+00:00,221.068,0.524,-4.304,11.35
2026-02-26T03:20:00+00:00,223.156,0.492,-4.332,11.35
2026-02-26T03:25:00+00:00,222.27,0.51,-4.335,11.366
2026-02-26T03:30:00+00:00,220.254,0.52,-4.303,11.383
2026-02-26T03:35:00+00:00,221.993,0.456,-4.338,11.371
2026-02-26T03:40:00+00:00,222.356,0.515,-4.354,11.373
2026-02-26T03:45:00+00:00,224.791,0.484,-4.384,11.38
2026-02-26T03:50:00+00:00,227.662,0.494,-4.45,11.398
2026-02-26T03:55:00+00:00,226.843,0.492,-4.437,11.396
2026-02-26T04:00:00+00:00,225.484,0.5,-4.414,11.418
2026-02-26T04:05:00+00:00,221.398,0.504,-4.315,11.355
2026-02-26T04:10:00+00:00,223.67,0.469,-4.355,11.35
2026-02-26T04:15:00+00:00,223.66,0.464,-4.356,11.35
2026-02-26T04:20:00+00:00,222.993,0.505,-4.327,11.35
2026-02-26T04:25:00+00:00,226.27,0.485,-4.4,11.35
2026-02-26T04:30:00+00:00,229.015,0.441,-4.46,11.35
2026-02-26T04:35:00+00:00,229.062,0.436,-4.474,11.35
2026-02-26T04:40:00+00:00,229.905,0.462,-4.492,11.35
2026-02-26T04:45:00+00:00,230.413,0.458,-4.502,11.35
2026-02-26T04:50:00+00:00,233.948,0.456,-4.574,11.356
2026-02-26T04:55:00+00:00,237.154,0.474,-4.621,11.372
2026-02-26T05:00:00+00:00,232.652,0.491,-4.56,11.359
2026-02-26T05:05:00+00:00,235.301,0.452,-4.577,11.309
2026-02-26T05:10:00+00:00,237.954,0.485,-4.62,11.265
2026-02-26T05:15:00+00:00,238.189,0.502,-4.624,11.268
2026-02-26T05:20:00+00:00,236.963,0.5,-4.607,11.298
2026-02-26T05:25:00+00:00,240.603,0.449,-4.68,11.257
2026-02-26T05:30:00+00:00,240.833,0.44,-4.695,11.25
2026-02-26T05:35:00+00:00,240.644,0.468,-4.666,11.253
2026-02-26T05:40:00+00:00,241.969,0.519,-4.695,11.276
2026-02-26T05:45:00+00:00,246.284,0.5,-4.786,11.275
2026-02-26T05:50:00+00:00,248.77,0.429,-4.828,11.25
2026-02-26T05:55:00+00:00,251.552,0.479,-4.879,11.25
2026-02-26T06:00:00+00:00,252.171,0.476,-4.871,11.25
2026-02-26T06:05:00+00:00,255.972,0.435,-4.934,11.19
2026-02-26T06:10:00+00:00,263.595,0.382,-5.081,11.212
2026-02-26T06:15:00+00:00,267.016,0.394,-5.192,11.348
2026-02-26T06:20:00+00:00,270.059,0.361,-5.254,11.344
2026-02-26T06:25:00+00:00,270.752,0.372,-5.249,11.275
2026-02-26T06:30:00+00:00,272.794,0.376,-5.294,11.294
2026-02-26T06:35:00+00:00,278.41,0.338,-5.391,11.268
2026-02-26T06:40:00+00:00,280.898,0.305,-5.423,11.256
2026-02-26T06:45:00+00:00,282.629,0.352,-5.509,11.35
2026-02-26T06:50:00+00:00,277.735,0.37,-5.413,11.35
2026-02-26T06:55:00+00:00,281.629,0.398,-5.477,11.344
2026-02-26T07:00:00+00:00,286.83,0.416,-5.555,11.265
2026-02-26T07:05:00+00:00,288.643,0.442,-5.586,11.266
2026-02-26T07:10:00+00:00,296.572,0.457,-5.712,11.216
2026-02-26T07:15:00+00:00,303.22,0.414,-5.838,11.17
2026-02-26T07:20:00+00:00,305.508,0.335,-5.899,11.237
2026-02-26T07:25:00+00:00,308.885,0.358,-5.968,11.209
2026-02-26T07:30:00+00:00,309.311,0.354,-5.96,11.162
2026-02-26T07:35:00+00:00,310.618,0.373,-5.954,11.148
2026-02-26T07:40:00+00:00,310.566,0.375,-5.964,11.15
2026-02-26T07:45:00+00:00,311.832,0.39,-5.99,11.15
2026-02-26T07:50:00+00:00,314.745,0.342,-6.038,11.15
2026-02-26T07:55:00+00:00,316.623,0.34,-6.088,11.15
2026-02-26T08:00:00+00:00,320.324,0.348,-6.138,11.15
2026-02-26T08:05:00+00:00,324.313,0.388,-6.201,11.114
2026-02-26T08:10:00+00:00,325.662,0.344,-6.223,11.098
2026-02-26T08:15:00+00:00,323.685,0.335,-6.202,11.15
2026-02-26T08:20:00+00:00,322.32,0.396,-6.174,11.148
2026-02-26T08:25:00+00:00,326.576,0.352,-6.246,11.132
2026-02-26T08:30:00+00:00,328.125,0.318,-6.27,11.145
2026-02-26T08:35:00+00:00,327.605,0.328,-6.283,11.149
2026-02-26T08:40:00+00:00,324.148,0.345,-6.204,11.142
2026-02-26T08:45:00+00:00,331.077,0.334,-6.333,11.088
2026-02-26T08:50:00+00:00,330.772,0.334,-6.313,11.077
2026-02-26T08:55:00+00:00,329.211,0.34,-6.291,11.06
2026-02-26T09:00:00+00:00,332.202,0.318,-6.348,11.066
2026-02-26T09:05:00+00:00,332.653,0.34,-6.365,11.092
2026-02-26T09:10:00+00:00,333.282,0.332,-6.365,11.067
2026-02-26T09:15:00+00:00,342.106,0.357,-6.52,11.053
2026-02-26T09:20:00+00:00,343.722,0.286,-6.566,11.05
2026-02-26T09:25:00+00:00,345.072,0.283,-6.59,11.064
2026-02-26T09:30:00+00:00,343.332,0.336,-6.59,11.164
2026-02-26T09:35:00+00:00,345.458,0.321,-6.641,11.18
2026-02-26T09:40:00+00:00,348.619,0.312,-6.701,11.165
2026-02-26T09:45:00+00:00,350.558,0.314,-6.744,11.184
2026-02-26T09:50:00+00:00,350.083,0.336,-6.73,11.2
2026-02-26T09:55:00+00:00,355.98,0.31,-6.843,11.183
2026-02-26T10:00:00+00:00,358.354,0.324,-6.902,11.188
2026-02-26T10:05:00+00:00,362.316,0.292,-6.971,11.151
2026-02-26T10:10:00+00:00,364.815,0.167,-6.965,11.146
2026-02-26T10:15:00+00:00,367.518,0.216,-7.074,11.16
2026-02-26T10:20:00+00:00,371.295,0.263,-7.125,11.153
2026-02-26T10:25:00+00:00,372.52,0.26,-7.143,11.15
2026-02-26T10:30:00+00:00,365.962,0.282,-7.013,11.15
2026-02-26T10:35:00+00:00,368.618,0.26,-7.066,11.15
2026-02-26T10:40:00+00:00,371.638,0.273,-7.091,11.132
2026-02-26T10:45:00+00:00,367.744,0.276,-7.011,11.112
2026-02-26T10:50:00+00:00,365.641,0.219,-6.956,11.113
2026-02-26T10:55:00+00:00,370.674,0.1,-7.03,11.057
2026-02-26T11:00:00+00:00,371.166,0.151,-7.059,11.093
2026-02-26T11:05:00+00:00,368.338,0.233,-7.07,11.155
2026-02-26T11:10:00+00:00,365.677,0.246,-7.02,11.15
2026-02-26T11:15:00+00:00,362.725,0.26,-6.958,11.15
2026-02-26T11:20:00+00:00,360.697,0.266,-6.943,11.166
2026-02-26T11:25:00+00:00,353.316,0.262,-6.792,11.218
2026-02-26T11:30:00+00:00,353.42,0.273,-6.794,11.178
2026-02-26T11:35:00+00:00,351.207,0.287,-6.743,11.17
2026-02-26T11:40:00+00:00,349.876,0.279,-6.73,11.229
2026-02-26T11:45:00+00:00,353.654,0.26,-6.807,11.244
2026-02-26T11:50:00+00:00,355.994,0.282,-6.853,11.25
2026-02-26T11:55:00+00:00,359.101,0.26,-6.937,11.25
2026-02-26T12:00:00+00:00,356.211,0.267,-6.879,11.223
2026-02-26T12:05:00+00:00,359.177,0.267,-6.902,11.147
2026-02-26T12:10:00+00:00,364.562,0.308,-6.972,11.14
2026-02-26T12:15:00+00:00,361.153,0.352,-6.914,11.124
2026-02-26T12:20:00+00:00,355.271,0.351,-6.791,11.094
2026-02-26T12:25:00+00:00,358.803,0.313,-6.858,11.084
2026-02-26T12:30:00+00:00,361.142,0.288,-6.894,11.088
2026-02-26T12:35:00+00:00,364.571,0.264,-6.939,11.054
2026-02-26T12:40:00+00:00,365.018,0.251,-6.979,11.138
2026-02-26T12:45:00+00:00,364.412,0.281,-6.97,11.143
2026-02-26T12:50:00+00:00,360.607,0.288,-6.914,11.15
2026-02-26T12:55:00+00:00,360.513,0.262,-6.921,11.16
2026-02-26T13:00:00+00:00,359.182,0.276,-6.909,11.209
2026-02-26T13:05:00+00:00,353.848,0.268,-6.794,11.197
2026-02-26T13:10:00+00:00,351.323,0.288,-6.719,11.15
2026-02-26T13:15:00+00:00,357.097,0.314,-6.848,11.181
2026-02-26T13:20:00+00:00,360.492,0.285,-6.923,11.151
2026-02-26T13:25:00+00:00,355.261,0.295,-6.826,11.152
2026-02-26T13:30:00+00:00,352.607,0.317,-6.75,11.144
2026-02-26T13:35:00+00:00,352.655,0.342,-6.774,11.159
2026-02-26T13:40:00+00:00,350.748,0.321,-6.707,11.149
2026-02-26T13:45:00+00:00,352.84,0.329,-6.742,11.15
2026-02-26T13:50:00+00:00,357.368,0.278,-6.831,11.15
2026-02-26T13:55:00+00:00,358.442,0.262,-6.872,11.15
2026-02-26T14:00:00+00:00,356.376,0.287,-6.852,11.152
2026-02-26T14:05:00+00:00,354.533,0.348,-6.808,11.173
2026-02-26T14:10:00+00:00,357.134,0.293,-6.872,11.193
2026-02-26T14:15:00+00:00,357.638,0.345,-6.862,11.205
2026-02-26T14:20:00+00:00,355.279,0.334,-6.842,11.207
2026-02-26T14:25:00+00:00,358.599,0.291,-6.89,11.172
2026-02-26T14:30:00+00:00,353.968,0.358,-6.786,11.169
2026-02-26T14:35:00+00:00,355.776,0.369,-6.817,11.15
2026-02-26T14:40:00+00:00,351.603,0.394,-6.754,11.156
2026-02-26T14:45:00+00:00,353.959,0.382,-6.772,11.15
2026-02-26T14:50:00+00:00,354.616,0.347,-6.78,11.15
2026-02-26T14:55:00+00:00,356.572,0.322,-6.816,11.15
2026-02-26T15:00:00+00:00,359.543,0.275,-6.892,11.15
2026-02-26T15:05:00+00:00,357.323,0.336,-6.878,11.218
2026-02-26T15:10:00+00:00,361.376,0.332,-6.987,11.25
2026-02-26T15:15:00+00:00,364.07,0.294,-7.009,11.19
2026-02-26T15:20:00+00:00,359.584,0.296,-6.967,11.248
2026-02-26T15:25:00+00:00,352.558,0.306,-6.827,11.25
2026-02-26T15:30:00+00:00,352.625,0.315,-6.812,11.226
2026-02-26T15:35:00+00:00,358.226,0.294,-6.898,11.196
2026-02-26T15:40:00+00:00,360.148,0.283,-6.942,11.169
2026-02-26T15:45:00+00:00,363.177,0.302,-6.979,11.153
2026-02-26T15:50:00+00:00,362.808,0.325,-6.962,11.149
2026-02-26T15:55:00+00:00,367.126,0.315,-7.04,11.15
2026-02-26T16:00:00+00:00,372.328,0.3,-7.134,11.132
2026-02-26T16:05:00+00:00,372.205,0.295,-7.124,11.114
2026-02-26T16:10:00+00:00,373.896,0.318,-7.148,11.118
2026-02-26T16:15:00+00:00,373.9,0.342,-7.182,11.15
2026-02-26T16:20:00+00:00,373.625,0.354,-7.176,11.15
2026-02-26T16:25:00+00:00,377.338,0.31,-7.255,11.164
2026-02-26T16:30:00+00:00,378.176,0.309,-7.297,11.201
2026-02-26T16:35:00+00:00,369.42,0.362,-7.133,11.203
2026-02-26T16:40:00+00:00,374.595,0.305,-7.226,11.199
2026-02-26T16:45:00+00:00,374.397,0.334,-7.187,11.164
2026-02-26T16:50:00+00:00,381.542,0.319,-7.294,11.111
2026-02-26T16:55:00+00:00,386.676,0.296,-7.396,11.112
2026-02-26T17:00:00+00:00,387.756,0.288,-7.444,11.174
2026-02-26T17:05:00+00:00,391.494,0.279,-7.48,11.151
2026-02-26T17:10:00+00:00,389.322,0.321,-7.502,11.25
2026-02-26T17:15:00+00:00,390.704,0.337,-7.523,11.217
2026-02-26T17:20:00+00:00,393.516,0.328,-7.54,11.15
2026-02-26T17:25:00+00:00,397.219,0.307,-7.63,11.169
2026-02-26T17:30:00+00:00,401.379,0.278,-7.701,11.199
2026-02-26T17:35:00+00:00,402.305,0.308,-7.737,11.169
2026-02-26T17:40:00+00:00,402.126,0.278,-7.723,11.166
2026-02-26T17:45:00+00:00,401.32,0.288,-7.724,11.218
2026-02-26T17:50:00+00:00,390.924,0.271,-7.555,11.209
2026-02-26T17:55:00+00:00,390.393,0.256,-7.542,11.226
2026-02-26T18:00:00+00:00,389.772,0.216,-7.548,11.243
2026-02-26T18:05:00+00:00,386.832,0.28,-7.502,11.298
2026-02-26T18:10:00+00:00,386.465,0.257,-7.491,11.26
2026-02-26T18:15:00+00:00,384.21,0.282,-7.452,11.278
2026-02-26T18:20:00+00:00,381.927,0.165,-7.39,11.241
2026-02-26T18:25:00+00:00,382.886,0.252,-7.423,11.242
2026-02-26T18:30:00+00:00,379.643,0.359,-7.36,11.281
2026-02-26T18:35:00+00:00,380.884,0.342,-7.357,11.235
2026-02-26T18:40:00+00:00,380.924,0.344,-7.35,11.217
2026-02-26T18:45:00+00:00,383.224,0.34,-7.397,11.216
2026-02-26T18:50:00+00:00,382.296,0.399,-7.376,11.215
2026-02-26T18:55:00+00:00,383.33,0.394,-7.428,11.241
2026-02-26T19:00:00+00:00,381.039,0.354,-7.382,11.233
2026-02-26T19:05:00+00:00,379.291,0.38,-7.336,11.236
2026-02-26T19:10:00+00:00,380.146,0.409,-7.3,11.157
2026-02-26T19:15:00+00:00,378.109,0.404,-7.275,11.15
2026-02-26T19:20:00+00:00,371.36,0.426,-7.144,11.169
2026-02-26T19:25:00+00:00,371.115,0.377,-7.17,11.24
2026-02-26T19:30:00+00:00,371.384,0.326,-7.198,11.27
2026-02-26T19:35:00+00:00,367.095,0.346,-7.154,11.298
2026-02-26T19:40:00+00:00,363.834,0.345,-7.084,11.298
2026-02-26T19:45:00+00:00,365.377,0.309,-7.089,11.275
2026-02-26T19:50:00+00:00,360.813,0.318,-6.974,11.238
2026-02-26T19:55:00+00:00,359.508,0.351,-6.975,11.25
2026-02-26T20:00:00+00:00,360.362,0.242,-6.944,11.238
2026-02-26T20:05:00+00:00,364.56,0.311,-7.065,11.246
2026-02-26T20:10:00+00:00,359.65,0.273,-6.962,11.248
2026-02-26T20:15:00+00:00,357.482,0.298,-6.932,11.258
2026-02-26T20:20:00+00:00,352.409,0.308,-6.818,11.25
2026-02-26T20:25:00+00:00,353.682,0.302,-6.848,11.25
2026-02-26T20:30:00+00:00,348.135,0.32,-6.748,11.249
2026-02-26T20:35:00+00:00,347.772,0.288,-6.739,11.25
2026-02-26T20:40:00+00:00,345.35,0.297,-6.656,11.186
2026-02-26T20:45:00+00:00,339.296,0.324,-6.488,11.146
2026-02-26T20:50:00+00:00,339.284,0.376,-6.488,11.146
2026-02-26T20:55:00+00:00,336.822,0.349,-6.454,11.15
2026-02-26T21:00:00+00:00,339.593,0.326,-6.523,11.154
2026-02-26T21:05:00+00:00,338.262,0.328,-6.496,11.157
2026-02-26T21:10:00+00:00,328.64,0.261,-6.338,11.217
2026-02-26T21:15:00+00:00,326.426,0.266,-6.307,11.246
2026-02-26T21:20:00+00:00,322.599,0.328,-6.234,11.25
2026-02-26T21:25:00+00:00,321.213,0.297,-6.218,11.25
2026-02-26T21:30:00+00:00,321.785,0.324,-6.245,11.267
2026-02-26T21:35:00+00:00,312.625,0.384,-6.08,11.306
2026-02-26T21:40:00+00:00,306.353,0.386,-5.994,11.35
2026-02-26T21:45:00+00:00,301.755,0.506,-5.91,11.349
2026-02-26T21:50:00+00:00,301.524,0.498,-5.868,11.3
2026-02-26T21:55:00+00:00,300.252,0.562,-5.787,11.198
2026-02-26T22:00:00+00:00,296.885,0.493,-5.746,11.272
2026-02-26T22:05:00+00:00,297.616,0.429,-5.738,11.25
2026-02-26T22:10:00+00:00,298.164,0.399,-5.787,11.293
2026-02-26T22:15:00+00:00,296.999,0.395,-5.782,11.35
2026-02-26T22:20:00+00:00,287.942,0.436,-5.607,11.35
2026-02-26T22:25:00+00:00,280.214,0.489,-5.454,11.35
2026-02-26T22:30:00+00:00,281.107,0.499,-5.464,11.316
2026-02-26T22:35:00+00:00,282.68,0.443,-5.461,11.274
2026-02-26T22:40:00+00:00,281.327,0.453,-5.442,11.278
2026-02-26T22:45:00+00:00,275.251,0.478,-5.342,11.33
2026-02-26T22:50:00+00:00,272.29,0.484,-5.301,11.35
2026-02-26T22:55:00+00:00,267.49,0.497,-5.226,11.35
2026-02-26T23:00:00+00:00,262.844,0.56,-5.123,11.35
2026-02-26T23:05:00+00:00,262.583,0.588,-5.107,11.35
2026-02-26T23:10:00+00:00,261.317,0.534,-5.04,11.263
2026-02-26T23:15:00+00:00,260.699,0.444,-5.023,11.249
2026-02-26T23:20:00+00:00,261.921,0.487,-5.042,11.25
2026-02-26T23:25:00+00:00,263.4,0.469,-5.082,11.25
2026-02-26T23:30:00+00:00,258.786,0.515,-4.979,11.254
2026-02-26T23:35:00+00:00,255.024,0.522,-4.918,11.27
2026-02-26T23:40:00+00:00,248.532,0.531,-4.822,11.295
2026-02-26T23:45:00+00:00,248.838,0.548,-4.823,11.302
2026-02-26T23:50:00+00:00,246.338,0.554,-4.778,11.31
2026-02-26T23:55:00+00:00,248.221,0.572,-4.818,11.323
2026-02-27T00:00:00+00:00,243.776,0.591,-4.729,11.334
2026-02-27T00:05:00+00:00,244.81,0.608,-4.742,11.325
2026-02-27T00:10:00+00:00,247.757,0.535,-4.794,11.298
2026-02-27T00:15:00+00:00,253.003,0.46,-4.897,11.308
2026-02-27T00:20:00+00:00,246.349,0.463,-4.785,11.35
2026-02-27T00:25:00+00:00,245.764,0.489,-4.738,11.29
2026-02-27T00:30:00+00:00,241.273,0.532,-4.66,11.282
2026-02-27T00:35:00+00:00,240.127,0.592,-4.618,11.238
2026-02-27T00:40:00+00:00,246.029,0.568,-4.716,11.197
2026-02-27T00:45:00+00:00,248.878,0.563,-4.767,11.188
2026-02-27T00:50:00+00:00,253.354,0.484,-4.838,11.176
2026-02-27T00:55:00+00:00,250.08,0.507,-4.784,11.204
2026-02-27T01:00:00+00:00,248.022,0.56,-4.762,11.247
2026-02-27T01:05:00+00:00,246.609,0.556,-4.726,11.207
2026-02-27T01:10:00+00:00,243.156,0.594,-4.663,11.217
2026-02-27T01:15:00+00:00,243.7,0.56,-4.688,11.25
2026-02-27T01:20:00+00:00,242.562,0.544,-4.66,11.25
2026-02-27T01:25:00+00:00,243.704,0.451,-4.671,11.249
2026-02-27T01:30:00+00:00,243.742,0.458,-4.673,11.25
2026-02-27T01:35:00+00:00,245.111,0.438,-4.713,11.25
2026-02-27T01:40:00+00:00,246.514,0.44,-4.744,11.25
2026-02-27T01:45:00+00:00,239.259,0.55,-4.614,11.267
2026-02-27T01:50:00+00:00,231.15,0.576,-4.477,11.297
2026-02-27T01:55:00+00:00,230.693,0.59,-4.456,11.318
2026-02-27T02:00:00+00:00,231.612,0.548,-4.501,11.346
2026-02-27T02:05:00+00:00,233.984,0.567,-4.525,11.289
2026-02-27T02:10:00+00:00,232.275,0.514,-4.502,11.32
2026-02-27T02:15:00+00:00,229.853,0.534,-4.469,11.352
2026-02-27T02:20:00+00:00,227.355,0.566,-4.44,11.369
2026-02-27T02:25:00+00:00,227.105,0.6,-4.428,11.374
2026-02-27T02:30:00+00:00,228.236,0.532,-4.426,11.276
2026-02-27T02:35:00+00:00,233.462,0.515,-4.552,11.343
2026-02-27T02:40:00+00:00,230.594,0.519,-4.508,11.363
2026-02-27T02:45:00+00:00,230.355,0.484,-4.482,11.357
2026-02-27T02:50:00+00:00,231.326,0.465,-4.504,11.349
2026-02-27T02:55:00+00:00,232.208,0.462,-4.526,11.35
2026-02-27T03:00:00+00:00,230.423,0.512,-4.5,11.358
2026-02-27T03:05:00+00:00,232.36,0.445,-4.52,11.35
2026-02-27T03:10:00+00:00,234.912,0.438,-4.583,11.358
2026-02-27T03:15:00+00:00,233.054,0.4,-4.562,11.36
2026-02-27T03:20:00+00:00,230.048,0.414,-4.507,11.376
2026-02-27T03:25:00+00:00,231.053,0.406,-4.523,11.394
2026-02-27T03:30:00+00:00,229.85,0.404,-4.499,11.404
2026-02-27T03:35:00+00:00,231.712,0.402,-4.542,11.445
2026-02-27T03:40:00+00:00,230.628,0.413,-4.512,11.45
2026-02-27T03:45:00+00:00,231.986,0.339,-4.552,11.45
2026-02-27T03:50:00+00:00,233.699,0.327,-4.6,11.45
2026-02-27T03:55:00+00:00,227.715,0.383,-4.473,11.449
2026-02-27T04:00:00+00:00,228.66,0.42,-4.502,11.45
2026-02-27T04:05:00+00:00,230.081,0.431,-4.542,11.45
2026-02-27T04:10:00+00:00,226.861,0.431,-4.469,11.443
2026-02-27T04:15:00+00:00,223.478,0.435,-4.38,11.424
2026-02-27T04:20:00+00:00,221.604,0.418,-4.355,11.422
2026-02-27T04:25:00+00:00,221.882,0.459,-4.366,11.426
2026-02-27T04:30:00+00:00,221.826,0.49,-4.361,11.447
2026-02-27T04:35:00+00:00,224.442,0.417,-4.406,11.431
2026-02-27T04:40:00+00:00,228.745,0.388,-4.499,11.434
2026-02-27T04:45:00+00:00,233.748,0.371,-4.616,11.436
2026-02-27T04:50:00+00:00,236.575,0.384,-4.658,11.423
2026-02-27T04:55:00+00:00,238.77,0.392,-4.689,11.423
2026-02-27T05:00:00+00:00,240.198,0.396,-4.725,11.433
2026-02-27T05:05:00+00:00,240.834,0.435,-4.738,11.391
2026-02-27T05:10:00+00:00,244.17,0.438,-4.804,11.38
2026-02-27T05:15:00+00:00,246.008,0.4,-4.84,11.36
2026-02-27T05:20:00+00:00,244.741,0.396,-4.819,11.35
2026-02-27T05:25:00+00:00,246.729,0.361,-4.85,11.35
2026-02-27T05:30:00+00:00,246.88,0.37,-4.861,11.35
2026-02-27T05:35:00+00:00,246.468,0.425,-4.847,11.387
2026-02-27T05:40:00+00:00,249.054,0.404,-4.894,11.354
2026-02-27T05:45:00+00:00,251.877,0.363,-4.946,11.35
2026-02-27T05:50:00+00:00,250.075,0.4,-4.905,11.35
2026-02-27T05:55:00+00:00,251.091,0.39,-4.922,11.349
2026-02-27T06:00:00+00:00,253.823,0.402,-4.954,11.327
2026-02-27T06:05:00+00:00,263.28,0.359,-5.128,11.286
2026-02-27T06:10:00+00:00,270.827,0.36,-5.256,11.306
2026-02-27T06:15:00+00:00,269.486,0.391,-5.227,11.262
2026-02-27T06:20:00+00:00,271.945,0.382,-5.253,11.242
2026-02-27T06:25:00+00:00,277.936,0.373,-5.382,11.249
2026-02-27T06:30:00+00:00,279.674,0.36,-5.424,11.246
2026-02-27T06:35:00+00:00,279.389,0.353,-5.384,11.177
2026-02-27T06:40:00+00:00,285.327,0.302,-5.474,11.142
2026-02-27T06:45:00+00:00,290.831,0.318,-5.581,11.2
2026-02-27T06:50:00+00:00,287.32,0.39,-5.551,11.25
2026-02-27T06:55:00+00:00,294.068,0.405,-5.686,11.25
2026-02-27T07:00:00+00:00,297.531,0.397,-5.731,11.234
2026-02-27T07:05:00+00:00,307.105,0.357,-5.935,11.248
2026-02-27T07:10:00+00:00,308.647,0.396,-5.956,11.228
2026-02-27T07:15:00+00:00,307.628,0.429,-5.914,11.198
2026-02-27T07:20:00+00:00,309.147,0.368,-5.948,11.16
2026-02-27T07:25:00+00:00,316.846,0.328,-6.12,11.222
2026-02-27T07:30:00+00:00,317.027,0.304,-6.128,11.234
2026-02-27T07:35:00+00:00,318.694,0.24,-6.136,11.249
2026-02-27T07:40:00+00:00,318.384,0.301,-6.158,11.248
2026-02-27T07:45:00+00:00,323.805,0.307,-6.262,11.25
2026-02-27T07:50:00+00:00,326.094,0.313,-6.291,11.245
2026-02-27T07:55:00+00:00,332.949,0.256,-6.421,11.221
2026-02-27T08:00:00+00:00,339.072,0.272,-6.536,11.217
2026-02-27T08:05:00+00:00,338.649,0.304,-6.524,11.187
2026-02-27T08:10:00+00:00,338.246,0.304,-6.493,11.159
2026-02-27T08:15:00+00:00,336.957,0.317,-6.456,11.148
2026-02-27T08:20:00+00:00,340.428,0.304,-6.525,11.144
2026-02-27T08:25:00+00:00,338.524,0.33,-6.493,11.147
2026-02-27T08:30:00+00:00,338.682,0.344,-6.49,11.15
2026-02-27T08:35:00+00:00,346.287,0.339,-6.635,11.144
2026-02-27T08:40:00+00:00,345.964,0.329,-6.625,11.145
2026-02-27T08:45:00+00:00,347.64,0.296,-6.656,11.123
2026-02-27T08:50:00+00:00,349.27,0.322,-6.704,11.15
2026-02-27T08:55:00+00:00,351.094,0.276,-6.742,11.15
2026-02-27T09:00:00+00:00,354.69,0.277,-6.807,11.149
2026-02-27T09:05:00+00:00,360.893,0.254,-6.918,11.148
2026-02-27T09:10:00+00:00,361.985,0.321,-6.939,11.15
2026-02-27T09:15:00+00:00,364.512,0.299,-6.988,11.149
2026-02-27T09:20:00+00:00,365.89,0.269,-7.001,11.143
2026-02-27T09:25:00+00:00,365.092,0.244,-6.986,11.131
2026-02-27T09:30:00+00:00,368.441,0.248,-7.029,11.057
2026-02-27T09:35:00+00:00,367.656,0.246,-6.996,11.05
2026-02-27T09:40:00+00:00,366.097,0.276,-6.975,11.068
2026-02-27T09:45:00+00:00,368.256,0.28,-7.05,11.146
2026-02-27T09:50:00+00:00,368.814,0.242,-7.059,11.14
2026-02-27T09:55:00+00:00,365.447,0.263,-7.003,11.139
2026-02-27T10:00:00+00:00,368.218,0.262,-7.05,11.137
2026-02-27T10:05:00+00:00,364.584,0.244,-7.009,11.149
2026-02-27T10:10:00+00:00,365.233,0.26,-7.032,11.15
2026-02-27T10:15:00+00:00,363.855,0.253,-6.984,11.15
