ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,12.843,0.043,-0.006,33.585
2026-02-26T00:10:00+00:00,12.552,0.055,0.007,33.55
2026-02-26T00:15:00+00:00,12.527,0.044,0.021,33.578
2026-02-26T00:20:00+00:00,12.335,0.089,0.002,33.583
2026-02-26T00:25:00+00:00,12.14,0.077,0.008,33.599
2026-02-26T00:30:00+00:00,12.108,0.033,0.064,33.732
2026-02-26T00:35:00+00:00,10.017,0.038,0.023,33.689
2026-02-26T00:40:00+00:00,8.872,0.043,0.04,33.655
2026-02-26T00:45:00+00:00,9.096,0.051,0.028,33.617
2026-02-26T00:50:00+00:00,11.894,0.026,0.002,33.582
2026-02-26T00:55:00+00:00,11.354,0.046,0.04,33.458
2026-02-26T01:00:00+00:00,12.446,0.001,0.019,33.466
2026-02-26T01:05:00+00:00,12.619,0.028,0.041,33.522
2026-02-26T01:10:00+00:00,12.531,0.046,0.048,33.532
2026-02-26T01:15:00+00:00,12.518,0.038,0.055,33.562
2026-02-26T01:20:00+00:00,12.491,0.027,0.013,33.625
2026-02-26T01:25:00+00:00,12.516,0.041,0.028,33.65
2026-02-26T01:30:00+00:00,12.593,0.041,0.036,33.65
2026-02-26T01:35:00+00:00,15.588,0.014,0.013,33.573
2026-02-26T01:40:00+00:00,15.748,0.029,0.003,33.488
2026-02-26T01:45:00+00:00,16.032,0.01,0.015,33.505
2026-02-26T01:50:00+00:00,15.668,-0.027,0.016,33.526
2026-02-26T01:55:00+00:00,15.882,-0.072,0.17,33.622
2026-02-26T02:00:00+00:00,15.557,-0.075,0.099,33.686
2026-02-26T02:05:00+00:00,12.145,0.026,0.013,33.534
2026-02-26T02:10:00+00:00,12.26,0.038,0.024,33.548
2026-02-26T02:15:00+00:00,12.384,0.043,-0.02,33.664
2026-02-26T02:20:00+00:00,12.164,-0.006,0.002,33.619
2026-02-26T02:25:00+00:00,12.086,0.022,0.01,33.595
2026-02-26T02:30:00+00:00,11.924,-0.004,0.013,33.626
2026-02-26T02:35:00+00:00,13.85,0.042,0.01,33.712
2026-02-26T02:40:00+00:00,14.222,0.042,0.079,33.774
2026-02-26T02:45:00+00:00,14.166,0.039,0.025,33.78
2026-02-26T02:50:00+00:00,14.304,0.01,-0.004,33.844
2026-02-26T02:55:00+00:00,14.276,0.032,0.072,33.852
2026-02-26T03:00:00+00:00,13.867,0.008,0.003,33.876
2026-02-26T03:05:00+00:00,11.614,-0.002,0.0,33.778
2026-02-26T03:10:00+00:00,9.828,-0.032,0.022,33.652
2026-02-26T03:15:00+00:00,10.518,-0.018,0.016,33.654
2026-02-26T03:20:00+00:00,11.474,0.038,0.01,33.668
2026-02-26T03:25:00+00:00,11.589,0.032,-0.003,33.709
2026-02-26T03:30:00+00:00,11.372,0.038,-0.028,33.734
2026-02-26T03:35:00+00:00,10.376,0.004,-0.035,33.858
2026-02-26T03:40:00+00:00,10.244,0.025,-0.01,33.872
2026-02-26T03:45:00+00:00,9.946,0.024,-0.005,33.876
2026-02-26T03:50:00+00:00,9.863,0.041,0.004,33.882
2026-02-26T03:55:00+00:00,9.774,0.07,0.031,33.825
2026-02-26T04:00:00+00:00,10.73,0.038,-0.027,33.779
2026-02-26T04:05:00+00:00,11.77,0.028,-0.003,33.693
2026-02-26T04:10:00+00:00,12.11,0.07,0.002,33.776
2026-02-26T04:15:00+00:00,12.172,0.075,-0.024,33.768
2026-02-26T04:20:00+00:00,12.155,0.046,0.001,33.621
2026-02-26T04:25:00+00:00,11.326,0.046,-0.008,33.65
2026-02-26T04:30:00+00:00,10.631,0.052,-0.006,33.767
2026-02-26T04:35:00+00:00,9.87,0.022,-0.011,33.84
2026-02-26T04:40:00+00:00,9.854,0.022,-0.015,33.72
2026-02-26T04:45:00+00:00,10.538,-0.017,-0.018,33.818
2026-02-26T04:50:00+00:00,12.286,0.022,-0.043,33.782
2026-02-26T04:55:00+00:00,12.554,-0.002,-0.051,33.677
2026-02-26T05:00:00+00:00,12.654,0.045,-0.04,33.668
2026-02-26T05:05:00+00:00,10.892,0.041,-0.043,33.576
2026-02-26T05:10:00+00:00,11.166,0.045,-0.032,33.635
2026-02-26T05:15:00+00:00,12.315,-0.03,0.004,33.644
2026-02-26T05:20:00+00:00,14.488,0.018,-0.052,33.567
2026-02-26T05:25:00+00:00,14.869,0.044,-0.113,33.462
2026-02-26T05:30:00+00:00,14.996,-0.254,-0.092,33.813
2026-02-26T05:35:00+00:00,15.046,0.01,-0.072,33.822
2026-02-26T05:40:00+00:00,14.375,0.031,-0.055,33.908
2026-02-26T05:45:00+00:00,14.216,0.019,-0.056,33.904
2026-02-26T05:50:00+00:00,14.933,-0.002,-0.056,33.877
2026-02-26T05:55:00+00:00,15.559,0.023,-0.078,33.974
2026-02-26T06:00:00+00:00,15.354,0.13,-0.025,33.966
2026-02-26T06:05:00+00:00,14.594,-0.022,-0.043,33.728
2026-02-26T06:10:00+00:00,13.036,-0.011,-0.05,33.568
2026-02-26T06:15:00+00:00,16.404,-0.024,-0.041,33.633
2026-02-26T06:20:00+00:00,17.968,0.0,-0.063,33.674
2026-02-26T06:25:00+00:00,18.069,-0.009,-0.089,33.511
2026-02-26T06:30:00+00:00,19.011,0.05,-0.089,33.446
2026-02-26T06:35:00+00:00,16.579,0.035,-0.134,33.55
2026-02-26T06:40:00+00:00,14.426,0.002,-0.103,33.537
2026-02-26T06:45:00+00:00,15.81,0.042,-0.126,33.583
2026-02-26T06:50:00+00:00,17.413,0.089,-0.083,33.41
2026-02-26T06:55:00+00:00,14.998,0.034,-0.067,33.478
2026-02-26T07:00:00+00:00,14.478,-0.014,-0.074,33.405
2026-02-26T07:05:00+00:00,16.043,-1.334,-0.153,33.607
2026-02-26T07:10:00+00:00,16.426,0.026,-0.093,33.888
2026-02-26T07:15:00+00:00,16.604,-0.06,-0.078,33.896
2026-02-26T07:20:00+00:00,17.854,-0.046,-0.031,33.956
2026-02-26T07:25:00+00:00,17.862,-0.036,-0.1,33.88
2026-02-26T07:30:00+00:00,17.084,0.01,-0.134,33.698
2026-02-26T07:35:00+00:00,16.319,0.003,-0.133,33.662
2026-02-26T07:40:00+00:00,14.012,-0.042,-0.081,33.933
2026-02-26T07:45:00+00:00,13.644,-0.006,-0.06,33.848
2026-02-26T07:50:00+00:00,12.82,-0.042,-0.069,33.844
2026-02-26T07:55:00+00:00,13.101,0.007,-0.082,33.802
2026-02-26T08:00:00+00:00,14.976,0.004,-0.079,33.611
2026-02-26T08:05:00+00:00,18.092,-0.057,-0.054,33.576
2026-02-26T08:10:00+00:00,20.558,-0.071,-0.085,33.678
2026-02-26T08:15:00+00:00,20.848,-0.053,-0.067,33.698
2026-02-26T08:20:00+00:00,20.784,-0.016,-0.044,33.674
2026-02-26T08:25:00+00:00,21.377,-0.044,-0.075,33.545
2026-02-26T08:30:00+00:00,21.363,-0.011,-0.091,33.552
2026-02-26T08:35:00+00:00,17.862,-0.001,-0.069,33.706
2026-02-26T08:40:00+00:00,17.864,0.002,-0.04,33.71
2026-02-26T08:45:00+00:00,17.924,-0.035,-0.034,33.665
2026-02-26T08:50:00+00:00,17.92,-0.042,-0.032,33.612
2026-02-26T08:55:00+00:00,17.717,-0.003,-0.067,33.48
2026-02-26T09:00:00+00:00,17.584,-0.063,-0.067,33.532
2026-02-26T09:05:00+00:00,17.245,-0.038,-0.039,33.676
2026-02-26T09:10:00+00:00,16.908,-0.038,-0.079,33.677
2026-02-26T09:15:00+00:00,16.06,-0.066,-0.07,33.609
2026-02-26T09:20:00+00:00,15.722,-0.036,-0.064,33.531
2026-02-26T09:25:00+00:00,15.335,-0.041,-0.079,33.542
2026-02-26T09:30:00+00:00,15.367,-0.003,-0.038,33.558
2026-02-26T09:35:00+00:00,15.768,-0.093,-0.078,33.644
2026-02-26T09:40:00+00:00,19.562,0.035,-0.079,33.671
2026-02-26T09:45:00+00:00,18.958,-0.065,-0.156,33.667
2026-02-26T09:50:00+00:00,19.462,-0.027,-0.053,33.66
2026-02-26T09:55:00+00:00,19.611,-0.008,-0.037,33.672
2026-02-26T10:00:00+00:00,19.584,-0.027,-0.072,33.598
2026-02-26T10:05:00+00:00,19.349,-0.03,-0.089,33.507
2026-02-26T10:10:00+00:00,19.246,-0.062,-0.084,33.485
2026-02-26T10:15:00+00:00,18.088,-0.039,-0.095,33.512
2026-02-26T10:20:00+00:00,19.486,-0.048,-0.084,33.552
2026-02-26T10:25:00+00:00,18.997,-0.058,-0.068,33.628
2026-02-26T10:30:00+00:00,18.296,-0.011,-0.05,33.662
2026-02-26T10:35:00+00:00,19.294,-0.022,-0.042,33.58
2026-02-26T10:40:00+00:00,18.078,-0.062,-0.085,33.527
2026-02-26T10:45:00+00:00,17.034,-0.205,-0.08,33.841
2026-02-26T10:50:00+00:00,17.282,-0.075,-0.099,33.463
2026-02-26T10:55:00+00:00,16.501,-0.05,-0.063,33.423
2026-02-26T11:00:00+00:00,15.855,-0.058,-0.086,33.537
2026-02-26T11:05:00+00:00,16.783,-0.014,-0.071,33.665
2026-02-26T11:10:00+00:00,17.392,-0.004,-0.12,33.512
2026-02-26T11:15:00+00:00,18.278,-0.009,-0.079,33.48
2026-02-26T11:20:00+00:00,19.298,-0.021,-0.092,33.5
2026-02-26T11:25:00+00:00,19.912,-0.001,-0.078,33.53
2026-02-26T11:30:00+00:00,19.853,0.003,-0.087,33.518
2026-02-26T11:35:00+00:00,17.955,0.042,-0.065,33.662
2026-02-26T11:40:00+00:00,18.94,-0.0,-0.069,33.666
2026-02-26T11:45:00+00:00,19.208,0.042,-0.055,33.656
2026-02-26T11:50:00+00:00,19.363,-0.023,-0.056,33.533
2026-02-26T11:55:00+00:00,19.335,-0.073,-0.096,33.536
2026-02-26T12:00:00+00:00,19.138,-0.063,-0.053,33.661
2026-02-26T12:05:00+00:00,20.258,-0.064,-0.041,33.55
2026-02-26T12:10:00+00:00,20.418,-0.06,-0.098,33.532
2026-02-26T12:15:00+00:00,20.153,-0.037,-0.044,33.528
2026-02-26T12:20:00+00:00,20.41,-0.079,-0.062,33.545
2026-02-26T12:25:00+00:00,20.356,-0.05,-0.037,33.522
2026-02-26T12:30:00+00:00,20.514,-0.023,-0.075,33.65
2026-02-26T12:35:00+00:00,18.894,0.008,-0.014,33.59
2026-02-26T12:40:00+00:00,15.851,-0.031,-0.054,33.424
2026-02-26T12:45:00+00:00,15.123,-0.032,-0.049,33.464
2026-02-26T12:50:00+00:00,14.597,-0.01,-0.062,33.508
2026-02-26T12:55:00+00:00,14.336,-0.003,-0.094,33.566
2026-02-26T13:00:00+00:00,16.924,-0.016,-0.088,33.575
2026-02-26T13:05:00+00:00,19.467,-0.012,-0.079,33.567
2026-02-26T13:10:00+00:00,19.931,-0.054,-0.057,33.522
2026-02-26T13:15:00+00:00,22.828,-0.024,-0.08,33.614
2026-02-26T13:20:00+00:00,23.072,-0.03,-0.107,33.604
2026-02-26T13:25:00+00:00,22.906,-0.022,-0.072,33.612
2026-02-26T13:30:00+00:00,20.976,0.032,-0.101,33.506
2026-02-26T13:35:00+00:00,18.725,0.012,-0.075,33.518
2026-02-26T13:40:00+00:00,19.518,-0.012,-0.078,33.488
2026-02-26T13:45:00+00:00,20.836,0.043,-0.08,33.507
2026-02-26T13:50:00+00:00,20.288,0.02,-0.06,33.636
2026-02-26T13:55:00+00:00,17.324,-0.009,-0.068,33.778
2026-02-26T14:00:00+00:00,16.432,-0.02,-0.019,33.822
2026-02-26T14:05:00+00:00,14.378,-0.016,-0.056,33.744
2026-02-26T14:10:00+00:00,14.348,0.018,-0.054,33.698
2026-02-26T14:15:00+00:00,15.646,-0.035,-0.023,33.79
2026-02-26T14:20:00+00:00,17.647,0.01,-0.053,33.82
2026-02-26T14:25:00+00:00,17.042,-0.009,-0.035,33.682
2026-02-26T14:30:00+00:00,18.332,-0.002,-0.069,33.584
2026-02-26T14:35:00+00:00,21.379,-0.014,-0.032,33.624
2026-02-26T14:40:00+00:00,22.69,-0.006,-0.049,33.666
2026-02-26T14:45:00+00:00,22.627,-0.014,-0.077,33.598
2026-02-26T14:50:00+00:00,22.446,-0.045,-0.053,33.497
2026-02-26T14:55:00+00:00,21.65,-0.028,-0.108,33.525
2026-02-26T15:00:00+00:00,20.114,-0.046,-0.054,33.561
2026-02-26T15:05:00+00:00,16.856,-0.048,-0.051,33.628
2026-02-26T15:10:00+00:00,16.658,-0.016,-0.025,33.66
2026-02-26T15:15:00+00:00,17.622,0.098,-0.007,33.662
2026-02-26T15:20:00+00:00,13.8,0.018,-0.041,33.888
2026-02-26T15:25:00+00:00,13.17,-0.07,-0.02,33.93
2026-02-26T15:30:00+00:00,13.984,-0.089,-0.024,33.892
2026-02-26T15:35:00+00:00,14.376,-0.073,-0.051,33.882
2026-02-26T15:40:00+00:00,14.956,-0.004,-0.005,33.765
2026-02-26T15:45:00+00:00,14.924,-0.016,-0.059,33.645
2026-02-26T15:50:00+00:00,16.418,0.018,-0.063,33.588
2026-02-26T15:55:00+00:00,15.902,0.005,-0.048,33.613
2026-02-26T16:00:00+00:00,16.758,-0.014,-0.013,33.567
2026-02-26T16:05:00+00:00,18.199,0.039,-0.053,33.616
2026-02-26T16:10:00+00:00,18.005,0.043,-0.044,33.739
2026-02-26T16:15:00+00:00,15.446,-0.028,-0.064,33.882
2026-02-26T16:20:00+00:00,14.444,0.051,-0.106,33.84
2026-02-26T16:25:00+00:00,14.766,-0.019,-0.093,33.916
2026-02-26T16:30:00+00:00,12.425,-2.616,-0.212,33.87
2026-02-26T16:35:00+00:00,13.595,-0.177,-0.055,33.634
2026-02-26T16:40:00+00:00,14.114,-0.014,-0.045,33.538
2026-02-26T16:45:00+00:00,13.216,-0.022,-0.021,33.516
2026-02-26T16:50:00+00:00,11.696,-0.036,-0.017,33.486
2026-02-26T16:55:00+00:00,12.679,-0.036,0.001,33.407
2026-02-26T17:00:00+00:00,15.135,0.002,-0.045,33.41
2026-02-26T17:05:00+00:00,18.596,0.234,-0.059,33.656
2026-02-26T17:10:00+00:00,22.16,-0.003,-0.085,33.746
2026-02-26T17:15:00+00:00,21.995,0.018,-0.061,33.775
2026-02-26T17:20:00+00:00,20.922,0.024,-0.027,33.737
2026-02-26T17:25:00+00:00,17.972,0.036,0.004,33.874
2026-02-26T17:30:00+00:00,18.451,0.025,-0.007,33.852
2026-02-26T17:35:00+00:00,16.528,-0.016,0.018,33.695
2026-02-26T17:40:00+00:00,15.742,0.051,-0.01,33.756
2026-02-26T17:45:00+00:00,17.136,0.033,-0.001,33.837
2026-02-26T17:50:00+00:00,17.452,0.059,-0.008,33.951
2026-02-26T17:55:00+00:00,17.104,0.072,-0.037,33.99
2026-02-26T18:00:00+00:00,17.27,0.06,-0.037,34.056
2026-02-26T18:05:00+00:00,19.79,0.03,-0.036,34.033
2026-02-26T18:10:00+00:00,20.262,-0.789,-0.071,33.775
2026-02-26T18:15:00+00:00,19.006,0.007,-0.039,33.55
2026-02-26T18:20:00+00:00,18.498,0.596,0.011,33.594
2026-02-26T18:25:00+00:00,18.566,0.028,-0.011,33.918
2026-02-26T18:30:00+00:00,16.988,0.066,0.004,33.962
2026-02-26T18:35:00+00:00,14.5,0.041,0.002,33.994
2026-02-26T18:40:00+00:00,14.316,0.042,-0.038,34.012
2026-02-26T18:45:00+00:00,15.858,0.0,-0.036,33.99
2026-02-26T18:50:00+00:00,19.254,0.038,-0.022,33.902
2026-02-26T18:55:00+00:00,19.819,0.005,-0.059,33.996
2026-02-26T19:00:00+00:00,19.986,0.015,-0.054,33.958
2026-02-26T19:05:00+00:00,18.236,0.011,-0.072,33.634
2026-02-26T19:10:00+00:00,20.811,-0.014,-0.077,33.635
2026-02-26T19:15:00+00:00,20.358,0.031,-0.082,33.638
2026-02-26T19:20:00+00:00,18.569,0.006,-0.188,33.76
2026-02-26T19:25:00+00:00,17.53,0.02,-0.097,33.843
2026-02-26T19:30:00+00:00,18.106,0.064,-0.086,33.963
2026-02-26T19:35:00+00:00,17.325,0.021,-0.092,34.006
2026-02-26T19:40:00+00:00,18.085,0.028,-0.114,33.977
2026-02-26T19:45:00+00:00,15.992,0.007,-0.052,33.96
2026-02-26T19:50:00+00:00,15.579,0.033,-0.082,33.912
2026-02-26T19:55:00+00:00,15.141,0.074,-0.077,33.966
2026-02-26T20:00:00+00:00,15.35,0.036,-0.103,33.904
2026-02-26T20:05:00+00:00,18.084,0.091,-0.132,33.892
2026-02-26T20:10:00+00:00,18.577,0.062,-0.082,33.94
2026-02-26T20:15:00+00:00,18.522,0.057,-0.09,33.993
2026-02-26T20:20:00+00:00,18.718,0.03,-0.101,33.534
2026-02-26T20:25:00+00:00,18.665,0.046,-0.074,33.611
2026-02-26T20:30:00+00:00,18.287,0.025,-0.092,33.618
2026-02-26T20:35:00+00:00,17.716,0.04,-0.101,33.579
2026-02-26T20:40:00+00:00,17.688,0.053,-0.103,33.468
2026-02-26T20:45:00+00:00,17.549,0.103,-0.076,33.883
2026-02-26T20:50:00+00:00,20.276,0.088,-0.08,33.772
2026-02-26T20:55:00+00:00,19.266,0.064,-0.156,33.756
2026-02-26T21:00:00+00:00,15.706,0.118,-0.148,33.876
2026-02-26T21:05:00+00:00,14.398,0.451,-0.074,33.937
2026-02-26T21:10:00+00:00,13.984,1.055,-0.041,33.703
2026-02-26T21:15:00+00:00,14.982,0.09,-0.125,33.642
2026-02-26T21:20:00+00:00,14.619,0.085,-0.117,33.674
2026-02-26T21:25:00+00:00,15.161,0.086,-0.091,33.676
2026-02-26T21:30:00+00:00,15.381,0.066,-0.072,33.71
2026-02-26T21:35:00+00:00,19.066,0.07,0.052,33.712
2026-02-26T21:40:00+00:00,21.524,0.042,-0.068,33.744
2026-02-26T21:45:00+00:00,22.662,0.031,-0.062,33.777
2026-02-26T21:50:00+00:00,21.786,0.027,-0.059,33.756
2026-02-26T21:55:00+00:00,22.166,0.026,-0.085,33.527
2026-02-26T22:00:00+00:00,20.254,-0.017,-0.065,33.543
2026-02-26T22:05:00+00:00,14.849,0.003,-0.081,33.623
2026-02-26T22:10:00+00:00,13.648,-0.023,-0.072,33.695
2026-02-26T22:15:00+00:00,13.831,0.034,-0.068,33.746
2026-02-26T22:20:00+00:00,14.357,0.006,-0.069,33.778
2026-02-26T22:25:00+00:00,14.918,0.017,-0.027,33.754
2026-02-26T22:30:00+00:00,17.332,0.028,-0.05,33.668
2026-02-26T22:35:00+00:00,22.357,0.0,-0.061,33.54
2026-02-26T22:40:00+00:00,22.033,0.04,-0.088,33.504
2026-02-26T22:45:00+00:00,21.682,0.05,-0.067,33.511
2026-02-26T22:50:00+00:00,20.308,0.073,-0.148,33.604
2026-02-26T22:55:00+00:00,19.366,-0.195,-0.053,33.651
2026-02-26T23:00:00+00:00,18.323,0.049,-0.069,33.701
2026-02-26T23:05:00+00:00,17.114,0.022,-0.06,33.812
2026-02-26T23:10:00+00:00,16.895,-0.005,-0.049,33.627
2026-02-26T23:15:00+00:00,17.696,-0.053,-0.024,33.526
2026-02-26T23:20:00+00:00,19.312,0.041,-0.069,33.59
2026-02-26T23:25:00+00:00,19.27,0.026,-0.057,33.68
2026-02-26T23:30:00+00:00,18.892,0.024,-0.047,33.586
2026-02-26T23:35:00+00:00,12.759,0.056,-0.03,33.546
2026-02-26T23:40:00+00:00,11.842,0.141,-0.006,33.683
2026-02-26T23:45:00+00:00,12.15,0.023,-0.079,33.828
2026-02-26T23:50:00+00:00,11.702,0.052,-0.024,33.702
2026-02-26T23:55:00+00:00,11.686,0.053,-0.048,33.691
2026-02-27T00:00:00+00:00,11.794,0.057,-0.019,33.725
2026-02-27T00:05:00+00:00,12.418,0.041,-0.019,33.746
2026-02-27T00:10:00+00:00,13.343,0.013,0.031,33.756
2026-02-27T00:15:00+00:00,13.912,0.031,0.008,33.788
2026-02-27T00:20:00+00:00,15.162,0.015,0.003,33.769
2026-02-27T00:25:00+00:00,15.142,0.041,0.011,33.74
2026-02-27T00:30:00+00:00,13.872,0.016,-0.005,33.658
2026-02-27T00:35:00+00:00,11.138,0.013,-0.003,33.576
2026-02-27T00:40:00+00:00,10.726,-0.022,0.003,33.556
2026-02-27T00:45:00+00:00,11.591,0.05,-0.014,33.577
2026-02-27T00:50:00+00:00,12.216,0.018,-0.06,33.577
2026-02-27T00:55:00+00:00,11.869,0.052,-0.003,33.608
2026-02-27T01:00:00+00:00,12.512,0.064,0.002,33.725
2026-02-27T01:05:00+00:00,13.061,0.042,-0.027,33.78
2026-02-27T01:10:00+00:00,13.83,0.026,0.02,33.766
2026-02-27T01:15:00+00:00,14.926,0.044,-0.024,33.78
2026-02-27T01:20:00+00:00,14.457,0.035,-0.061,33.768
2026-02-27T01:25:00+00:00,14.474,0.04,-0.001,33.788
2026-02-27T01:30:00+00:00,14.376,0.021,-0.034,33.805
2026-02-27T01:35:00+00:00,17.492,0.018,-0.027,33.752
2026-02-27T01:40:00+00:00,18.982,0.029,-0.043,33.763
2026-02-27T01:45:00+00:00,18.823,0.025,-0.037,33.788
2026-02-27T01:50:00+00:00,17.868,0.146,-0.04,33.784
2026-02-27T01:55:00+00:00,16.55,0.053,-0.007,33.822
2026-02-27T02:00:00+00:00,16.938,0.049,-0.063,33.817
2026-02-27T02:05:00+00:00,12.548,0.031,0.004,33.819
2026-02-27T02:10:00+00:00,12.258,0.103,-0.043,33.886
2026-02-27T02:15:00+00:00,11.024,0.0,-0.029,34.007
2026-02-27T02:20:00+00:00,10.408,0.041,-0.013,34.051
2026-02-27T02:25:00+00:00,10.914,0.008,-0.045,34.074
2026-02-27T02:30:00+00:00,11.086,-0.633,-0.054,33.742
2026-02-27T02:35:00+00:00,12.535,-0.058,-0.035,33.582
2026-02-27T02:40:00+00:00,12.748,-0.018,-0.04,33.636
2026-02-27T02:45:00+00:00,12.57,-0.042,-0.064,33.636
2026-02-27T02:50:00+00:00,12.495,-0.053,-0.051,33.624
2026-02-27T02:55:00+00:00,11.144,-0.035,-0.013,33.577
2026-02-27T03:00:00+00:00,12.094,-0.026,-0.029,33.597
2026-02-27T03:05:00+00:00,9.634,-0.044,-0.029,33.556
2026-02-27T03:10:00+00:00,11.184,-0.055,-0.034,33.602
2026-02-27T03:15:00+00:00,10.85,-0.083,-0.054,33.632
2026-02-27T03:20:00+00:00,10.294,-0.055,-0.022,33.662
2026-02-27T03:25:00+00:00,10.482,-0.02,-0.029,33.677
2026-02-27T03:30:00+00:00,10.199,-0.062,0.006,33.699
2026-02-27T03:35:00+00:00,9.659,-0.058,-0.018,33.788
2026-02-27T03:40:00+00:00,9.416,-0.038,-0.014,33.8
2026-02-27T03:45:00+00:00,10.084,-0.05,-0.005,33.768
2026-02-27T03:50:00+00:00,11.261,0.055,-0.169,33.76
2026-02-27T03:55:00+00:00,10.342,-0.039,-0.008,33.771
2026-02-27T04:00:00+00:00,9.018,-0.054,0.003,33.772
2026-02-27T04:05:00+00:00,11.117,0.006,-0.023,33.696
2026-02-27T04:10:00+00:00,12.663,0.018,-0.02,33.719
2026-02-27T04:15:00+00:00,12.844,0.027,-0.034,33.706
2026-02-27T04:20:00+00:00,13.214,0.026,-0.046,33.725
2026-02-27T04:25:00+00:00,13.858,-0.009,-0.013,33.728
2026-02-27T04:30:00+00:00,14.731,0.03,-0.016,33.792
2026-02-27T04:35:00+00:00,12.852,-0.036,-0.031,33.844
2026-02-27T04:40:00+00:00,13.124,-0.034,-0.013,33.829
2026-02-27T04:45:00+00:00,14.003,-0.066,-0.044,33.833
2026-02-27T04:50:00+00:00,10.796,-0.031,-0.029,33.878
2026-02-27T04:55:00+00:00,11.23,-0.005,-0.032,33.877
2026-02-27T05:00:00+00:00,12.266,-0.026,-0.05,33.892
2026-02-27T05:05:00+00:00,11.282,0.014,-0.023,33.806
2026-02-27T05:10:00+00:00,11.26,0.051,-0.021,33.826
2026-02-27T05:15:00+00:00,11.867,0.067,0.015,33.832
2026-02-27T05:20:00+00:00,12.912,-0.046,-0.049,33.823
2026-02-27T05:25:00+00:00,15.111,0.065,-0.026,33.738
2026-02-27T05:30:00+00:00,12.92,0.013,-0.01,33.792
2026-02-27T05:35:00+00:00,17.305,0.023,0.009,33.752
2026-02-27T05:40:00+00:00,17.234,0.021,-0.174,33.76
2026-02-27T05:45:00+00:00,18.196,0.039,0.072,33.744
2026-02-27T05:50:00+00:00,17.794,-0.003,0.008,33.754
2026-02-27T05:55:00+00:00,17.878,-0.027,-0.055,33.677
2026-02-27T06:00:00+00:00,17.772,-0.003,-0.047,33.63
2026-02-27T06:05:00+00:00,14.163,-0.001,-0.035,33.538
2026-02-27T06:10:00+00:00,14.198,0.025,-0.032,33.419
2026-02-27T06:15:00+00:00,14.749,-0.006,-0.039,33.376
2026-02-27T06:20:00+00:00,14.742,0.351,-0.015,33.723
2026-02-27T06:25:00+00:00,14.8,0.058,-0.04,33.768
2026-02-27T06:30:00+00:00,14.644,-0.025,-0.082,33.555
2026-02-27T06:35:00+00:00,12.334,0.003,-0.042,33.494
2026-02-27T06:40:00+00:00,13.759,0.02,-0.036,33.521
2026-02-27T06:45:00+00:00,15.096,0.037,-0.039,33.62
2026-02-27T06:50:00+00:00,17.506,0.036,-0.075,33.638
2026-02-27T06:55:00+00:00,18.689,0.028,-0.063,33.587
2026-02-27T07:00:00+00:00,18.858,-0.008,-0.071,33.562
2026-02-27T07:05:00+00:00,18.736,0.042,-0.079,33.52
2026-02-27T07:10:00+00:00,18.944,-0.241,-0.092,33.614
2026-02-27T07:15:00+00:00,19.202,0.01,-0.026,33.812
2026-02-27T07:20:00+00:00,19.32,-0.013,-0.075,33.829
2026-02-27T07:25:00+00:00,19.254,0.008,-0.067,33.716
2026-02-27T07:30:00+00:00,22.424,-0.005,-0.095,33.656
2026-02-27T07:35:00+00:00,20.422,0.018,-0.08,33.606
2026-02-27T07:40:00+00:00,20.181,0.045,-0.047,33.604
2026-02-27T07:45:00+00:00,20.406,0.029,-0.079,33.553
2026-02-27T07:50:00+00:00,20.444,0.02,-0.087,33.617
2026-02-27T07:55:00+00:00,20.65,0.02,-0.056,33.624
2026-02-27T08:00:00+00:00,19.534,0.05,-0.34,33.623
2026-02-27T08:05:00+00:00,19.291,0.004,-0.052,33.651
2026-02-27T08:10:00+00:00,20.264,0.009,-0.054,33.514
2026-02-27T08:15:00+00:00,22.665,-0.01,-0.082,33.82
2026-02-27T08:20:00+00:00,21.194,0.073,-0.049,33.836
2026-02-27T08:25:00+00:00,21.722,0.071,-0.139,33.972
2026-02-27T08:30:00+00:00,19.59,0.075,-0.054,34.038
2026-02-27T08:35:00+00:00,19.598,0.063,-0.014,33.868
2026-02-27T08:40:00+00:00,18.572,0.05,-0.054,33.844
2026-02-27T08:45:00+00:00,18.656,-0.014,0.151,33.875
2026-02-27T08:50:00+00:00,20.136,0.018,-0.023,33.626
2026-02-27T08:55:00+00:00,17.846,-0.027,-0.051,33.656
2026-02-27T09:00:00+00:00,19.014,0.064,-0.023,33.616
2026-02-27T09:05:00+00:00,16.5,0.026,-0.028,33.644
2026-02-27T09:10:00+00:00,17.415,-0.004,-0.008,33.508
2026-02-27T09:15:00+00:00,17.906,0.033,-0.027,33.52
2026-02-27T09:20:00+00:00,17.947,0.032,0.021,33.598
2026-02-27T09:25:00+00:00,17.966,0.048,-0.031,33.579
2026-02-27T09:30:00+00:00,17.758,0.052,-0.027,33.43
2026-02-27T09:35:00+00:00,16.672,0.016,-0.009,33.468
2026-02-27T09:40:00+00:00,17.524,0.015,-0.048,33.546
2026-02-27T09:45:00+00:00,17.557,0.006,-0.046,33.416
2026-02-27T09:50:00+00:00,17.513,-0.023,-0.051,33.416
2026-02-27T09:55:00+00:00,17.546,-0.016,-0.056,33.424
2026-02-27T10:00:00+00:00,18.005,0.058,-0.051,33.456
